njEV,t9ZCGgAIaUI,"[159, 626, 1740, 2437]",
WfsL,p8dVKXPCmMI,"[4, 10, 31, 40, 97, 278]",
OMsL,U_fvtXZD3Pk,"[36, 94]",
DKsL,FGYRM0afJPo,"[0, 1, 254, 1886, 1970]",
YbsL,AprQO5NcYYE,[261],
AFsL,AsTpqkmctuU,[329],
wOsL,Edy0QnlgCpo,"[5, 2030]",
8BsL,Ee5nP8ZSbzA,[8],
F6sL,,"[2, 7]",
9VsL,yLSqqgdfQZo,[126],"[{'text': ""hey guys I'm back to Raphael and I'm"", 'start': 3.31, 'duration': 4.419}, {'text': 'going to show you how you can add some', 'start': 6.2, 'duration': 5.309}, {'text': 'foliage to your predator sorry I have to', 'start': 7.729, 'duration': 5.94}, {'text': 'use my hand one hand and camera because', 'start': 11.509, 'duration': 5.101}, {'text': 'i forgot my tripod need some wire', 'start': 13.669, 'duration': 6.18}, {'text': 'cutters and some foliage now i got these', 'start': 16.61, 'duration': 5.159}, {'text': 'at the regular craft store these are', 'start': 19.849, 'duration': 4.651}, {'text': 'plastic but yet they look very real you', 'start': 21.769, 'duration': 3.961}, {'text': ""don't want to get the plastic ones that"", 'start': 24.5, 'duration': 3.72}, {'text': 'look like you know ill cheap ass or if', 'start': 25.73, 'duration': 4.049}, {'text': 'you can find some that our silk which i', 'start': 28.22, 'duration': 4.32}, {'text': 'was unable to that would be great too so', 'start': 29.779, 'duration': 8.461}, {'text': 'first what we want to do is you know we', 'start': 32.54, 'duration': 8.28}, {'text': 'can leave these in here except for the', 'start': 38.24, 'duration': 5.31}, {'text': 'ones in the back we may need to use the', 'start': 40.82, 'duration': 10.32}, {'text': 'same hold for for the new stuff so now', 'start': 43.55, 'duration': 11.52}, {'text': 'some of these are quite big as you can', 'start': 51.14, 'duration': 8.58}, {'text': 'see but you know we may need to cut a', 'start': 55.07, 'duration': 7.01}, {'text': 'little bit when we drill into the base', 'start': 59.72, 'duration': 4.439}, {'text': 'to put the foliage in there so right now', 'start': 62.08, 'duration': 4.63}, {'text': ""I'm just going to you know put them in"", 'start': 64.159, 'duration': 4.02}, {'text': 'different areas just to get idea what', 'start': 66.71, 'duration': 3.78}, {'text': ""where I wat what and we'll go from there"", 'start': 68.179, 'duration': 4.891}, {'text': ""alright so it's a little wobbly in the"", 'start': 70.49, 'duration': 6.689}, {'text': 'original hole I got a smaller drill and', 'start': 73.07, 'duration': 6.06}, {'text': ""this is what I'm going to put the first"", 'start': 77.179, 'duration': 8.04}, {'text': 'one so you just want to drill in once', 'start': 79.13, 'duration': 7.979}, {'text': 'the hole is ready just put the guy in', 'start': 85.219, 'duration': 7.89}, {'text': ""there and there it is so that's the"", 'start': 87.109, 'duration': 13.14}, {'text': 'first one and we will continue and again', 'start': 93.109, 'duration': 9.51}, {'text': ""I'm just going to be drilling everywhere"", 'start': 100.249, 'duration': 4.65}, {'text': 'where I want them either be either grill', 'start': 102.619, 'duration': 3.57}, {'text': 'on the same holes they already have or', 'start': 104.899, 'duration': 3.39}, {'text': 'drill in a new hole like for example I', 'start': 106.189, 'duration': 3.54}, {'text': 'would drill something here if I want', 'start': 108.289, 'duration': 3.39}, {'text': ""something there don't be afraid I mean"", 'start': 109.729, 'duration': 4.621}, {'text': ""that you just drill in there it's hollow"", 'start': 111.679, 'duration': 7.8}, {'text': 'so just take an idea alright so i will', 'start': 114.35, 'duration': 6.329}, {'text': 'continue and then show you the end', 'start': 119.479, 'duration': 3.41}, {'text': 'result', 'start': 120.679, 'duration': 2.21}, {'text': 'alright guys and there you have it', 'start': 129.66, 'duration': 3.8}, {'text': 'predator with some nice foliage on there', 'start': 134.18, 'duration': 8.05}, {'text': ""I didn't put too much actually I had"", 'start': 138.3, 'duration': 5.67}, {'text': ""some leftover you don't want to put too"", 'start': 142.23, 'duration': 4.56}, {'text': 'much I think it would just distract from', 'start': 143.97, 'duration': 15.12}, {'text': 'it I think this is a good enough all', 'start': 146.79, 'duration': 17.33}, {'text': 'right guys arias', 'start': 159.09, 'duration': 5.03}, {'text': 'alright guys hope you enjoyed the video', 'start': 179.13, 'duration': 6.21}, {'text': 'see you next time', 'start': 181.98, 'duration': 3.36}]"
EEsL,yQszwwi-WFE,"[2, 7, 104, 116, 224, 267, 1738, 2244, 2553]","[{'text': 'hey guys Alex here Capitol Buick GMC and', 'start': 4.64, 'duration': 5.86}, {'text': 'I wanted to introduce the Yukon Denali', 'start': 7.71, 'duration': 4.29}, {'text': ""so we've been waiting for this yukon"", 'start': 10.5, 'duration': 4.28}, {'text': ""denali it's a it's kind of the GMC"", 'start': 12.0, 'duration': 4.77}, {'text': 'trademarks of the nalli right everybody', 'start': 14.78, 'duration': 5.079}, {'text': 'wants this luxury SUV as you can see GMC', 'start': 16.77, 'duration': 5.37}, {'text': 'delivered we have the whole new front', 'start': 19.859, 'duration': 4.201}, {'text': ""grille here it's got more of a modern"", 'start': 22.14, 'duration': 4.74}, {'text': 'take to the classic Denali grill you', 'start': 24.06, 'duration': 5.52}, {'text': 'know we kept it very luxurious with LEDs', 'start': 26.88, 'duration': 4.38}, {'text': ""all the way throughout you're on the"", 'start': 29.58, 'duration': 4.11}, {'text': 'side little attention to detail with a', 'start': 31.26, 'duration': 5.459}, {'text': 'GMC on the side here as you can see the', 'start': 33.69, 'duration': 5.43}, {'text': 'chrome goes all the way the front down', 'start': 36.719, 'duration': 5.131}, {'text': 'here at the bottom around the the fog', 'start': 39.12, 'duration': 5.099}, {'text': ""lamps here another thing that's kind of"", 'start': 41.85, 'duration': 4.139}, {'text': 'like one of the only SUVs is the', 'start': 44.219, 'duration': 4.171}, {'text': 'adaptive cruise control and that forward', 'start': 45.989, 'duration': 3.991}, {'text': 'collision alert which is available which', 'start': 48.39, 'duration': 2.73}, {'text': ""you'll see right here with the little"", 'start': 49.98, 'duration': 5.04}, {'text': ""circles again it's just a beautiful SUV"", 'start': 51.12, 'duration': 6.24}, {'text': 'and I want to give you a whole tour', 'start': 55.02, 'duration': 4.859}, {'text': 'around it alright so here in the back of', 'start': 57.36, 'duration': 4.65}, {'text': 'Yukon Denali we see we keep the chrome', 'start': 59.879, 'duration': 4.201}, {'text': 'right we have chrome here chrome at the', 'start': 62.01, 'duration': 3.87}, {'text': ""bottom and that's what it's known for"", 'start': 64.08, 'duration': 3.63}, {'text': 'however just keeps it an elegant it', 'start': 65.88, 'duration': 4.11}, {'text': ""doesn't overdo it some of the little"", 'start': 67.71, 'duration': 4.74}, {'text': 'smaller features that again kind of', 'start': 69.99, 'duration': 4.5}, {'text': 'attention to detail you see here we see', 'start': 72.45, 'duration': 3.93}, {'text': 'the back tail and the brake lamp here', 'start': 74.49, 'duration': 4.71}, {'text': ""but where's the rear wiper well it's"", 'start': 76.38, 'duration': 4.65}, {'text': 'gonna be right under here so again if it', 'start': 79.2, 'duration': 4.62}, {'text': 'it does kind of little cubby space keeps', 'start': 81.03, 'duration': 4.74}, {'text': 'a little more elegant a little bit nice', 'start': 83.82, 'duration': 3.299}, {'text': 'finish here in the back and all the way', 'start': 85.77, 'duration': 3.57}, {'text': 'throughout and then you see here we have', 'start': 87.119, 'duration': 3.841}, {'text': 'a cover here for your bumper your hitch', 'start': 89.34, 'duration': 4.169}, {'text': ""it's not exposed again it's just another"", 'start': 90.96, 'duration': 4.5}, {'text': 'attention to detail on this thing you', 'start': 93.509, 'duration': 4.051}, {'text': 'have to have your rear view camera which', 'start': 95.46, 'duration': 4.38}, {'text': 'is gonna be standard and your back', 'start': 97.56, 'duration': 4.769}, {'text': ""parking sensors as well so we're gonna"", 'start': 99.84, 'duration': 4.8}, {'text': 'take a look at here at the 6-2 litre of', 'start': 102.329, 'duration': 3.36}, {'text': 'the Yukon Denali', 'start': 104.64, 'duration': 3.0}, {'text': 'so the 6-2 litre is gonna be a', 'start': 105.689, 'duration': 3.811}, {'text': ""completely new redesigned engine it's"", 'start': 107.64, 'duration': 3.96}, {'text': 'gonna produce about a 420 horsepower and', 'start': 109.5, 'duration': 4.74}, {'text': ""it's gonna do about 16 and 21 miles per"", 'start': 111.6, 'duration': 4.92}, {'text': ""gallon it's a completely new engine so"", 'start': 114.24, 'duration': 4.29}, {'text': ""we're really excited to see and carry"", 'start': 116.52, 'duration': 4.919}, {'text': ""the legacy of this Denali motor we're"", 'start': 118.53, 'duration': 4.019}, {'text': 'gonna check out the interior of the', 'start': 121.439, 'duration': 3.57}, {'text': 'yukon denali so the yukon denali just', 'start': 122.549, 'duration': 5.761}, {'text': ""takes the yukon up to a new level it's"", 'start': 125.009, 'duration': 6.09}, {'text': 'gonna have nicer finishes like the ones', 'start': 128.31, 'duration': 4.56}, {'text': 'we see here the aluminum all the way', 'start': 131.099, 'duration': 2.581}, {'text': 'throughout this is', 'start': 132.87, 'duration': 2.789}, {'text': 'the entitling system here then we have', 'start': 133.68, 'duration': 3.449}, {'text': 'the wood trim which is kind of like', 'start': 135.659, 'duration': 3.541}, {'text': ""custom to the Denali that's well that's"", 'start': 137.129, 'duration': 4.44}, {'text': 'the stitching here on the sides so we', 'start': 139.2, 'duration': 4.59}, {'text': 'have you know the night fit the nights', 'start': 141.569, 'duration': 4.381}, {'text': 'fit and finishes on this vehicle but', 'start': 143.79, 'duration': 4.35}, {'text': 'that we had the technology aspect so', 'start': 145.95, 'duration': 3.989}, {'text': ""we're gonna have this full driver"", 'start': 148.14, 'duration': 4.26}, {'text': ""infotainment Center and it's gonna be"", 'start': 149.939, 'duration': 3.871}, {'text': ""right here on the side we're gonna push"", 'start': 152.4, 'duration': 3.419}, {'text': ""this button and it's gonna pop up we put"", 'start': 153.81, 'duration': 4.259}, {'text': ""our phone in here don't have to worry"", 'start': 155.819, 'duration': 2.79}, {'text': 'about it', 'start': 158.069, 'duration': 3.75}, {'text': 'it all goes through bluetooth so I can', 'start': 158.609, 'duration': 5.58}, {'text': 'look at my bones I go look at what', 'start': 161.819, 'duration': 4.651}, {'text': 'particularly phone I want and my', 'start': 164.189, 'duration': 4.981}, {'text': 'contacts my voicemails my songs on my', 'start': 166.47, 'duration': 6.45}, {'text': 'phone all booties Wireless so not only', 'start': 169.17, 'duration': 6.03}, {'text': 'does it give you all those easy access', 'start': 172.92, 'duration': 3.42}, {'text': 'to your phone you have your navigation', 'start': 175.2, 'duration': 4.709}, {'text': 'your Pandora your video your weather all', 'start': 176.34, 'duration': 6.239}, {'text': 'these buttons are customizable you can', 'start': 179.909, 'duration': 5.101}, {'text': 'rearrange them the way you want but it', 'start': 182.579, 'duration': 4.38}, {'text': ""works really really well it's easy"", 'start': 185.01, 'duration': 3.599}, {'text': ""intuitive you don't have to worry about"", 'start': 186.959, 'duration': 3.541}, {'text': 'fiddling and figuring it your system out', 'start': 188.609, 'duration': 3.72}, {'text': ""well then we're gonna look here at a"", 'start': 190.5, 'duration': 3.87}, {'text': 'Driver Information Center which is gonna', 'start': 192.329, 'duration': 5.401}, {'text': 'be like a submenu of this menu here it', 'start': 194.37, 'duration': 5.369}, {'text': 'gives us all the same options and a nice', 'start': 197.73, 'duration': 4.589}, {'text': 'rich colored screen so we can also see', 'start': 199.739, 'duration': 5.25}, {'text': 'your fuel gauge we can see our oil life', 'start': 202.319, 'duration': 5.341}, {'text': 'all integrated here and this big nice', 'start': 204.989, 'duration': 6.36}, {'text': 'like the digital screen not only do we', 'start': 207.66, 'duration': 5.549}, {'text': 'have that screen we have another screen', 'start': 211.349, 'duration': 3.121}, {'text': 'which is going to be our heads-up', 'start': 213.209, 'duration': 2.791}, {'text': ""display it's gonna show up on our"", 'start': 214.47, 'duration': 3.54}, {'text': ""windshield and it's gonna show us our"", 'start': 216.0, 'duration': 3.93}, {'text': ""speedometer it's gonna show us our radio"", 'start': 218.01, 'duration': 4.469}, {'text': 'so we can adjust different controls keep', 'start': 219.93, 'duration': 4.38}, {'text': 'our eyes on the road and keep us nice', 'start': 222.479, 'duration': 3.57}, {'text': ""and safe we're gonna take a look at the"", 'start': 224.31, 'duration': 3.75}, {'text': 'inside here this one has captain seats', 'start': 226.049, 'duration': 3.81}, {'text': 'so it makes it a seven passenger vehicle', 'start': 228.06, 'duration': 3.72}, {'text': 'makes it pretty easy to go down the', 'start': 229.859, 'duration': 4.081}, {'text': 'middle if you have car seats for the', 'start': 231.78, 'duration': 3.84}, {'text': 'little ones here on the sides if you do', 'start': 233.94, 'duration': 3.719}, {'text': 'need more passengers you can get an', 'start': 235.62, 'duration': 3.869}, {'text': 'eight passenger vehicle which makes this', 'start': 237.659, 'duration': 4.98}, {'text': 'a middle bench seat in case you have', 'start': 239.489, 'duration': 4.62}, {'text': 'that or on this particular vehicle as', 'start': 242.639, 'duration': 3.301}, {'text': 'well you can press the button here on', 'start': 244.109, 'duration': 5.22}, {'text': ""the side and that's how you access the"", 'start': 245.94, 'duration': 5.9}, {'text': 'third row by moving that out of the way', 'start': 249.329, 'duration': 4.56}, {'text': 'all right guys so I wanted to talk to', 'start': 251.84, 'duration': 3.19}, {'text': 'you a little about safety on this new', 'start': 253.889, 'duration': 3.57}, {'text': 'yukon denali so we have a lot of awesome', 'start': 255.03, 'duration': 4.139}, {'text': ""features on the same model so i'm just"", 'start': 257.459, 'duration': 3.03}, {'text': 'gonna go with some of the basics real', 'start': 259.169, 'duration': 3.631}, {'text': 'quick we have the keyless entry which', 'start': 260.489, 'duration': 3.661}, {'text': 'you just keep your keys in your pocket', 'start': 262.8, 'duration': 3.6}, {'text': ""you're gonna get impresses locks it you"", 'start': 264.15, 'duration': 3.25}, {'text': 'press it again on', 'start': 266.4, 'duration': 2.769}, {'text': ""say how safe is that well it's actually"", 'start': 267.4, 'duration': 3.42}, {'text': 'really safe you have to have the keys', 'start': 269.169, 'duration': 3.541}, {'text': 'with you in order to activate that', 'start': 270.82, 'duration': 4.02}, {'text': 'feature also you have the push start', 'start': 272.71, 'duration': 4.47}, {'text': 'which is activated the same way and if', 'start': 274.84, 'duration': 3.72}, {'text': ""you have your child in there and they're"", 'start': 277.18, 'duration': 2.79}, {'text': ""pressing the button it's not going to"", 'start': 278.56, 'duration': 3.72}, {'text': 'turn on you have to have the brake pedal', 'start': 279.97, 'duration': 3.87}, {'text': ""pressed as well that's the key to your"", 'start': 282.28, 'duration': 3.66}, {'text': 'drive so again nice little safety', 'start': 283.84, 'duration': 3.829}, {'text': ""feature there that's only available on"", 'start': 285.94, 'duration': 5.13}, {'text': ""not too many high range SUVs so we're"", 'start': 287.669, 'duration': 5.411}, {'text': 'gonna have a little bit more intricate', 'start': 291.07, 'duration': 3.36}, {'text': ""features as well we're gonna have the"", 'start': 293.08, 'duration': 3.27}, {'text': 'Blind Side alert so The Blind Side alert', 'start': 294.43, 'duration': 3.36}, {'text': ""basically it's a little warning that's"", 'start': 296.35, 'duration': 2.94}, {'text': ""gonna be in your mirror and then you're"", 'start': 297.79, 'duration': 2.999}, {'text': ""gonna see if there's somebody coming at"", 'start': 299.29, 'duration': 2.82}, {'text': 'your left or your right side on your', 'start': 300.789, 'duration': 3.181}, {'text': ""Blind Side and it's just gonna tell you"", 'start': 302.11, 'duration': 4.86}, {'text': 'that way and and keep you keep you safe', 'start': 303.97, 'duration': 4.68}, {'text': ""and make sure you don't merge onto other"", 'start': 306.97, 'duration': 2.759}, {'text': ""vehicles while you're driving down the"", 'start': 308.65, 'duration': 4.17}, {'text': ""freeway another awesome feature that's"", 'start': 309.729, 'duration': 4.951}, {'text': ""not available in a lot of vehicles it's"", 'start': 312.82, 'duration': 3.81}, {'text': 'gonna be the adaptive cruise control so', 'start': 314.68, 'duration': 3.39}, {'text': ""adaptive cruise control it's just like"", 'start': 316.63, 'duration': 3.06}, {'text': ""regular cruise control however it's"", 'start': 318.07, 'duration': 4.17}, {'text': 'gonna speed up and slow down without you', 'start': 319.69, 'duration': 3.539}, {'text': ""having to do anything it's just"", 'start': 322.24, 'duration': 2.67}, {'text': 'automatically detects a vehicle in front', 'start': 323.229, 'duration': 3.72}, {'text': 'of you and adjust the speed or your', 'start': 324.91, 'duration': 4.77}, {'text': 'brakes really awesome feature you can', 'start': 326.949, 'duration': 5.311}, {'text': 'drive for like hours on that really', 'start': 329.68, 'duration': 5.489}, {'text': 'comfortable really safe alright guys', 'start': 332.26, 'duration': 4.68}, {'text': ""that's it for my video thank you for"", 'start': 335.169, 'duration': 3.151}, {'text': 'stopping by I take a look at this yukon', 'start': 336.94, 'duration': 3.87}, {'text': 'denali again we just touched bases on', 'start': 338.32, 'duration': 3.84}, {'text': 'some of the features on this vehicle', 'start': 340.81, 'duration': 3.3}, {'text': ""there's so much more if you want to stop"", 'start': 342.16, 'duration': 3.569}, {'text': 'by take a look at it for yourself', 'start': 344.11, 'duration': 3.48}, {'text': ""we'll be here at 9:09 Capitol Expressway"", 'start': 345.729, 'duration': 4.41}, {'text': 'Auto Mall in San Jose California again', 'start': 347.59, 'duration': 4.59}, {'text': ""I'm Alex at Capitol Buick GMC and we'll"", 'start': 350.139, 'duration': 3.901}, {'text': 'see you soon', 'start': 352.18, 'duration': 3.92}, {'text': 'you', 'start': 354.04, 'duration': 2.06}]"
uVsL,NXukcuQMMcU,"[0, 1]",
ausL,S-cKuUZYZl0,[8],
4tsL,,"[0, 1, 35, 230]",
TqsL,S6yapsfxfSo,[12],
wIyr,l2jDJLXPeh0,"[5, 16]",
1iyr,l8rS0lUvP2o,"[0, 1, 35, 134]",
Lsyr,lCGiBLSPjZU,[3523],
lWyr,lGfkDuTbPh8,"[11, 83, 262, 601, 720]",
DIyr,MWV9k8sxWgw,[0],
Styr,db84-ndidkE,"[11, 29, 32, 406]",
I5yr,deu7Csp2Rug,[3],
iQyr,,"[88, 184, 307, 341]",
6uyr,X5uuYnt0wU4,"[14, 1109]",
V9yr,,"[0, 1, 35, 85]",
jfyr,oszpUsxDEGE,"[0, 1, 5, 215]","[{'text': ""all right so we're starting the zexal"", 'start': 0.03, 'duration': 4.74}, {'text': ""campaign we're gonna this is no longer"", 'start': 2.58, 'duration': 3.39}, {'text': 'tutorial because I would gonna have to', 'start': 4.77, 'duration': 3.98}, {'text': ""do see someone let's go with the flow so"", 'start': 5.97, 'duration': 5.959}, {'text': ""let's do it"", 'start': 8.75, 'duration': 3.179}, {'text': 'okay', 'start': 62.51, 'duration': 3.0}, {'text': 'rock paper scissors paper', 'start': 70.64, 'duration': 5.43}, {'text': 'the first see if we can get a decent', 'start': 76.73, 'duration': 12.09}, {'text': 'excuse something now on the first guy no', 'start': 79.5, 'duration': 15.38}, {'text': ""click on and isn't too bad"", 'start': 88.82, 'duration': 6.06}, {'text': 'nicer place Town Hall and Dustin later', 'start': 97.4, 'duration': 7.66}, {'text': 'and I quit', 'start': 103.22, 'duration': 3.94}, {'text': ""and to hell with that mental just it's a"", 'start': 105.06, 'duration': 7.29}, {'text': ""little bit stronger it's now 200k course"", 'start': 107.16, 'duration': 8.6}, {'text': 'these gangs attacker itself', 'start': 112.35, 'duration': 3.41}, {'text': 'Oh Dustin a tow get rid of in the cross', 'start': 120.13, 'duration': 6.169}, {'text': 'your sunfish', 'start': 130.55, 'duration': 3.02}, {'text': 'okay', 'start': 134.31, 'duration': 3.0}, {'text': 'number sent in the by the dragon great', 'start': 144.65, 'duration': 5.34}, {'text': 'yes Damon can you take part where the', 'start': 152.09, 'duration': 11.31}, {'text': 'dynamics of black pens effect', 'start': 160.29, 'duration': 3.11}, {'text': 'now on top of to a monster card', 'start': 168.92, 'duration': 10.66}, {'text': 'no me and I cannot do that example on so', 'start': 172.1, 'duration': 20.82}, {'text': 'great ok nice and not hunter out', 'start': 179.58, 'duration': 13.34}, {'text': ""that's thank you for 1,500 no crab to"", 'start': 193.64, 'duration': 9.129}, {'text': ""mind doesn't that help when production a"", 'start': 199.049, 'duration': 5.791}, {'text': 'free from one of the exceeds monsters in', 'start': 202.769, 'duration': 3.091}, {'text': 'the stack are probably gonna be looking', 'start': 204.84, 'duration': 3.259}, {'text': 'for', 'start': 205.86, 'duration': 2.239}, {'text': ""you know why you do that like don't you"", 'start': 215.19, 'duration': 7.57}, {'text': 'just I love all attach it flying', 'start': 218.37, 'duration': 13.02}, {'text': 'kamakiri come out can i excuse someone', 'start': 222.76, 'duration': 8.63}, {'text': 'lunch doing something strong', 'start': 232.97, 'duration': 4.91}, {'text': 'from outside on the net', 'start': 247.5, 'duration': 4.22}, {'text': ""okay that one's for real best data quite"", 'start': 256.48, 'duration': 15.71}, {'text': 'obviously', 'start': 269.83, 'duration': 2.36}, {'text': 'return that soon as deck and will also', 'start': 278.55, 'duration': 10.979}, {'text': 'activate about to give a gravity behind', 'start': 283.18, 'duration': 6.349}, {'text': 'keep the material', 'start': 293.02, 'duration': 3.84}, {'text': 'some map', 'start': 313.97, 'duration': 3.27}, {'text': ""that's a fact and I can with my gear"", 'start': 318.59, 'duration': 10.23}, {'text': 'again', 'start': 326.76, 'duration': 2.06}, {'text': ""I'm just gonna keep saying cosmos towns"", 'start': 343.4, 'duration': 4.859}, {'text': 'name', 'start': 345.9, 'duration': 2.359}, {'text': ""okay yeah let's get"", 'start': 360.47, 'duration': 10.64}, {'text': 'good stuff cats run a good stuff back', 'start': 373.29, 'duration': 4.74}, {'text': 'there pickle wanted bring a flying', 'start': 379.14, 'duration': 5.58}, {'text': 'kamakiri 1', 'start': 382.42, 'duration': 2.3}, {'text': 'and solidus padrona', 'start': 390.84, 'duration': 4.349}, {'text': 'into effect give him more points X you', 'start': 396.43, 'duration': 12.239}, {'text': 'son understood', 'start': 405.8, 'duration': 2.869}, {'text': 'like I said I want', 'start': 417.08, 'duration': 3.57}, {'text': 'and then actually displayed where I was', 'start': 424.11, 'duration': 10.489}, {'text': 'effect banished us tomato peace on 22', 'start': 426.479, 'duration': 8.12}, {'text': 'yeah and then at a game', 'start': 440.87, 'duration': 9.72}, {'text': 'okay so clip now got sharks avatar deck', 'start': 465.319, 'duration': 10.28}, {'text': 'profile wants back to wards Giants and', 'start': 471.86, 'duration': 7.759}, {'text': ""Cathy's booster pack got a bath dragon"", 'start': 475.599, 'duration': 5.56}, {'text': 'just do bad', 'start': 479.619, 'duration': 2.86}, {'text': 'I think so what should have you come', 'start': 481.159, 'duration': 3.18}, {'text': 'like and subscribe but we more you use X', 'start': 482.479, 'duration': 4.17}, {'text': 'all videos from letter to legacy the', 'start': 484.339, 'duration': 6.621}, {'text': 'duelist not soon yeah', 'start': 486.649, 'duration': 4.311}]"
dXyr,,[882],
