GkEU,6N-HW4nwHM4,[0],
hCCl,X5pZ1qN3S58,"[0, 1, 258, 926, 1054]",
hJCl,X6JbNvESxMQ,[8],
vDCl,osVqAmZ8V-M,[301],
voCl,PQ1N4p71BGI,"[0, 1, 139, 486]",
vuCl,,"[26, 370, 526, 527]",
vpCl,sjxqzfNopoQ,"[17, 19, 48, 129, 639]",
JbCl,spRYza01jc0,"[3, 4, 6, 10]",
0XCl,59Z4Hnz7rxU,"[6, 8]",
U5Cl,59iXvberAig,"[2, 7]",
u8Cl,6rY0cHfIF6c,"[0, 1, 36, 147]",
OdCl,6rCrFREg1YQ,[6],
TLCl,22by3a5T_GM,[25],
nXCl,28LLEzyFdcA,"[15, 18, 170, 314]",
xYCl,29WzKwO8w8s,"[15, 499, 2173]",
YRCl,2C-J73cLjN0,"[0, 79]","[{'text': 'this afternoon the volunteers will be', 'start': 0.0, 'duration': 4.859}, {'text': 'hosting their home opener for the 2012', 'start': 1.979, 'duration': 4.951}, {'text': 'season as they take on the Panthers from', 'start': 4.859, 'duration': 5.941}, {'text': 'Georgia State and Atlanta 10th play on', 'start': 6.93, 'duration': 6.06}, {'text': 'the drive coming up play-action gray', 'start': 10.8, 'duration': 6.78}, {'text': 'Overland at the five down to the two', 'start': 12.99, 'duration': 9.06}, {'text': 'goes michael rivera Tyler Bray pitches', 'start': 17.58, 'duration': 7.35}, {'text': 'head back to kneel kneel touchdown pick', 'start': 22.05, 'duration': 10.139}, {'text': 'orange prejean Neal untouched and over', 'start': 24.93, 'duration': 9.39}, {'text': 'ending its way down to a yard deep in', 'start': 32.189, 'duration': 4.14}, {'text': 'the end zone with Errol Patterson brings', 'start': 34.32, 'duration': 4.71}, {'text': 'it out to the middle side steps one man', 'start': 36.329, 'duration': 5.881}, {'text': 'turns the Jets on cordarrelle Patterson', 'start': 39.03, 'duration': 5.759}, {'text': ""he's being chased tripped up and dropped"", 'start': 42.21, 'duration': 7.529}, {'text': 'inside the 40 yard line Bray inside the', 'start': 44.789, 'duration': 8.461}, {'text': '21 fakes the end around over the middle', 'start': 49.739, 'duration': 10.59}, {'text': 'touchdown big orange play-action Bray', 'start': 53.25, 'duration': 13.25}, {'text': 'throwing wide open touchdown big orange', 'start': 60.329, 'duration': 6.171}, {'text': 'two minutes to go first half pray again', 'start': 66.7, 'duration': 5.64}, {'text': 'back to throw throws it caught again', 'start': 69.64, 'duration': 5.93}, {'text': 'this time hunter', 'start': 72.34, 'duration': 3.23}, {'text': ""Patterson's got an escort he's at the 15"", 'start': 76.49, 'duration': 6.98}, {'text': 'the 10 News dropped at the 10-yard line', 'start': 79.25, 'duration': 16.32}, {'text': 'brain first down pumps throws protection', 'start': 83.47, 'duration': 14.829}, {'text': 'breaks down McLain wrapped up and', 'start': 95.57, 'duration': 11.82}, {'text': 'dropped who got him Bray delay gives a', 'start': 98.299, 'duration': 13.38}, {'text': 'big hole devran young coaster young to', 'start': 107.39, 'duration': 7.17}, {'text': 'the 15 to the 10 and inside the 10 egos', 'start': 111.679, 'duration': 5.431}, {'text': ""deals still in the tailback now he's got"", 'start': 114.56, 'duration': 4.589}, {'text': ""the full back in that's Bartholomew they"", 'start': 117.11, 'duration': 4.09}, {'text': 'give it to Neal dancing Neal', 'start': 119.149, 'duration': 5.381}, {'text': 'forward fighting hitting it in yes he', 'start': 121.2, 'duration': 7.04}, {'text': 'did touchdown big orange', 'start': 124.53, 'duration': 3.71}, {'text': 'brain throwing it touchdown Justin', 'start': 130.74, 'duration': 11.72}, {'text': 'Hunter touchdown big orange 235 McLain', 'start': 134.67, 'duration': 10.98}, {'text': ""dropped it big pileup Tennessee's got"", 'start': 142.46, 'duration': 6.16}, {'text': 'Tennessee leading 41 26 with under 10', 'start': 145.65, 'duration': 6.18}, {'text': 'minutes to go on the ball game Worley', 'start': 148.62, 'duration': 8.01}, {'text': 'little screen inside the 5 pylon', 'start': 151.83, 'duration': 10.08}, {'text': 'checkerboard play-action mcclain over', 'start': 156.63, 'duration': 7.65}, {'text': ""the middle pass is intercept Tennessee's"", 'start': 161.91, 'duration': 5.7}, {'text': 'got a pic at the 20 yard line fourth and', 'start': 164.28, 'duration': 5.34}, {'text': 'goal from the two they give it to Watson', 'start': 167.61, 'duration': 3.96}, {'text': 'he bangs his way into the end zone', 'start': 169.62, 'duration': 6.33}, {'text': 'touchdown big over the volunteers come', 'start': 171.57, 'duration': 7.35}, {'text': 'up with a big 50 12 13 win over visiting', 'start': 175.95, 'duration': 5.87}, {'text': 'Georgia State', 'start': 178.92, 'duration': 2.9}]"
2iCl,eSIrVaW9lzQ,"[0, 1, 19, 48, 134, 177]",
k9Cl,eaWjmV_8Nm0,"[9, 10, 34]",
nTCl,ecUnrViflnY,"[0, 1, 153, 1232]",
OgCl,ecKNG7JL_wg,"[0, 1, 27]","[{'text': 'q of Ryan can we at least talk about', 'start': 0.06, 'duration': 3.569}, {'text': ""this I'm not sure I want to fight you"", 'start': 1.949, 'duration': 4.071}, {'text': 'anymore', 'start': 3.629, 'duration': 2.391}, {'text': ""what's up guys it's pat and welcome back"", 'start': 11.24, 'duration': 4.66}, {'text': 'to another mod showcase and today we are', 'start': 13.889, 'duration': 4.171}, {'text': 'checking out the infinite adventure mod', 'start': 15.9, 'duration': 3.99}, {'text': ""and at the moment I'm just going to say"", 'start': 18.06, 'duration': 3.389}, {'text': ""it before we get started it's not even"", 'start': 19.89, 'duration': 3.209}, {'text': 'close to infinite it just came out but', 'start': 21.449, 'duration': 3.0}, {'text': ""it's pretty cool it's perfect to like"", 'start': 23.099, 'duration': 3.301}, {'text': 'toss into a mod pack it adds in one', 'start': 24.449, 'duration': 3.99}, {'text': 'dungeon with one boss which is Hugh', 'start': 26.4, 'duration': 3.959}, {'text': 'brought in some unique items as well so', 'start': 28.439, 'duration': 2.941}, {'text': ""I thought it'd be cool to show you guys"", 'start': 30.359, 'duration': 2.22}, {'text': ""before you've seen it from like dad"", 'start': 31.38, 'duration': 2.94}, {'text': ""million youtubers cuz I don't want to"", 'start': 32.579, 'duration': 3.271}, {'text': ""see in the comments I've already seen"", 'start': 34.32, 'duration': 4.59}, {'text': 'this from Captain minecraft cart you see', 'start': 35.85, 'duration': 4.89}, {'text': 'what I did there I combine like a bunch', 'start': 38.91, 'duration': 4.23}, {'text': 'of youtubers while juggling steak pretty', 'start': 40.74, 'duration': 4.53}, {'text': ""badly so anyways guys dad's in a pretty"", 'start': 43.14, 'duration': 3.93}, {'text': 'challenging dungeon secure items so if', 'start': 45.27, 'duration': 2.85}, {'text': ""you're bought for this one's definitely"", 'start': 47.07, 'duration': 3.27}, {'text': 'crush that like button do it with your', 'start': 48.12, 'duration': 3.69}, {'text': ""steak someone's eating steak right now"", 'start': 50.34, 'duration': 3.24}, {'text': 'you got to be or just use your meal to', 'start': 51.81, 'duration': 3.93}, {'text': 'do it and subscribe as well and try not', 'start': 53.58, 'duration': 3.96}, {'text': 'to get it all over the keyboard alright', 'start': 55.74, 'duration': 2.85}, {'text': ""so let's get this started with some"", 'start': 57.54, 'duration': 2.97}, {'text': 'armor so right here we have the miners', 'start': 58.59, 'duration': 4.02}, {'text': ""headlamp it's not a miner's helmet it's"", 'start': 60.51, 'duration': 3.719}, {'text': ""a headlamp guys it's got a whole lamp"", 'start': 62.61, 'duration': 3.39}, {'text': 'attached to your head so if you want to', 'start': 64.229, 'duration': 3.03}, {'text': 'make this one it is going to be golden', 'start': 66.0, 'duration': 3.57}, {'text': ""gets and glowstone dust so I'm gonna"", 'start': 67.259, 'duration': 4.051}, {'text': ""grab this we put it on it's a headlamp I"", 'start': 69.57, 'duration': 3.179}, {'text': 'always wanted one of those so you get', 'start': 71.31, 'duration': 3.9}, {'text': ""one bar Plus night vision so if you're"", 'start': 72.749, 'duration': 4.11}, {'text': 'mining this is wonderful looks pretty', 'start': 75.21, 'duration': 2.909}, {'text': ""good doesn't look like a lamp it's a"", 'start': 76.859, 'duration': 4.021}, {'text': 'tiny lamp looking good right now so here', 'start': 78.119, 'duration': 4.29}, {'text': 'we also have the miners vest to make', 'start': 80.88, 'duration': 3.059}, {'text': 'this one it is going to be leather and', 'start': 82.409, 'duration': 4.051}, {'text': 'gray dye just like that so to grab this', 'start': 83.939, 'duration': 4.621}, {'text': 'this one is super helpful mining this is', 'start': 86.46, 'duration': 4.199}, {'text': 'like a combo set right here so put this', 'start': 88.56, 'duration': 5.04}, {'text': ""on you get haste to automatically so I'm"", 'start': 90.659, 'duration': 4.77}, {'text': 'reminding like a beast so what were to', 'start': 93.6, 'duration': 3.449}, {'text': ""do is grab this iron pickaxe and we're"", 'start': 95.429, 'duration': 3.451}, {'text': ""gonna mine stuff I'm gonna find the"", 'start': 97.049, 'duration': 4.261}, {'text': ""ground it's under here somewhere let's"", 'start': 98.88, 'duration': 4.32}, {'text': 'mine in and see how fast we can go', 'start': 101.31, 'duration': 4.049}, {'text': 'through this oh yeah look at this so if', 'start': 103.2, 'duration': 3.629}, {'text': ""you don't mind you can see everything I"", 'start': 105.359, 'duration': 3.661}, {'text': 'could see all the blocks in front of me', 'start': 106.829, 'duration': 3.93}, {'text': ""and you're mind them out so quickly -"", 'start': 109.02, 'duration': 3.72}, {'text': ""you know what guys we don't even need"", 'start': 110.759, 'duration': 3.871}, {'text': ""this pickaxe it's garbage compared to"", 'start': 112.74, 'duration': 3.719}, {'text': ""the next one that's like a perfect throw"", 'start': 114.63, 'duration': 3.839}, {'text': 'I went in like a basketball hoop alright', 'start': 116.459, 'duration': 5.461}, {'text': 'so this is the mega pickaxe 17.5 attack', 'start': 118.469, 'duration': 5.31}, {'text': ""damage that's like two diamond swords"", 'start': 121.92, 'duration': 3.96}, {'text': 'attached to your diamond pickaxe so if', 'start': 123.779, 'duration': 3.27}, {'text': 'you want to make this one it is going to', 'start': 125.88, 'duration': 2.64}, {'text': ""be two blocks it's got a block of"", 'start': 127.049, 'duration': 3.451}, {'text': 'diamond and iron ingots like that so', 'start': 128.52, 'duration': 3.72}, {'text': 'super expensive Buckeyes you can find', 'start': 130.5, 'duration': 3.42}, {'text': ""this in the dungeons you don't even have"", 'start': 132.24, 'duration': 3.96}, {'text': 'to waste time crafting this but check it', 'start': 133.92, 'duration': 4.47}, {'text': ""out we're gonna try this with the hey"", 'start': 136.2, 'duration': 3.959}, {'text': ""still I'm gonna picking this one up in a"", 'start': 138.39, 'duration': 2.19}, {'text': 'second', 'start': 140.159, 'duration': 3.121}, {'text': 'I are going to get ready for it BAM this', 'start': 140.58, 'duration': 5.19}, {'text': 'is freaking beastly so going mining with', 'start': 143.28, 'duration': 3.9}, {'text': ""this it's gonna be like the best trip"", 'start': 145.77, 'duration': 4.5}, {'text': 'ever this is the true test obsidian how', 'start': 147.18, 'duration': 5.37}, {'text': 'long does it take is it quick enough so', 'start': 150.27, 'duration': 4.92}, {'text': ""it doesn't get boring almost it almost"", 'start': 152.55, 'duration': 4.11}, {'text': ""is it's still a little bit boring when"", 'start': 155.19, 'duration': 2.82}, {'text': ""you're mining it obsidian is always"", 'start': 156.66, 'duration': 2.4}, {'text': ""boring there's nothing you could do"", 'start': 158.01, 'duration': 3.15}, {'text': 'about it guys but this is nice speed you', 'start': 159.06, 'duration': 3.24}, {'text': ""don't have to wait all day getting it"", 'start': 161.16, 'duration': 2.88}, {'text': 'gonna get that nether portal in no time', 'start': 162.3, 'duration': 4.59}, {'text': 'at BAM so Before we jump into the deadly', 'start': 164.04, 'duration': 4.59}, {'text': 'dungeon there is some decoration blocks', 'start': 166.89, 'duration': 3.45}, {'text': 'so right here is what we have we have', 'start': 168.63, 'duration': 3.72}, {'text': ""obsidian brick to make it's a bunch of"", 'start': 170.34, 'duration': 3.75}, {'text': 'obsidian but guys keep in mind you can', 'start': 172.35, 'duration': 3.18}, {'text': 'just grab this from the dungeon these', 'start': 174.09, 'duration': 3.09}, {'text': ""things are everywhere there's tons of"", 'start': 175.53, 'duration': 2.97}, {'text': 'Bob but make sure you have your mega', 'start': 177.18, 'duration': 3.45}, {'text': ""pickaxe or it's gonna take forever so"", 'start': 178.5, 'duration': 3.51}, {'text': ""this one the carved version you can't"", 'start': 180.63, 'duration': 2.76}, {'text': 'craft it gotta grab it from the dungeon', 'start': 182.01, 'duration': 3.48}, {'text': 'but this one the mossy version you can', 'start': 183.39, 'duration': 3.87}, {'text': 'make it if you grab the other block you', 'start': 185.49, 'duration': 2.969}, {'text': 'need a lot of vines check it out just', 'start': 187.26, 'duration': 2.31}, {'text': 'tossing around it like that', 'start': 188.459, 'duration': 4.111}, {'text': 'and finally the obsidian lantern look at', 'start': 189.57, 'duration': 4.74}, {'text': 'this so this lights things up like a', 'start': 192.57, 'duration': 3.87}, {'text': 'beast but you need tons of bricks and a', 'start': 194.31, 'duration': 4.32}, {'text': ""lava bucket so there's already dinner to"", 'start': 196.44, 'duration': 3.39}, {'text': ""test everything out we're gonna make it"", 'start': 198.63, 'duration': 3.15}, {'text': ""nighttime let's do this hopefully I"", 'start': 199.83, 'duration': 4.68}, {'text': ""didn't mess this up I BAM nighttime"", 'start': 201.78, 'duration': 4.92}, {'text': ""let's try this out let's go over here I"", 'start': 204.51, 'duration': 4.47}, {'text': 'have to take this off actually take that', 'start': 206.7, 'duration': 6.99}, {'text': 'off do one super dark so this is really', 'start': 208.98, 'duration': 6.69}, {'text': 'good guys I even set up this little area', 'start': 213.69, 'duration': 3.84}, {'text': 'where to go down to rainy now of course', 'start': 215.67, 'duration': 4.319}, {'text': ""it is of course it's raining get to the"", 'start': 217.53, 'duration': 4.32}, {'text': ""back of this it's super dark put down"", 'start': 219.989, 'duration': 4.321}, {'text': 'the lantern Beasley add a bunch of this', 'start': 221.85, 'duration': 4.23}, {'text': ""chest so it's cool-looking to I actually"", 'start': 224.31, 'duration': 3.57}, {'text': 'like the design on it it looks kind of', 'start': 226.08, 'duration': 3.99}, {'text': 'like a weird fan I was born for this', 'start': 227.88, 'duration': 4.079}, {'text': ""moment I'm putting on my miner's"", 'start': 230.07, 'duration': 3.75}, {'text': 'headlamp always wanted one of these and', 'start': 231.959, 'duration': 3.871}, {'text': ""diamond gear and plus guys I've got this"", 'start': 233.82, 'duration': 4.11}, {'text': 'diamond sword sharpness 20 we needed', 'start': 235.83, 'duration': 4.17}, {'text': ""euro Bryant is a freaking beast I'm"", 'start': 237.93, 'duration': 3.33}, {'text': ""gonna try not to use it I'm actually"", 'start': 240.0, 'duration': 3.48}, {'text': 'gonna fight with his awesome pickaxe so', 'start': 241.26, 'duration': 5.31}, {'text': ""let's go to the dungeon so BAM right"", 'start': 243.48, 'duration': 5.07}, {'text': 'here and then you can see the boss bar', 'start': 246.57, 'duration': 3.21}, {'text': 'this is actually how you find the', 'start': 248.55, 'duration': 3.06}, {'text': ""dungeons you'll see the boss bar it's"", 'start': 249.78, 'duration': 3.66}, {'text': 'going to be underneath you the dungeon', 'start': 251.61, 'duration': 2.97}, {'text': ""will be down there somewhere that's how"", 'start': 253.44, 'duration': 1.71}, {'text': 'I found it', 'start': 254.58, 'duration': 3.18}, {'text': ""so let's go down I'm nervous this is the"", 'start': 255.15, 'duration': 4.829}, {'text': 'entrance you can see his boss bar right', 'start': 257.76, 'duration': 4.32}, {'text': 'there I mean his name I see it do you', 'start': 259.979, 'duration': 3.901}, {'text': ""say I say it's right there we're going"", 'start': 262.08, 'duration': 4.11}, {'text': 'to jump into this oh this is gonna be', 'start': 263.88, 'duration': 3.09}, {'text': ""bad isn't it"", 'start': 266.19, 'duration': 3.21}, {'text': ""still a skeleton know you're probably"", 'start': 266.97, 'duration': 3.12}, {'text': ""don't do it"", 'start': 269.4, 'duration': 2.46}, {'text': 'I need the spawner hsihu at me with the', 'start': 270.09, 'duration': 4.17}, {'text': 'bomb get the spawner quick', 'start': 271.86, 'duration': 4.53}, {'text': 'I have the mega pickaxe he seems mad why', 'start': 274.26, 'duration': 3.75}, {'text': ""are you so mad you're Brian I love you"", 'start': 276.39, 'duration': 4.2}, {'text': 'stop hitting me we could be friends I', 'start': 278.01, 'duration': 3.66}, {'text': 'like your eyes', 'start': 280.59, 'duration': 3.41}, {'text': 'alright seriously I need to get this my', 'start': 281.67, 'duration': 5.64}, {'text': ""stupid you're so mean alright whatever"", 'start': 284.0, 'duration': 3.97}, {'text': ""let's go bro"", 'start': 287.31, 'duration': 2.6}, {'text': ""let's go you messed with the wrong dude"", 'start': 287.97, 'duration': 4.2}, {'text': 'skeleton please hit him I need help any', 'start': 289.91, 'duration': 4.9}, {'text': ""backup you can't be controlled by him"", 'start': 292.17, 'duration': 5.04}, {'text': ""anymore seriously I'm gonna die here I'm"", 'start': 294.81, 'duration': 4.05}, {'text': 'dying I wonder if I get to fall in this', 'start': 297.21, 'duration': 2.04}, {'text': 'lava', 'start': 298.86, 'duration': 3.39}, {'text': 'go go into lava man get in there', 'start': 299.25, 'duration': 6.0}, {'text': ""oh he's army and of course he's here a"", 'start': 302.25, 'duration': 5.1}, {'text': ""bride of course yes I'm gonna go over"", 'start': 305.25, 'duration': 4.28}, {'text': ""here I'm gonna get rid what do you do it"", 'start': 307.35, 'duration': 5.04}, {'text': 'finally got it so this is quite the', 'start': 309.53, 'duration': 4.54}, {'text': 'battle to the death this skeleton is', 'start': 312.39, 'duration': 3.18}, {'text': 'really enough you know what you know man', 'start': 314.07, 'duration': 4.62}, {'text': 'do i q Brian can we at least talk about', 'start': 315.57, 'duration': 3.75}, {'text': 'this', 'start': 318.69, 'duration': 2.45}, {'text': ""I'm not sure I want to fight you anymore"", 'start': 319.32, 'duration': 3.54}, {'text': ""honestly guys I don't think I'm ever"", 'start': 321.14, 'duration': 2.98}, {'text': 'gonna remember to put on keep inventory', 'start': 322.86, 'duration': 3.6}, {'text': ""before I show case but let's kill you Oh"", 'start': 324.12, 'duration': 4.11}, {'text': ""Brian let's do this I think the door to"", 'start': 326.46, 'duration': 2.82}, {'text': 'smack me in the face', 'start': 328.23, 'duration': 3.63}, {'text': ""you're dying man no more messing around"", 'start': 329.28, 'duration': 5.52}, {'text': 'I let you kill me please allow your', 'start': 331.86, 'duration': 6.06}, {'text': 'rewards I want that are there we go Kuro', 'start': 334.8, 'duration': 5.52}, {'text': 'Brian died it even tells you like you', 'start': 337.92, 'duration': 4.05}, {'text': ""didn't know like that noise wasn't loud"", 'start': 340.32, 'duration': 3.66}, {'text': 'enough but guys the main purpose of this', 'start': 341.97, 'duration': 3.9}, {'text': 'is to get to the treasure you see it up', 'start': 343.98, 'duration': 3.81}, {'text': ""there it's like really painful to get"", 'start': 345.87, 'duration': 3.21}, {'text': ""because I can't break through this very"", 'start': 347.79, 'duration': 3.78}, {'text': ""quick alright let's check it out oh look"", 'start': 349.08, 'duration': 4.77}, {'text': 'at this Omega pickaxe this might even', 'start': 351.57, 'duration': 4.32}, {'text': ""have a chance on it I've got nothing"", 'start': 353.85, 'duration': 3.69}, {'text': 'mine is terrible compared this this', 'start': 355.89, 'duration': 4.14}, {'text': ""one's got efficiency 6 it's a high"", 'start': 357.54, 'duration': 4.17}, {'text': ""number it's in the high ramen noodles as"", 'start': 360.03, 'duration': 3.63}, {'text': ""Jen would say so look at this I'm"", 'start': 361.71, 'duration': 4.89}, {'text': 'breaking for 17.5 attack damage Plus', 'start': 363.66, 'duration': 5.82}, {'text': 'blocks of diamonds is god horse armor', 'start': 366.6, 'duration': 4.23}, {'text': 'all kinds of stuff seriously this is a', 'start': 369.48, 'duration': 3.12}, {'text': 'great treasure but you must kill your', 'start': 370.83, 'duration': 3.45}, {'text': ""Brian he stands in your way he'll chase"", 'start': 372.6, 'duration': 3.72}, {'text': ""you down it's not that easy to get up"", 'start': 374.28, 'duration': 4.11}, {'text': 'there I guess you could run in and like', 'start': 376.32, 'duration': 3.84}, {'text': 'build yourself up like super quick if', 'start': 378.39, 'duration': 3.21}, {'text': ""you wanted to but it's not as fun oh my"", 'start': 380.16, 'duration': 4.26}, {'text': ""god is that a face it's a face is an icy"", 'start': 381.6, 'duration': 5.49}, {'text': ""ice I see a mouth it's freaky it's here"", 'start': 384.42, 'duration': 4.95}, {'text': ""on Brian's face possibly anyways guys"", 'start': 387.09, 'duration': 3.66}, {'text': 'that is about all there is to show this', 'start': 389.37, 'duration': 3.03}, {'text': 'mine for now and adds in a deadly', 'start': 390.75, 'duration': 3.9}, {'text': 'dungeon herobrine is some really cool', 'start': 392.4, 'duration': 4.47}, {'text': ""items plus sick treasures so if you're"", 'start': 394.65, 'duration': 3.12}, {'text': 'traveling around the world in your', 'start': 396.87, 'duration': 2.52}, {'text': ""finest it's definitely gonna be exciting"", 'start': 397.77, 'duration': 3.33}, {'text': 'but yeah guys hope you enjoyed this one', 'start': 399.39, 'duration': 3.18}, {'text': 'if you want to download the mod it will', 'start': 401.1, 'duration': 3.36}, {'text': 'be down below in the description the', 'start': 402.57, 'duration': 4.05}, {'text': ""link you'll find it there I don't know"", 'start': 404.46, 'duration': 3.84}, {'text': ""it's wrong with me anyways guys hope you"", 'start': 406.62, 'duration': 3.269}, {'text': 'oh this if you did definitely crush that', 'start': 408.3, 'duration': 3.51}, {'text': 'like button and subscribe as well that', 'start': 409.889, 'duration': 3.03}, {'text': ""would be awesome I'd really appreciate"", 'start': 411.81, 'duration': 3.389}, {'text': 'it and I will see you next time peace', 'start': 412.919, 'duration': 4.49}, {'text': 'out', 'start': 415.199, 'duration': 2.21}, {'text': 'you', 'start': 430.38, 'duration': 2.06}]"
umCl,axpahsEzMx8,"[5, 16]",
foCl,zHp8Z9FDlNw,"[5, 84, 169, 405]",
tICl,zPhjFT9CALE,"[13, 41, 54]",
xqCl,zUB51Ctn2Z0,"[2, 7, 266, 702, 1330]","[{'text': 'hey Curt Shane hork is Franklin', 'start': 23.22, 'duration': 6.16}, {'text': 'Chevrolet forgot she video on this 99', 'start': 25.899, 'duration': 6.441}, {'text': 'Mercedes for you', 'start': 29.38, 'duration': 2.96}, {'text': 'got the AC fixed on it', 'start': 33.74, 'duration': 3.83}, {'text': ""the back seats aren't too bad"", 'start': 75.44, 'duration': 3.5}, {'text': 'but tell me they got a poster guys gonna', 'start': 80.05, 'duration': 4.63}, {'text': 'come freak this arm round sometime today', 'start': 82.64, 'duration': 4.67}, {'text': 'or tomorrow', 'start': 84.68, 'duration': 2.63}, {'text': ""such cracks in the seat but it isn't"", 'start': 87.67, 'duration': 5.34}, {'text': 'night', 'start': 90.86, 'duration': 2.15}, {'text': 'but they see is working they did fix it', 'start': 97.15, 'duration': 4.64}, {'text': 'I know they got a guy from California', 'start': 104.369, 'duration': 4.17}, {'text': 'interested in it the other Internet guys', 'start': 106.1, 'duration': 6.1}, {'text': ""working a deal on it from him I'll shoot"", 'start': 108.539, 'duration': 5.79}, {'text': 'this video to you hope we lose some', 'start': 112.2, 'duration': 5.57}, {'text': 'business thanks man', 'start': 114.329, 'duration': 3.441}]"
