ZlB7,HIBOaMyt6Ec,[8],
oAFx,rbHhugAA_rA,[1311],
2yFx,7wOhAK9bAp4,"[15, 18, 59, 1121, 1260, 1511, 2215, 2309]",
6VFx,89omDVDWADw,"[0, 226]",
pVFx,,"[0, 1, 19, 2165, 2620]",
ibFx,7TxLPoh0Bic,"[5, 16, 328, 362]",
txFx,kNO_GJcOVpY,"[2, 7, 17, 19, 48, 64, 128, 149]",
dlFx,VuVg_csH-oo,"[82, 103, 118, 440]",
tOFx,VxqO8a7ff0E,"[2, 7, 171, 344, 2810]",
W9Fx,WCwgbOeXEvI,"[74, 131, 209]",
ZuFx,WDQ2HqgtJ9s,"[11, 20, 22, 123, 176, 211, 321, 683, 1540, 2436]",
QgFx,3zJQ3sVgT8Y,"[0, 118]",
L3Fx,4-u_LeAOZGE,"[17, 19]",
gZFx,BD_Zkji7vmw,[1587],
d5Fx,BP8IYQtV_ao,"[2, 7, 83, 208]",
xjFx,iU4_9ilcTHI,"[11, 20, 22, 211, 321, 576, 1157]",
xEFx,iWPQ1b-HT_o,"[3, 4, 10]",
WaFx,5cxwWDqK-mA,"[2, 43, 44, 46, 109, 664, 965]",
c5Fx,5hxHKXrIKCg,[261],
BYFx,rixB6VL23rQ,"[2, 7, 2045]",
nRFx,rtECgPh0FeY,"[6, 8]",
5bFx,FPrfdmD1E4E,[31],
plFx,J9SUDqltbtg,"[210, 2539]",
c0Fx,JITw2HBiwcs,"[0, 1, 139]",
mmFx,P9IBqdPwr_M,[2228],
PUFx,H4wI7R38EL0,"[11, 20, 22, 29, 32, 321, 334, 564]","[{'text': 'Tuna Pizza', 'start': 0.0, 'duration': 10.06}, {'text': 'Ingredients', 'start': 10.06, 'duration': 1.98}, {'text': 'Salt', 'start': 12.04, 'duration': 1.72}, {'text': 'Thyme', 'start': 13.76, 'duration': 2.12}, {'text': '1/2 cup olive oil', 'start': 15.88, 'duration': 1.96}, {'text': '1 egg', 'start': 17.84, 'duration': 1.96}, {'text': 'Leaven', 'start': 19.8, 'duration': 2.1}, {'text': '500 g flour', 'start': 21.9, 'duration': 1.98}, {'text': 'In a bowl, mix the flour, salt, thyme and olive oil', 'start': 24.04, 'duration': 39.68}, {'text': 'Add the egg and the leaven', 'start': 63.72, 'duration': 12.36}, {'text': 'Mix everything until a smooth mixture is obtained and add tepid milk as necessary', 'start': 76.08, 'duration': 14.2}, {'text': 'Cover and leave to rise for 1 hour', 'start': 90.28, 'duration': 7.84}, {'text': 'On a floured work surface, flatten the dough', 'start': 98.12, 'duration': 8.88}, {'text': 'Spread it on a baking sheet and prick it with a fork', 'start': 107.0, 'duration': 6.64}, {'text': 'For the topping you will need : 3-4 grated tomatoes, salt and pepper, 1/2 tsp paprika, thyme and olive oil, 1/2 tsp sugar,', 'start': 113.9, 'duration': 8.88}, {'text': '1 onion finely chopped, 200 g of mushrooms, 2 cans of tuna, 1 bell pepper cut into small pieces, black olives, grated mozzarella', 'start': 122.78, 'duration': 9.02}, {'text': 'In a skillet over low heat, put the grated tomatoes, salt, pepper, paprika, olive oil, thyme and sugar', 'start': 131.8, 'duration': 16.48}, {'text': 'In a sauté pan, sauté onion and mushrooms for about 5 min', 'start': 148.28, 'duration': 7.66}, {'text': 'and add salt and pepper', 'start': 155.94, 'duration': 6.64}, {'text': 'Then top the pizza with the tomato sauce, the onions and the mushrooms, the bell pepper, the tuna and the black olives', 'start': 162.58, 'duration': 7.24}, {'text': 'Bake it for 20 minutes in a preheated oven at 180°C', 'start': 169.82, 'duration': 5.02}, {'text': 'Finally sprinkle with grated mozzarella', 'start': 174.84, 'duration': 8.44}, {'text': 'Enjoy !', 'start': 183.28, 'duration': 5.76}, {'text': 'See you soon !', 'start': 189.04, 'duration': 2.62}]"
uDFx,H5F7xdL1DLA,"[4, 13, 164, 175]",
i0Fx,H8wbH9frvVY,"[0, 5, 16]",
44Fx,HArFL6L5q1g,"[0, 1, 5, 319]",
dBFx,HESZVZ4hLE4,[1075],
9UFx,HOJ936bbVe8,"[18, 67]",
G1Fx,j_L1F6AGwQM,"[1, 9, 10, 37, 822, 3567]",
8CFx,jbvduIcvJn4,"[184, 191, 299, 311, 614, 985, 1803]","[{'text': 'no matter what your reason is for', 'start': 18.51, 'duration': 5.26}, {'text': 'visiting the area Cancun Resort Las', 'start': 21.22, 'duration': 4.89}, {'text': 'Vegas is determined to make your stay', 'start': 23.77, 'duration': 5.49}, {'text': 'unlike any other upon arriving at this', 'start': 26.11, 'duration': 5.759}, {'text': 'luxury resort you will be welcomed by', 'start': 29.26, 'duration': 5.13}, {'text': 'the Mayan themed design and decor that', 'start': 31.869, 'duration': 4.591}, {'text': 'will take your mind and soul on a', 'start': 34.39, 'duration': 4.71}, {'text': 'journey to places and times of intrigue', 'start': 36.46, 'duration': 6.72}, {'text': 'and imagination Cancun Resort is close', 'start': 39.1, 'duration': 5.94}, {'text': 'to the excitement of the Las Vegas Strip', 'start': 43.18, 'duration': 4.59}, {'text': ""but far enough away that you won't"", 'start': 45.04, 'duration': 6.72}, {'text': 'notice the 24/7 city unwind in your', 'start': 47.77, 'duration': 6.33}, {'text': 'well-appointed Villa accommodations', 'start': 51.76, 'duration': 4.68}, {'text': 'include a private master bedroom with a', 'start': 54.1, 'duration': 4.77}, {'text': 'king-size bed providing a restful', 'start': 56.44, 'duration': 5.88}, {'text': ""night's sleep two full bathrooms and"", 'start': 58.87, 'duration': 4.86}, {'text': 'separate living space the', 'start': 62.32, 'duration': 4.95}, {'text': 'a sleeper sofa allow owners and guests', 'start': 63.73, 'duration': 7.77}, {'text': 'plenty of room to relax and renew every', 'start': 67.27, 'duration': 6.84}, {'text': 'unit is designed to perfection to meet', 'start': 71.5, 'duration': 8.76}, {'text': 'your vacation needs grab your towel and', 'start': 74.11, 'duration': 9.86}, {'text': 'escape to the Mayan Lagoon and Coe', 'start': 80.26, 'duration': 6.45}, {'text': ""you'll enjoy two large outdoor swimming"", 'start': 83.97, 'duration': 5.23}, {'text': 'pools with an impressive my own style', 'start': 86.71, 'duration': 6.54}, {'text': 'backdrop the kids will love the four', 'start': 89.2, 'duration': 7.11}, {'text': 'enormous water slides while you relax in', 'start': 93.25, 'duration': 6.81}, {'text': 'one of the many poolside hammocks grab a', 'start': 96.31, 'duration': 5.43}, {'text': 'cool beverage or enjoy the', 'start': 100.06, 'duration': 3.54}, {'text': 'mouth-watering fare served at the', 'start': 101.74, 'duration': 7.26}, {'text': 'poolside cafe other resort amenities', 'start': 103.6, 'duration': 7.98}, {'text': 'include a large game room and lounge', 'start': 109.0, 'duration': 6.149}, {'text': 'area a fitness center featuring exercise', 'start': 111.58, 'duration': 4.92}, {'text': 'equipment for cardio and', 'start': 115.149, 'duration': 2.72}, {'text': 'strength-training', 'start': 116.5, 'duration': 6.979}, {'text': 'or a relaxing day at the spa an', 'start': 117.869, 'duration': 9.011}, {'text': 'activities area for crafts games and fun', 'start': 123.479, 'duration': 7.361}, {'text': 'an on-site market with souvenirs snacks', 'start': 126.88, 'duration': 9.0}, {'text': 'and essentials an upscale experience in', 'start': 130.84, 'duration': 9.81}, {'text': 'an exciting location lett Cancun Resort', 'start': 135.88, 'duration': 7.05}, {'text': 'Las Vegas become the destination for', 'start': 140.65, 'duration': 6.559}, {'text': 'your perfect Las Vegas vacation', 'start': 142.93, 'duration': 4.279}, {'text': 'you', 'start': 150.02, 'duration': 2.06}]"
G9Fx,jfn-5VZPh7o,"[11, 20, 22, 32]",
WSFx,-WpV1C-xleA,"[74, 187]",
ANFx,hj-SC1VhfeM,"[0, 12, 312]","[{'text': 'you have the team to start again South', 'start': 8.639, 'duration': 5.46}, {'text': 'Africa is Rob Carney Tommy Bose Jared', 'start': 10.23, 'duration': 6.69}, {'text': 'Payne Robbie ensure a solid SIBO Johnny', 'start': 14.099, 'duration': 6.301}, {'text': 'Sexton and Connor Murray and in the', 'start': 16.92, 'duration': 5.76}, {'text': 'forward sits jack McGraw Shawn Cronin', 'start': 20.4, 'duration': 4.98}, {'text': ""Mike Ross dev toner Paul O'Connell was"", 'start': 22.68, 'duration': 8.48}, {'text': 'captain Peter over honey Chris Henry and', 'start': 25.38, 'duration': 8.48}, {'text': 'tenant he slip and on the bench is', 'start': 31.16, 'duration': 5.14}, {'text': ""Ricard Strauss they've killed coin"", 'start': 33.86, 'duration': 5.26}, {'text': 'Rodney are you Mike McCarthy and Reese', 'start': 36.3, 'duration': 6.87}, {'text': 'product with unwritten in Madigan and', 'start': 39.12, 'duration': 15.959}, {'text': 'Felix Jones it was at the start of last', 'start': 43.17, 'duration': 14.22}, {'text': 'week what was available to us', 'start': 55.079, 'duration': 4.53}, {'text': ""you think we're obviously a good center"", 'start': 57.39, 'duration': 7.67}, {'text': 'and his flexibility of play 12 or 13 is', 'start': 59.609, 'duration': 9.031}, {'text': ""similar to Jared but that's the way they"", 'start': 65.06, 'duration': 5.559}, {'text': ""trained last week and and we've decided"", 'start': 68.64, 'duration': 6.45}, {'text': 'to keep a bit of continuity with it he', 'start': 70.619, 'duration': 7.86}, {'text': ""was last week and he's probably back to"", 'start': 75.09, 'duration': 6.569}, {'text': ""full fitness now but we weren't sure if"", 'start': 78.479, 'duration': 6.541}, {'text': ""we weren't absolutely sure of that in in"", 'start': 81.659, 'duration': 5.221}, {'text': 'the beginning of the week we have very', 'start': 85.02, 'duration': 4.11}, {'text': 'small windows of preparation we come', 'start': 86.88, 'duration': 4.77}, {'text': ""together for a very brief time and we've"", 'start': 89.13, 'duration': 5.699}, {'text': 'just felt we were part way along a', 'start': 91.65, 'duration': 6.75}, {'text': 'pathway that that was looking reasonably', 'start': 94.829, 'duration': 6.031}, {'text': 'positive that the two lads have have', 'start': 98.4, 'duration': 4.17}, {'text': 'gotten there together and done a good', 'start': 100.86, 'duration': 4.17}, {'text': ""job and to be theatres gone Darcy he's"", 'start': 102.57, 'duration': 6.03}, {'text': ""helped immeasurably and I think he's"", 'start': 105.03, 'duration': 5.94}, {'text': 'been a really good mentor for Robbie and', 'start': 108.6, 'duration': 4.32}, {'text': 'Jared this week', 'start': 110.97, 'duration': 6.0}, {'text': 'to experience international experiences', 'start': 112.92, 'duration': 6.94}, {'text': 'inside inside them as kind of marrying', 'start': 116.97, 'duration': 5.16}, {'text': 'Jonathan six then outside them Tommy bow', 'start': 119.86, 'duration': 6.0}, {'text': 'with over 50 caps sama zero with less', 'start': 122.13, 'duration': 7.69}, {'text': ""caps again we're a little bit restricted"", 'start': 125.86, 'duration': 5.88}, {'text': 'with the number of injuries there but', 'start': 129.82, 'duration': 3.84}, {'text': ""but we're excited about what Simon's got"", 'start': 131.74, 'duration': 3.75}, {'text': 'to offer and then Rob Carney at the back', 'start': 133.66, 'duration': 4.65}, {'text': ""with lots of experience so yo there's"", 'start': 135.49, 'duration': 4.83}, {'text': ""never going to be a perfect time I don't"", 'start': 138.31, 'duration': 5.76}, {'text': 'think but in the as I said in the', 'start': 140.32, 'duration': 5.19}, {'text': 'preparation window we had available to', 'start': 144.07, 'duration': 4.5}, {'text': 'us the the quality of play that both', 'start': 145.51, 'duration': 6.74}, {'text': 'have provided over the past two years', 'start': 148.57, 'duration': 6.24}, {'text': ""y-your we we've gone into it with a"", 'start': 152.25, 'duration': 4.57}, {'text': 'little bit of confidence that they will', 'start': 154.81, 'duration': 4.08}, {'text': 'give a good account of themselves and I', 'start': 156.82, 'duration': 4.41}, {'text': ""think it's a great test for them and it"", 'start': 158.89, 'duration': 4.44}, {'text': ""there's no doubt they will be very much"", 'start': 161.23, 'duration': 11.64}, {'text': 'tested Africa and is that something that', 'start': 163.33, 'duration': 13.71}, {'text': ""you guys don't have to be yeah look it's"", 'start': 172.87, 'duration': 6.17}, {'text': ""it's every time you put on a Jersey for"", 'start': 177.04, 'duration': 4.86}, {'text': ""Ireland you've got a looking for an any"", 'start': 179.04, 'duration': 4.39}, {'text': ""minute performance and it's it's no"", 'start': 181.9, 'duration': 3.99}, {'text': ""different so Africa and you've seen them"", 'start': 183.43, 'duration': 3.24}, {'text': 'all the way through the rugby', 'start': 185.89, 'duration': 3.629}, {'text': 'championship and performances obviously', 'start': 186.67, 'duration': 4.41}, {'text': 'they put it against New Zealand of late', 'start': 189.519, 'duration': 4.231}, {'text': 'and and and every performance really', 'start': 191.08, 'duration': 4.05}, {'text': ""throw the rubbish championship they've"", 'start': 193.75, 'duration': 3.84}, {'text': ""been they've been battling hard for 80"", 'start': 195.13, 'duration': 3.96}, {'text': ""minutes so and it's certainly something"", 'start': 197.59, 'duration': 4.02}, {'text': 'that we always do but especially against', 'start': 199.09, 'duration': 3.899}, {'text': ""egos we're gonna have to be playing for"", 'start': 201.61, 'duration': 3.65}, {'text': 'a deal', 'start': 202.989, 'duration': 2.271}]"
tsFx,IPWJH2H554Y,"[3, 4, 9, 13]",
CoFx,IiHchfu5eH0,"[6, 8]",
9nFx,Jg7CViFDv5M,"[667, 1550]",
v3Fx,bo7XtvOyr8c,"[0, 523]","[{'text': 'obviously the World Cup first game you', 'start': 10.73, 'duration': 4.69}, {'text': 'guys are coming into it off the back of', 'start': 13.95, 'duration': 3.99}, {'text': 'a pretty morale boosting performance', 'start': 15.42, 'duration': 4.98}, {'text': ""against England what's the feeling in"", 'start': 17.94, 'duration': 6.39}, {'text': 'the camp yeah obviously first game so', 'start': 20.4, 'duration': 5.58}, {'text': 'the team is pretty up for it', 'start': 24.33, 'duration': 3.48}, {'text': 'like you said had a decent performance', 'start': 25.98, 'duration': 4.41}, {'text': 'against England not everything went', 'start': 27.81, 'duration': 4.769}, {'text': 'right according to our plan but', 'start': 30.39, 'duration': 4.29}, {'text': 'nonetheless helped our spirits and', 'start': 32.579, 'duration': 3.66}, {'text': 'confidence going into the tournament so', 'start': 34.68, 'duration': 4.17}, {'text': ""you know there's no pressure on us"", 'start': 36.239, 'duration': 4.41}, {'text': ""really for tomorrow's games that's a big"", 'start': 38.85, 'duration': 3.81}, {'text': ""positive for us we're here to play a"", 'start': 40.649, 'duration': 4.41}, {'text': 'good brand of cricket tomorrow and you', 'start': 42.66, 'duration': 5.34}, {'text': 'know showcase to the world that we can', 'start': 45.059, 'duration': 6.361}, {'text': 'play a little bit what is it about Sri', 'start': 48.0, 'duration': 5.64}, {'text': 'Lanka playing against Sri Lanka is it', 'start': 51.42, 'duration': 4.44}, {'text': 'going to be intimidating for the lads', 'start': 53.64, 'duration': 3.39}, {'text': ""are you worried about how they'll handle"", 'start': 55.86, 'duration': 3.6}, {'text': 'that or as you said is it going to be', 'start': 57.03, 'duration': 4.5}, {'text': 'just a case of no pressure at all just', 'start': 59.46, 'duration': 5.099}, {'text': 'go out and enjoy yourself sports I think', 'start': 61.53, 'duration': 4.62}, {'text': ""the game against England they're a bit"", 'start': 64.559, 'duration': 2.761}, {'text': 'of nerves for some of the younger guys', 'start': 66.15, 'duration': 3.06}, {'text': ""we've got about 500 19's playing on our"", 'start': 67.32, 'duration': 4.11}, {'text': 'site so I think we got that out of the', 'start': 69.21, 'duration': 3.99}, {'text': 'way in the first or the second warm-up', 'start': 71.43, 'duration': 3.81}, {'text': ""game like I said tomorrow it's about no"", 'start': 73.2, 'duration': 4.83}, {'text': 'pressure for us really nobody expects us', 'start': 75.24, 'duration': 4.5}, {'text': 'to to win the game so I know we take', 'start': 78.03, 'duration': 3.96}, {'text': 'that on and spin it positively and easy', 'start': 79.74, 'duration': 4.35}, {'text': 'to advantage play freely', 'start': 81.99, 'duration': 3.33}, {'text': ""you know we've given the license to the"", 'start': 84.09, 'duration': 2.639}, {'text': 'young guys to play their natural games', 'start': 85.32, 'duration': 3.27}, {'text': 'better responsibility for the older guys', 'start': 86.729, 'duration': 4.741}, {'text': 'but yeah obviously everyone in the room', 'start': 88.59, 'duration': 4.919}, {'text': ""I'm sure everyone in the room is aware"", 'start': 91.47, 'duration': 4.41}, {'text': 'of John Davison and what he achieved in', 'start': 93.509, 'duration': 5.031}, {'text': '2003 and to a slightly lesser extent in', 'start': 95.88, 'duration': 5.58}, {'text': '2007 there any other players we should', 'start': 98.54, 'duration': 6.219}, {'text': 'be looking out for on the radar yeah', 'start': 101.46, 'duration': 6.479}, {'text': ""obviously John's been a good at"", 'start': 104.759, 'duration': 4.65}, {'text': 'masterfully and clear over the last few', 'start': 107.939, 'duration': 2.911}, {'text': ""years but we've got some other players"", 'start': 109.409, 'duration': 3.871}, {'text': 'also revenue goodness sake rrah', 'start': 110.85, 'duration': 4.979}, {'text': ""bats up the order he did he's played a"", 'start': 113.28, 'duration': 3.54}, {'text': 'bit of domestic cricket in Sri Lanka', 'start': 115.829, 'duration': 3.18}, {'text': 'this season and last season so he knows', 'start': 116.82, 'duration': 4.049}, {'text': 'the conditions and maybe not for this', 'start': 119.009, 'duration': 2.311}, {'text': 'ground', 'start': 120.869, 'duration': 3.661}, {'text': ""I think nobody does but yeah he's been"", 'start': 121.32, 'duration': 4.71}, {'text': 'scoring quite well for us and he went', 'start': 124.53, 'duration': 2.85}, {'text': 'really well in the domestic season as', 'start': 126.03, 'duration': 4.47}, {'text': 'well and then Rizvan team against', 'start': 127.38, 'duration': 3.719}, {'text': 'England', 'start': 130.5, 'duration': 2.0}, {'text': 'I think couple of days ago', 'start': 131.099, 'duration': 4.051}, {'text': 'as well as you know our opening borders', 'start': 132.5, 'duration': 3.88}, {'text': 'ball really well against England as well', 'start': 135.15, 'duration': 3.48}, {'text': ""so I've got some guys with some"", 'start': 136.38, 'duration': 4.47}, {'text': 'experience in these conditions what', 'start': 138.63, 'duration': 3.87}, {'text': 'about your own about your own form', 'start': 140.85, 'duration': 3.06}, {'text': 'coming into it obviously a lot of people', 'start': 142.5, 'duration': 3.96}, {'text': 'will be looking at you as the main', 'start': 143.91, 'duration': 4.98}, {'text': 'batsman in the Canadian side how do you', 'start': 146.46, 'duration': 4.62}, {'text': 'feel coming into this game I feel pretty', 'start': 148.89, 'duration': 5.13}, {'text': 'good obviously the last three or four', 'start': 151.08, 'duration': 5.85}, {'text': ""games haven't been too well for me but"", 'start': 154.02, 'duration': 6.75}, {'text': ""I'm gonna back myself I've had a good 12"", 'start': 156.93, 'duration': 6.45}, {'text': 'months leading up to this woke up I had', 'start': 160.77, 'duration': 5.25}, {'text': 'a bit of an injury which still persists', 'start': 163.38, 'duration': 5.46}, {'text': 'but you know got an injection', 'start': 166.02, 'duration': 4.95}, {'text': ""last month so it doesn't hold me back as"", 'start': 168.84, 'duration': 3.03}, {'text': 'much as he used to', 'start': 170.97, 'duration': 2.97}, {'text': ""obviously I don't have a responsibility"", 'start': 171.87, 'duration': 5.52}, {'text': 'to to the team and I need to perform but', 'start': 173.94, 'duration': 5.61}, {'text': 'like I said what I enjoy this World Cup', 'start': 177.39, 'duration': 4.67}, {'text': 'and you know give it my best shot', 'start': 179.55, 'duration': 5.88}, {'text': 'um you know that the next World Cup you', 'start': 182.06, 'duration': 4.54}, {'text': 'see we enjoyed the World Cup but you', 'start': 185.43, 'duration': 2.85}, {'text': 'next day woke up you may not be there', 'start': 186.6, 'duration': 3.75}, {'text': 'because this is going to have any 10', 'start': 188.28, 'duration': 4.76}, {'text': ""teams your opinion about what's about"", 'start': 190.35, 'duration': 6.139}, {'text': 'yeah I think everyone from the associate', 'start': 193.04, 'duration': 6.13}, {'text': 'world including players in the test', 'start': 196.489, 'duration': 4.06}, {'text': ""world have said that it's a real shame"", 'start': 199.17, 'duration': 3.69}, {'text': 'for the game you know I think Graham', 'start': 200.549, 'duration': 4.201}, {'text': ""Swan mentioned they're taking the world"", 'start': 202.86, 'duration': 4.2}, {'text': 'out of the World Cup I mean if they want', 'start': 204.75, 'duration': 4.2}, {'text': ""to play it test series yeah that's fine"", 'start': 207.06, 'duration': 3.44}, {'text': ""but a World Cup really shouldn't involve"", 'start': 208.95, 'duration': 3.96}, {'text': 'as much of the world as you possibly can', 'start': 210.5, 'duration': 4.36}, {'text': ""so it's a shame it's very disappointing"", 'start': 212.91, 'duration': 3.78}, {'text': 'for players like us who were looking for', 'start': 214.86, 'duration': 4.02}, {'text': 'opportunities to play against the best', 'start': 216.69, 'duration': 3.6}, {'text': ""in the world I think that's the only way"", 'start': 218.88, 'duration': 3.63}, {'text': 'improve as cricketers as Nations and', 'start': 220.29, 'duration': 4.59}, {'text': ""it's going to really hold back the"", 'start': 222.51, 'duration': 3.99}, {'text': 'growth of the game if you want to keep', 'start': 224.88, 'duration': 4.38}, {'text': 'it to 10 teams which I think it looks', 'start': 226.5, 'duration': 4.17}, {'text': ""like they want to do then that's fine"", 'start': 229.26, 'duration': 2.699}, {'text': ""but it's never gonna be a global sport"", 'start': 230.67, 'duration': 4.319}, {'text': 'if that sort of move is made ICC would', 'start': 231.959, 'duration': 5.821}, {'text': 'like you all to have be in the t20 bowl', 'start': 234.989, 'duration': 6.451}, {'text': 't20 so rather than the World Cup so now', 'start': 237.78, 'duration': 5.61}, {'text': 'playing e 20 matches your main goal', 'start': 241.44, 'duration': 3.96}, {'text': 'would be to gain full test data so do', 'start': 243.39, 'duration': 4.8}, {'text': 'you think that will help you probably', 'start': 245.4, 'duration': 5.46}, {'text': 'not but you can see where ICC is headed', 'start': 248.19, 'duration': 4.35}, {'text': 'and the direction they think cricket is', 'start': 250.86, 'duration': 3.719}, {'text': 'going to be it might be a commercial', 'start': 252.54, 'duration': 4.56}, {'text': 'move because as you know t20 probably', 'start': 254.579, 'duration': 5.071}, {'text': 'sells the best globally how difficult is', 'start': 257.1, 'duration': 3.07}, {'text': 'it to more', 'start': 259.65, 'duration': 1.87}, {'text': 'people when you know for sure that', 'start': 260.17, 'duration': 3.03}, {'text': ""you're not going to play the next World"", 'start': 261.52, 'duration': 5.46}, {'text': 'Cup yeah I mean I think that follows up', 'start': 263.2, 'duration': 6.96}, {'text': ""with the question I had before we're not"", 'start': 266.98, 'duration': 4.41}, {'text': ""worried about the next World Cup we're"", 'start': 270.16, 'duration': 3.66}, {'text': 'not worried about how many teams are', 'start': 271.39, 'duration': 3.6}, {'text': ""going in if we're gonna make it or not"", 'start': 273.82, 'duration': 3.23}, {'text': ""we're just here to play this World Cup"", 'start': 274.99, 'duration': 4.02}, {'text': ""actually today we're here to play"", 'start': 277.05, 'duration': 3.79}, {'text': ""tomorrow's game it's very important to"", 'start': 279.01, 'duration': 3.33}, {'text': 'stay in the present and not worry about', 'start': 280.84, 'duration': 2.91}, {'text': ""too many things is there's a million"", 'start': 282.34, 'duration': 3.75}, {'text': 'things going on you know if you think', 'start': 283.75, 'duration': 3.48}, {'text': ""about everything that's going on and"", 'start': 286.09, 'duration': 3.06}, {'text': 'looking for years down the road I think', 'start': 287.23, 'duration': 3.63}, {'text': ""you're in trouble so we're just focus on"", 'start': 289.15, 'duration': 4.58}, {'text': ""tomorrow's game at the moment"", 'start': 290.86, 'duration': 2.87}]"
V7Fx,bsUUDgf2RF8,"[0, 1, 968, 1635]",
ABFx,C_jXn9u_bow,"[0, 1, 337, 960, 982]",
csFx,CdYF0JqBdhU,"[0, 1, 42, 203, 467]",
UVFx,CgU3ia_plZw,[1842],
ctFx,ChCDlQ6ItGg,"[0, 1, 5]",
r8Fx,CllnwkUar44,[974],
7zFx,qK1b76rwwMg,"[3, 61, 89, 324]",
B6Fx,8VAvHT3Sq9o,"[21, 23, 24]",
m5Fx,gTF204xtSuU,"[0, 1]",
XBFx,gVDA9n25izQ,[741],
LFFx,9lHILlCvKQU,"[0, 1, 219]",
FyFx,9lHQMXob9Ik,"[9, 31]",
vnFx,LWkp6fIJC8c,"[0, 339, 1431]",
gPFx,LXcwUH_HBoU,"[3, 4, 13, 41]",
qsFx,LZj-lzO5ePs,"[21, 23, 24, 115]","[{'text': 'Samsung has launched Rex a new series of', 'start': 0.0, 'duration': 6.899}, {'text': 'dual sim feature phones in india these', 'start': 4.049, 'duration': 7.201}, {'text': 'java based phones include rex 60 rx7', 'start': 6.899, 'duration': 8.851}, {'text': 't-rex 80 and rex 90 samsung is calling', 'start': 11.25, 'duration': 7.529}, {'text': 'these smart features phones these phones', 'start': 15.75, 'duration': 5.039}, {'text': 'are developed in india and it will be', 'start': 18.779, 'duration': 4.381}, {'text': 'launched in several growing markets', 'start': 20.789, 'duration': 5.16}, {'text': 'globally starting from india these', 'start': 23.16, 'duration': 5.16}, {'text': 'phones have TouchWiz interface with', 'start': 25.949, 'duration': 4.861}, {'text': 'eight home screens bluetooth and some of', 'start': 28.32, 'duration': 6.21}, {'text': 'these also have Wi-Fi support samsung', 'start': 30.81, 'duration': 10.37}, {'text': 'rex 60 specifications 2.8 inch 320 x 240', 'start': 34.53, 'duration': 10.11}, {'text': 'pixels resistive touchscreen display', 'start': 41.18, 'duration': 7.809}, {'text': 'smart dual sim TouchWiz UI 1.3 MP camera', 'start': 44.64, 'duration': 8.16}, {'text': '2g edge bluetooth 10 full version gammer', 'start': 48.989, 'duration': 7.14}, {'text': 'loft games expandable memory upto 16', 'start': 52.8, 'duration': 6.66}, {'text': 'gigabytes with microsd nine regional', 'start': 56.129, 'duration': 6.93}, {'text': 'language support 1000 may battery with', 'start': 59.46, 'duration': 7.61}, {'text': 'up to 15 age talk time samsung rex 70', 'start': 63.059, 'duration': 11.071}, {'text': 'specifications 3.0 inch 320 x 240 pixels', 'start': 67.07, 'duration': 9.67}, {'text': 'capacitive touchscreen display smart', 'start': 74.13, 'duration': 5.45}, {'text': 'dual sim and true hot swap TouchWiz UI', 'start': 76.74, 'duration': 7.62}, {'text': '2mp camera 2g edge bluetooth 10 full', 'start': 79.58, 'duration': 7.42}, {'text': 'version gammer loft games expandable', 'start': 84.36, 'duration': 7.11}, {'text': 'memory upto 32 gigabytes with microSD 13', 'start': 87.0, 'duration': 7.89}, {'text': 'regional language support 1000 may', 'start': 91.47, 'duration': 6.359}, {'text': 'battery with up to 13 age talktime', 'start': 94.89, 'duration': 8.689}, {'text': 'samsung rex 80 specifications 3.0 inch', 'start': 97.829, 'duration': 10.231}, {'text': '320 x 240 pixels capacitive touch screen', 'start': 103.579, 'duration': 8.801}, {'text': 'display smart dual sim TouchWiz UI 3mp', 'start': 108.06, 'duration': 9.9}, {'text': 'camera 2g edge bluetooth Wi-Fi 802 point', 'start': 112.38, 'duration': 9.72}, {'text': '11 b g and 10 full version gammer loft', 'start': 117.96, 'duration': 7.199}, {'text': 'games expandable memory upto 32', 'start': 122.1, 'duration': 6.779}, {'text': 'gigabytes with microsd nine regional', 'start': 125.159, 'duration': 6.871}, {'text': 'language support 1000 may battery with', 'start': 128.879, 'duration': 4.921}, {'text': 'up to 14 points', 'start': 132.03, 'duration': 5.09}, {'text': 'have an age talk time', 'start': 133.8, 'duration': 3.32}, {'text': 'you', 'start': 142.78, 'duration': 2.06}]"
L7Fx,FVky7WFPodI,"[8, 383]",
