siBe,4rn0t6RvCa8,"[730, 2415]",
j9Dq,XomKpy8dRZI,[0],
YQDq,3BmI7fkBcyY,"[15, 60, 239, 709]",
hrDq,nNqExSQzjKg,"[6, 8]",
m5Dq,sHFNhWCYQT8,[79],
F8Dq,aFKVO3924nk,"[251, 616, 966, 1619]",
1ADq,aUX2Ujg7V8A,"[0, 52, 70]","[{'text': 'welcome to the very first video here in', 'start': 0.53, 'duration': 4.03}, {'text': 'the round ball mining company Denver', 'start': 3.0, 'duration': 3.87}, {'text': 'Nuggets film room with Carmelo Anthony', 'start': 4.56, 'duration': 3.6}, {'text': 'out three to four weeks the denver', 'start': 6.87, 'duration': 2.78}, {'text': 'nuggets are really going to have to work', 'start': 8.16, 'duration': 3.51}, {'text': 'extra hard to make sure they get good', 'start': 9.65, 'duration': 4.06}, {'text': 'shots and again their first two games', 'start': 11.67, 'duration': 4.02}, {'text': ""i've noticed a real drop off between the"", 'start': 13.71, 'duration': 3.81}, {'text': 'first half and second half in that', 'start': 15.69, 'duration': 3.21}, {'text': ""regard and we're going to take a look at"", 'start': 17.52, 'duration': 3.39}, {'text': 'some clips from the game against detroit', 'start': 18.9, 'duration': 3.389}, {'text': 'to see the difference between how they', 'start': 20.91, 'duration': 2.73}, {'text': ""play dolphins in the first half and I'll"", 'start': 22.289, 'duration': 3.541}, {'text': 'they played in the second half in our', 'start': 23.64, 'duration': 3.09}, {'text': ""first clip you're going to see the"", 'start': 25.83, 'duration': 2.01}, {'text': 'Nuggets are very patient on offense', 'start': 26.73, 'duration': 2.459}, {'text': ""they're going to reverse the ball to the"", 'start': 27.84, 'duration': 3.0}, {'text': 'weak side and then set a cross screen to', 'start': 29.189, 'duration': 4.05}, {'text': 'negate Nene open on the post as a result', 'start': 30.84, 'duration': 4.17}, {'text': 'of a motion that Canyon is open kind of', 'start': 33.239, 'duration': 2.971}, {'text': 'the rim and unfortunately he drops the', 'start': 35.01, 'duration': 3.869}, {'text': 'ball a really good possession in our', 'start': 36.21, 'duration': 3.84}, {'text': ""second clip we're going to see off the"", 'start': 38.879, 'duration': 3.09}, {'text': 'inbounds pass the Nuggets take the ball', 'start': 40.05, 'duration': 4.079}, {'text': 'to the offside they get the ball to', 'start': 41.969, 'duration': 4.081}, {'text': 'Chauncey in the post and Dante makes a', 'start': 44.129, 'duration': 3.331}, {'text': 'great cut towards the rim and ends up', 'start': 46.05, 'duration': 3.12}, {'text': 'getting a basket using his body shield', 'start': 47.46, 'duration': 2.79}, {'text': 'under jobs in the early good', 'start': 49.17, 'duration': 3.869}, {'text': 'shot-blocker way even though this is', 'start': 50.25, 'duration': 4.17}, {'text': 'more of a defensive breakdown by the', 'start': 53.039, 'duration': 2.761}, {'text': ""Pistons in our third clip you're going"", 'start': 54.42, 'duration': 2.819}, {'text': 'to see canyons going to get the ball and', 'start': 55.8, 'duration': 3.329}, {'text': ""immediately attack the basket and that's"", 'start': 57.239, 'duration': 3.151}, {'text': 'a little bit different than why you see', 'start': 59.129, 'duration': 4.23}, {'text': 'from him in the second half this is the', 'start': 60.39, 'duration': 4.71}, {'text': 'one example of an outside shot that I', 'start': 63.359, 'duration': 3.991}, {'text': 'included in your going to see that it', 'start': 65.1, 'duration': 4.019}, {'text': ""wasn't just a drove up the floor past"", 'start': 67.35, 'duration': 3.39}, {'text': 'shooter and have them take a jump where', 'start': 69.119, 'duration': 2.521}, {'text': ""you're going to see the Nuggets are"", 'start': 70.74, 'duration': 3.12}, {'text': 'going to have a lot of movement plays', 'start': 71.64, 'duration': 4.38}, {'text': 'the sets up his cut cuts inside and', 'start': 73.86, 'duration': 3.75}, {'text': 'breaks back outside for an open three', 'start': 76.02, 'duration': 2.94}, {'text': ""and he's been making a lot of those and"", 'start': 77.61, 'duration': 2.759}, {'text': ""that's even though it's an outside shot"", 'start': 78.96, 'duration': 3.81}, {'text': ""it's a good outside shot now we're going"", 'start': 80.369, 'duration': 3.601}, {'text': 'to switch to the second half and I', 'start': 82.77, 'duration': 2.489}, {'text': 'believe all these clips happen in the', 'start': 83.97, 'duration': 2.579}, {'text': 'first seven minutes of the third quarter', 'start': 85.259, 'duration': 3.54}, {'text': 'on a fast-break attempt Nene over', 'start': 86.549, 'duration': 3.75}, {'text': 'penetration and kicks up to clays leave', 'start': 88.799, 'duration': 3.151}, {'text': ""immediately shoots a three and doesn't"", 'start': 90.299, 'duration': 3.57}, {'text': ""even draw a rim it's a challenge three"", 'start': 91.95, 'duration': 4.5}, {'text': 'and that is not a good shot in this next', 'start': 93.869, 'duration': 3.691}, {'text': ""clip we're going to see Chauncey and"", 'start': 96.45, 'duration': 2.4}, {'text': 'Annie playing a little bit of a two-man', 'start': 97.56, 'duration': 3.15}, {'text': 'game but when they face a little bit of', 'start': 98.85, 'duration': 3.33}, {'text': 'resistance they both tend to get lazy', 'start': 100.71, 'duration': 4.11}, {'text': 'and they settle for nada ends up', 'start': 102.18, 'duration': 4.56}, {'text': ""settling for a jumper you're going to"", 'start': 104.82, 'duration': 3.72}, {'text': ""see Chauncey's penetration is cut off"", 'start': 106.74, 'duration': 3.839}, {'text': 'meanwhile everyone else is standing and', 'start': 108.54, 'duration': 4.2}, {'text': 'watching and the result is Nene taking a', 'start': 110.579, 'duration': 4.951}, {'text': 'jumper and for some reason the Nuggets', 'start': 112.74, 'duration': 4.71}, {'text': 'had a rash of really bad shots coming', 'start': 115.53, 'duration': 3.24}, {'text': 'off of inbounds pass over here you see', 'start': 117.45, 'duration': 3.18}, {'text': 'Nene just captures and shoots plenty of', 'start': 118.77, 'duration': 3.69}, {'text': ""time on the shot clock and I'm not quite"", 'start': 120.63, 'duration': 4.65}, {'text': 'sure why he took that shot next we see', 'start': 122.46, 'duration': 5.7}, {'text': 'another inbounds pass Nene gets the ball', 'start': 125.28, 'duration': 4.41}, {'text': 'in the same spot and this time he passes', 'start': 128.16, 'duration': 3.39}, {'text': 'the canyon who for some reason takes a', 'start': 129.69, 'duration': 3.61}, {'text': '20-footer the room', 'start': 131.55, 'duration': 3.13}, {'text': 'seven seconds on the shot clock would', 'start': 133.3, 'duration': 2.64}, {'text': 'still he has a chance to work for a', 'start': 134.68, 'duration': 3.84}, {'text': 'better shot this next clip Chauncey is', 'start': 135.94, 'duration': 3.81}, {'text': 'actually going to make a long 3-pointer', 'start': 138.52, 'duration': 3.21}, {'text': ""but I think we can all agree that it's"", 'start': 139.75, 'duration': 3.69}, {'text': ""not the best shot to take Nene he's"", 'start': 141.73, 'duration': 2.88}, {'text': 'going to set a screen and once again', 'start': 143.44, 'duration': 3.87}, {'text': 'shanties his penetrations cut off and', 'start': 144.61, 'duration': 4.02}, {'text': 'instead of going back to work for', 'start': 147.31, 'duration': 2.7}, {'text': 'something else he just takes a long J', 'start': 148.63, 'duration': 3.21}, {'text': ""yes because it goes and doesn't make it"", 'start': 150.01, 'duration': 4.32}, {'text': 'a good shot Jerry Smith takes a lot of', 'start': 151.84, 'duration': 4.35}, {'text': 'heat for taking heat check threes and I', 'start': 154.33, 'duration': 3.63}, {'text': 'think Chauncey does a little bit of that', 'start': 156.19, 'duration': 4.08}, {'text': 'you and but fans tend to let it slide a', 'start': 157.96, 'duration': 3.66}, {'text': 'little bit but here you see after he', 'start': 160.27, 'duration': 2.64}, {'text': ""made that previous three-pointer he's"", 'start': 161.62, 'duration': 2.34}, {'text': 'going to settle for the three off the', 'start': 162.91, 'duration': 2.31}, {'text': 'screen when he has plenty room to', 'start': 163.96, 'duration': 3.75}, {'text': 'penetrate and the Nuggets do end up', 'start': 165.22, 'duration': 3.93}, {'text': 'getting the rebound and Chauncey drives', 'start': 167.71, 'duration': 4.02}, {'text': 'and I just wanted to keep this in to', 'start': 169.15, 'duration': 3.87}, {'text': 'show one of the other themes of the', 'start': 171.73, 'duration': 2.91}, {'text': 'second half and that was the refs', 'start': 173.02, 'duration': 4.26}, {'text': ""wouldn't call anything on the train sure"", 'start': 174.64, 'duration': 4.23}, {'text': ""it's penny sour grapes but I just had to"", 'start': 177.28, 'duration': 4.05}, {'text': 'throw that out there on this next clip', 'start': 178.87, 'duration': 4.41}, {'text': ""you're going to notice that the Nuggets"", 'start': 181.33, 'duration': 4.23}, {'text': 'just basically stand around and let the', 'start': 183.28, 'duration': 3.9}, {'text': ""shot clock wind down there's no movement"", 'start': 185.56, 'duration': 4.5}, {'text': ""there's no cutting no one's a trying to"", 'start': 187.18, 'duration': 4.86}, {'text': 'get open like they did in the first half', 'start': 190.06, 'duration': 4.38}, {'text': 'Johnson going to skip it over to Kenyon', 'start': 192.04, 'duration': 3.54}, {'text': 'instead of swinging around he just', 'start': 194.44, 'duration': 3.09}, {'text': ""stands and he watches and they're"", 'start': 195.58, 'duration': 3.51}, {'text': 'fortunate to get a pretty decent shot by', 'start': 197.53, 'duration': 3.45}, {'text': ""Dante Jones simply because Iverson's"", 'start': 199.09, 'duration': 4.71}, {'text': 'playing some ways ed here and they end', 'start': 200.98, 'duration': 4.08}, {'text': 'up getting the offensive rebound and', 'start': 203.8, 'duration': 4.77}, {'text': 'nene is fouled and it shows how good', 'start': 205.06, 'duration': 4.89}, {'text': 'things can be when you do get in the', 'start': 208.57, 'duration': 3.18}, {'text': ""paint but the Nuggets just didn't work"", 'start': 209.95, 'duration': 4.14}, {'text': 'hard enough to get shots like that now', 'start': 211.75, 'duration': 3.6}, {'text': 'this just absolutely has to be one of', 'start': 214.09, 'duration': 3.57}, {'text': 'the worst shots of the game knowing that', 'start': 215.35, 'duration': 3.6}, {'text': 'the Nuggets are selling too much for', 'start': 217.66, 'duration': 3.329}, {'text': ""premier jumpers I'd love to see Chauncey"", 'start': 218.95, 'duration': 3.48}, {'text': 'try to work for a better shot here you', 'start': 220.989, 'duration': 3.031}, {'text': 'see and again off of an inbounds pass', 'start': 222.43, 'duration': 3.39}, {'text': 'for some reason another nice just took a', 'start': 224.02, 'duration': 3.03}, {'text': 'lot of bad days off the moon bounce', 'start': 225.82, 'duration': 4.35}, {'text': ""passes but that's a horrible shot then"", 'start': 227.05, 'duration': 4.95}, {'text': ""I'm going to ram this same set to start"", 'start': 230.17, 'duration': 3.27}, {'text': 'the second half and Kenyon got the ball', 'start': 232.0, 'duration': 3.03}, {'text': 'from Chauncey and drove although in for', 'start': 233.44, 'duration': 3.06}, {'text': ""a layup you're going to see for some"", 'start': 235.03, 'duration': 2.94}, {'text': 'reason he decides to shoot from the top', 'start': 236.5, 'duration': 3.45}, {'text': ""of the circle doesn't draw a rim and"", 'start': 237.97, 'duration': 3.48}, {'text': 'iverson gets three bound in races past', 'start': 239.95, 'duration': 3.3}, {'text': 'all five nuggets and gets fouled on the', 'start': 241.45, 'duration': 3.33}, {'text': 'other end of the floor just a pathetic', 'start': 243.25, 'duration': 4.77}, {'text': 'effort and a bad decision by Canyon so', 'start': 244.78, 'duration': 4.95}, {'text': 'there you have it the Nuggets are one in', 'start': 248.02, 'duration': 3.09}, {'text': 'one in the two games since Carmelo', 'start': 249.73, 'duration': 4.35}, {'text': 'Anthony broke his hand and you can see', 'start': 251.11, 'duration': 5.07}, {'text': 'from the clips there that the Nuggets', 'start': 254.08, 'duration': 3.45}, {'text': 'were completely different offensive team', 'start': 256.18, 'duration': 2.76}, {'text': 'in the second half compared to the first', 'start': 257.53, 'duration': 3.45}, {'text': 'half and they cannot do that without', 'start': 258.94, 'duration': 4.83}, {'text': 'Carmelo on the floor they need to be', 'start': 260.98, 'duration': 5.12}, {'text': 'extra focused and work extra hard in or', 'start': 263.77, 'duration': 4.37}, {'text': 'to earn good shots and take care of the', 'start': 266.1, 'duration': 4.83}, {'text': 'ball and be a good offensive team for', 'start': 268.14, 'duration': 4.8}, {'text': 'some reason when the defense puts up a', 'start': 270.93, 'duration': 3.27}, {'text': ""little more resistance there's no doubt"", 'start': 272.94, 'duration': 2.58}, {'text': 'that the Pistons played a little tougher', 'start': 274.2, 'duration': 2.7}, {'text': 'on the defensive end in the second half', 'start': 275.52, 'duration': 3.42}, {'text': 'than the first the Nuggets instead of', 'start': 276.9, 'duration': 4.08}, {'text': 'responding with greater determination', 'start': 278.94, 'duration': 4.71}, {'text': 'they seem to respond with lazy offense', 'start': 280.98, 'duration': 4.62}, {'text': 'and bad jumpers hopefully they can', 'start': 283.65, 'duration': 3.9}, {'text': 'reverse that trend though coming up over', 'start': 285.6, 'duration': 3.24}, {'text': 'the next couple weeks without Carmelo', 'start': 287.55, 'duration': 3.63}, {'text': 'Anthony so thanks a lot for joining us', 'start': 288.84, 'duration': 3.81}, {'text': 'in the first edition of the round ball', 'start': 291.18, 'duration': 3.15}, {'text': 'mining company film room and i look', 'start': 292.65, 'duration': 3.15}, {'text': 'forward to put a lot more videos', 'start': 294.33, 'duration': 4.85}, {'text': 'together and hope you have a great day', 'start': 295.8, 'duration': 3.38}]"
xBDq,rX9fwzdsesA,[50],
T8Dq,wEUme0qwjug,"[28, 33, 38, 78, 86, 257, 553, 987, 1088]",
dyDq,wGw3zFNFsM8,"[2, 95, 135, 297]",
lxDq,vzPKuzOmU7Q,[3],
4DDq,-fmYLnv7_So,"[3, 6]",
QBDq,,"[1, 5, 84, 169, 476]",
QTDq,-w78F_mG_QM,"[2, 44, 1162, 3600]","[{'text': 'a little ladies and gentlemen may we', 'start': 4.69, 'duration': 5.939}, {'text': 'have your attention for the next few', 'start': 8.98, 'duration': 3.36}, {'text': 'moments so we may share with you some of', 'start': 10.629, 'duration': 4.111}, {'text': 'the safety features of this aircraft if', 'start': 12.34, 'duration': 3.75}, {'text': ""you haven't already done so please"", 'start': 14.74, 'duration': 4.41}, {'text': 'fasten your seat insert the flat ends', 'start': 16.09, 'duration': 5.609}, {'text': 'into the buckle and pull the strap to', 'start': 19.15, 'duration': 5.129}, {'text': 'tighten to release them to accomplish an', 'start': 21.699, 'duration': 13.32}, {'text': 'upper buckle and pull away when the', 'start': 24.279, 'duration': 12.78}, {'text': 'seatbelt sign is not illuminated you may', 'start': 35.019, 'duration': 4.321}, {'text': 'leave your seat if necessary when you', 'start': 37.059, 'duration': 4.471}, {'text': 'return to your seat means we fasten your', 'start': 39.34, 'duration': 2.789}, {'text': 'seat belt', 'start': 41.53, 'duration': 2.79}, {'text': 'your compliance with the no smoking and', 'start': 42.129, 'duration': 4.59}, {'text': 'fasten seatbelt signs posted placards', 'start': 44.32, 'duration': 4.61}, {'text': 'and crew member instructions is required', 'start': 46.719, 'duration': 4.741}, {'text': 'cellular phones and electronic devices', 'start': 48.93, 'duration': 5.199}, {'text': 'must be turned off it is permissible to', 'start': 51.46, 'duration': 3.509}, {'text': 'use them', 'start': 54.129, 'duration': 3.151}, {'text': ""there ain't emergency exits on this"", 'start': 54.969, 'duration': 5.191}, {'text': 'aircraft on the left and the right', 'start': 57.28, 'duration': 5.43}, {'text': 'please take a moment to locate the two', 'start': 60.16, 'duration': 4.359}, {'text': 'exits nearest ear', 'start': 62.71, 'duration': 3.85}, {'text': 'keep in mind that those exits may be in', 'start': 64.519, 'duration': 5.071}, {'text': 'front of or behind tune first aircraft', 'start': 66.56, 'duration': 6.21}, {'text': 'is equipped with emergency 1.78 you all', 'start': 69.59, 'duration': 7.86}, {'text': 'get Vince to open exit doors lift up on', 'start': 72.77, 'duration': 6.75}, {'text': 'the handle and let go the door will', 'start': 77.45, 'duration': 3.65}, {'text': 'swing outward', 'start': 79.52, 'duration': 4.22}, {'text': 'all exits are equipped with evacuation', 'start': 81.1, 'duration': 5.04}, {'text': 'slides all evacuation slides with the', 'start': 83.74, 'duration': 4.11}, {'text': 'exception of thoughts immediately behind', 'start': 86.14, 'duration': 4.14}, {'text': 'the wings can be detached and uses slide', 'start': 87.85, 'duration': 4.11}, {'text': 'rafts in the event of a water landing', 'start': 90.28, 'duration': 4.26}, {'text': 'the cabin is pressurized free air', 'start': 91.96, 'duration': 4.589}, {'text': 'comfort should they travel pressure', 'start': 94.54, 'duration': 4.14}, {'text': 'change in flight with an oxygen mask', 'start': 96.549, 'duration': 4.231}, {'text': 'will appear from a mask apartment above', 'start': 98.68, 'duration': 4.53}, {'text': 'your seat what this happens is they will', 'start': 100.78, 'duration': 4.29}, {'text': 'quickly reach for the mask and put it', 'start': 103.21, 'duration': 4.11}, {'text': 'for a me toward you this starts the flow', 'start': 105.07, 'duration': 3.299}, {'text': 'of oxygen', 'start': 107.32, 'duration': 3.39}, {'text': 'please ensure the plastic bag is clear', 'start': 108.369, 'duration': 4.591}, {'text': 'the masks and place the yellow cup over', 'start': 110.71, 'duration': 4.56}, {'text': 'your nose and mouth secure it to your', 'start': 112.96, 'duration': 4.109}, {'text': 'face with an elastic band', 'start': 115.27, 'duration': 3.629}, {'text': 'which can be tightened by pulling on the', 'start': 117.069, 'duration': 4.041}, {'text': 'tabs located on either side of the mask', 'start': 118.899, 'duration': 4.771}, {'text': 'the plastic freezer bag may not', 'start': 121.11, 'duration': 5.319}, {'text': 'necessarily inflate continue to breathe', 'start': 123.67, 'duration': 4.649}, {'text': 'normally until advised that it is no', 'start': 126.429, 'duration': 4.53}, {'text': 'longer needed we suggest that you secure', 'start': 128.319, 'duration': 4.92}, {'text': 'your mask first then assist your child', 'start': 130.959, 'duration': 4.59}, {'text': 'with an additional mask making sure that', 'start': 133.239, 'duration': 5.28}, {'text': 'it fits tightly to the face a lightness', 'start': 135.549, 'duration': 5.52}, {'text': 'is located beneath your seat or between', 'start': 138.519, 'duration': 4.94}, {'text': 'the seats', 'start': 141.069, 'duration': 2.39}, {'text': 'remove the lightness from the plastic', 'start': 144.849, 'duration': 4.86}, {'text': 'bag by pulling the plastic tab pull the', 'start': 146.98, 'duration': 5.399}, {'text': ""light that's in front of you or the vest"", 'start': 149.709, 'duration': 4.62}, {'text': 'over your head and wrap the strap around', 'start': 152.379, 'duration': 2.851}, {'text': 'your waist', 'start': 154.329, 'duration': 3.181}, {'text': 'attach the buckle and pull the loose', 'start': 155.23, 'duration': 4.649}, {'text': 'ends and tighten as your exhibit', 'start': 157.51, 'duration': 5.19}, {'text': 'aircraft inflate the vest down the red', 'start': 159.879, 'duration': 5.28}, {'text': 'tab in front the vest may also be', 'start': 162.7, 'duration': 4.649}, {'text': 'inflated by blowing air into the tubes', 'start': 165.159, 'duration': 5.22}, {'text': 'at the top if I take federal offense to', 'start': 167.349, 'duration': 5.941}, {'text': 'remove any vest from the aircraft infant', 'start': 170.379, 'duration': 5.34}, {'text': 'life vests are located in compartment', 'start': 173.29, 'duration': 5.129}, {'text': 'behind most three and thirty-one for', 'start': 175.719, 'duration': 4.86}, {'text': 'operation of the infant like best', 'start': 178.419, 'duration': 4.261}, {'text': 'please refer to the safety briefing card', 'start': 180.579, 'duration': 5.28}, {'text': 'or ask a flight attendant in Cabin 55', 'start': 182.68, 'duration': 5.16}, {'text': 'containing more information about this', 'start': 185.859, 'duration': 4.11}, {'text': ""aircraft it's located in your seat"", 'start': 187.84, 'duration': 4.5}, {'text': 'pocket ahead of you we ask that you take', 'start': 189.969, 'duration': 4.47}, {'text': 'a few moments to review this important', 'start': 192.34, 'duration': 5.039}, {'text': 'safety information we ask our assistance', 'start': 194.439, 'duration': 4.86}, {'text': 'in preparing the cabin for departure', 'start': 197.379, 'duration': 4.381}, {'text': 'check to see that your seatbelt is', 'start': 199.299, 'duration': 4.16}, {'text': 'securely fastened', 'start': 201.76, 'duration': 3.88}, {'text': ""you're treating them as clothes and not"", 'start': 203.459, 'duration': 4.86}, {'text': 'their seat belt is an its full upright', 'start': 205.64, 'duration': 3.76}, {'text': 'position', 'start': 208.319, 'duration': 3.48}, {'text': 'ensure that your head Rises and video', 'start': 209.4, 'duration': 5.66}, {'text': 'monitors are in a stowed position', 'start': 211.799, 'duration': 3.261}, {'text': 'and your carry ons are properly stones', 'start': 215.15, 'duration': 4.169}, {'text': 'completely beneath the seat in front of', 'start': 217.58, 'duration': 4.5}, {'text': 'you or the overhead compartment in the', 'start': 219.319, 'duration': 5.071}, {'text': ""first-class cabin he's insured that your"", 'start': 222.08, 'duration': 4.2}, {'text': 'foot and leg rests are in the stowed', 'start': 224.39, 'duration': 4.14}, {'text': 'position for those passengers seated', 'start': 226.28, 'duration': 4.739}, {'text': 'next to it so these major window shades', 'start': 228.53, 'duration': 5.16}, {'text': 'for takeoff this is a non-smoking flight', 'start': 231.019, 'duration': 4.83}, {'text': 'smoking is not permitted at any time', 'start': 233.69, 'duration': 4.98}, {'text': 'onboard this flight for their safety our', 'start': 235.849, 'duration': 4.381}, {'text': 'laboratories are equipped with smoke', 'start': 238.67, 'duration': 4.409}, {'text': 'detectors federal regulations prohibit', 'start': 240.23, 'duration': 4.649}, {'text': 'the tampering with disabling or', 'start': 243.079, 'duration': 4.44}, {'text': 'destroying of any installed detector if', 'start': 244.879, 'duration': 4.801}, {'text': 'we make the opinion systems to you', 'start': 247.519, 'duration': 4.44}, {'text': 'throughout this flight case duff32', 'start': 249.68, 'duration': 3.27}, {'text': 'Kalapana', 'start': 251.959, 'duration': 3.541}, {'text': 'your flights in a combative and living', 'start': 252.95, 'duration': 4.439}, {'text': 'like control are located on the', 'start': 255.5, 'duration': 4.56}, {'text': 'touchscreen the button to refine your', 'start': 257.389, 'duration': 5.761}, {'text': 'seat is located on the armrest our', 'start': 260.06, 'duration': 5.43}, {'text': 'aircraft is equipped with essential air', 'start': 263.15, 'duration': 5.31}, {'text': 'conditioning system for your comfort on', 'start': 265.49, 'duration': 5.31}, {'text': 'top of all of us here in Hawaii we like', 'start': 268.46, 'duration': 3.959}, {'text': ""to say thank you that you think it's a"", 'start': 270.8, 'duration': 4.01}, {'text': 'mess', 'start': 272.419, 'duration': 2.391}]"
TnDq,CsSv13aUizA,"[0, 1, 489, 776]","[{'text': 'welcome to my ashes packed one pair', 'start': 0.0, 'duration': 8.099}, {'text': ""video that take you walkthrough so let's"", 'start': 4.13, 'duration': 6.46}, {'text': 'get started so walking where your', 'start': 8.099, 'duration': 5.79}, {'text': 'disguise obviously has some pretty good', 'start': 10.59, 'duration': 6.42}, {'text': ""distance for the locust he's uh looks"", 'start': 13.889, 'duration': 7.56}, {'text': ""like he's taking care of him but it's"", 'start': 17.01, 'duration': 6.929}, {'text': ""just one guy down there so here's our"", 'start': 21.449, 'duration': 10.77}, {'text': ""alpha guy all right you're shooting up"", 'start': 23.939, 'duration': 10.881}, {'text': 'the swings guys are shooters guys up', 'start': 32.219, 'duration': 7.5}, {'text': 'soon as look at it now you hang up in', 'start': 34.82, 'duration': 10.649}, {'text': 'the series do the guys Kim I think', 'start': 39.719, 'duration': 9.511}, {'text': 'alright so roll comes up and go', 'start': 45.469, 'duration': 7.84}, {'text': ""downstairs there's plugging become a"", 'start': 49.23, 'duration': 5.55}, {'text': 'locust down there to be ready pull your', 'start': 53.309, 'duration': 7.011}, {'text': 'chain saw you know they have to be fun', 'start': 54.78, 'duration': 5.54}, {'text': ""oh alright sick get him up this guy's"", 'start': 63.09, 'duration': 24.21}, {'text': ""pretty good I'll skip this ahead I"", 'start': 75.84, 'duration': 15.0}, {'text': 'welcome back guy alright so now we gotta', 'start': 87.3, 'duration': 5.7}, {'text': ""breath got some seeds we're actually in"", 'start': 90.84, 'duration': 3.57}, {'text': 'this mission ready introduced to a new', 'start': 93.0, 'duration': 5.7}, {'text': 'weapon I am road on and also to New', 'start': 94.41, 'duration': 8.91}, {'text': ""Times enemy play better so let's see"", 'start': 98.7, 'duration': 9.51}, {'text': 'then quite soon if you play online I', 'start': 103.32, 'duration': 8.37}, {'text': 'remember you guys go way back so they', 'start': 108.21, 'duration': 7.4}, {'text': 'know each other well all right', 'start': 111.69, 'duration': 3.92}, {'text': 'see here oh here they are soo new', 'start': 118.01, 'duration': 15.13}, {'text': ""enemies is it was that Chuck Berry's"", 'start': 124.08, 'duration': 11.34}, {'text': 'here see your new enemies for the very', 'start': 133.14, 'duration': 11.58}, {'text': 'first time here um okay see here oh here', 'start': 135.42, 'duration': 13.37}, {'text': 'got d funk and rip this door', 'start': 144.72, 'duration': 4.07}, {'text': 'alright', 'start': 150.64, 'duration': 6.47}, {'text': ""so let's see here"", 'start': 153.42, 'duration': 3.69}, {'text': ""they are they're either going to"", 'start': 158.61, 'duration': 5.68}, {'text': 'beatalos Africa yes so these are', 'start': 160.45, 'duration': 6.18}, {'text': 'basically these are murky life creatures', 'start': 164.29, 'duration': 5.52}, {'text': 'that have no weapons to kill you in the', 'start': 166.63, 'duration': 8.609}, {'text': 'basement is rocky and instead of wagging', 'start': 169.81, 'duration': 7.83}, {'text': 'their tail and greeting you the friendly', 'start': 175.239, 'duration': 9.75}, {'text': 'smile back hey trying for you so um', 'start': 177.64, 'duration': 9.569}, {'text': ""you're gonna be fine she machine gun"", 'start': 184.989, 'duration': 9.451}, {'text': 'burst and just you know I mean again you', 'start': 187.209, 'duration': 10.651}, {'text': 'can use your place go against these guys', 'start': 194.44, 'duration': 6.54}, {'text': 'of the world you know your friends are', 'start': 197.86, 'duration': 6.99}, {'text': ""looking for back I've been doing another"", 'start': 200.98, 'duration': 9.0}, {'text': ""job oh so slowly that let's just start"", 'start': 204.85, 'duration': 9.23}, {'text': ""invade you've been do a base of action"", 'start': 209.98, 'duration': 4.1}, {'text': ""oops you got a dude that's the key once"", 'start': 217.63, 'duration': 5.38}, {'text': 'he saw something like that move around', 'start': 220.28, 'duration': 6.02}, {'text': 'cuz your eyes will kind of cover you', 'start': 223.01, 'duration': 7.35}, {'text': 'just go they end of your fine um the one', 'start': 226.3, 'duration': 6.82}, {'text': 'I can keep in mind will see is when', 'start': 230.36, 'duration': 3.96}, {'text': ""you're shooting it like in the very"", 'start': 233.12, 'duration': 2.22}, {'text': ""beginning they're coming from here you"", 'start': 234.32, 'duration': 2.58}, {'text': 'want to make sure that will start of do', 'start': 235.34, 'duration': 3.33}, {'text': 'too is will start of climb from down', 'start': 236.9, 'duration': 4.32}, {'text': 'there so just make sure your kind of', 'start': 238.67, 'duration': 7.25}, {'text': 'watching your back a little bit look', 'start': 241.22, 'duration': 19.739}, {'text': ""we're good to go and there's your new"", 'start': 245.92, 'duration': 18.61}, {'text': 'weapon your vow to be your buddy be', 'start': 260.959, 'duration': 6.051}, {'text': 'exposed to', 'start': 264.53, 'duration': 2.48}, {'text': 'to iteration favor dime check porn by', 'start': 267.44, 'duration': 9.59}, {'text': 'legacy um I would usually tray', 'start': 271.4, 'duration': 5.63}]"
