eEhu,tZ-IrAHKPw4,[25],
Ctps,Bl508h9t7WA,"[105, 192, 331, 455]",
SEps,7ae3u7aQofY,"[8, 71]",
mkps,7cfz9ETiMlk,"[5, 16, 144, 2237]",
Bhps,RNwADQ1ukUg,"[0, 1, 949]",
M8ps,fnOitsCueXs,"[0, 1, 5, 1033, 1228]",
iVps,fnIwGFNFAto,[750],
g4ps,xMpuNNaESuM,"[2, 30]",
Tfps,yEtGCPRz92g,"[0, 1, 42]",
6mps,yHALWhinMCg,[14],
vMps,lzO1P0Nopvk,[391],
awps,m-pTCZBoggs,[3817],
KZps,m0RzSoMcNWw,"[3, 4]",
XJps,,"[0, 12]",
SIps,NJx7h-QGQh8,"[1, 488, 1607]","[{'text': 'Oh', 'start': 0.0, 'duration': 2.03}, {'text': 'come on move move move okay general', 'start': 19.44, 'duration': 11.94}, {'text': 'Turner oh no no no no no did okay wait', 'start': 24.3, 'duration': 11.46}, {'text': 'jock jump kick the Chuck oh this is', 'start': 31.38, 'duration': 8.72}, {'text': 'ridiculous these controllers are no good', 'start': 35.76, 'duration': 6.36}, {'text': 'this is what originally came with the', 'start': 40.1, 'duration': 5.65}, {'text': 'Atari 7800 but it is so hard to use the', 'start': 42.12, 'duration': 5.85}, {'text': 'sticks breakdown after time the buttons', 'start': 45.75, 'duration': 4.379}, {'text': ""don't respond very well and it's a cramp"", 'start': 47.97, 'duration': 4.53}, {'text': ""in the hand it's hard to hold this thing"", 'start': 50.129, 'duration': 4.591}, {'text': ""it's just not very comfortable and it's"", 'start': 52.5, 'duration': 4.019}, {'text': ""very hard to use there's got to be"", 'start': 54.72, 'duration': 3.96}, {'text': 'another solution for playing the Atari', 'start': 56.519, 'duration': 5.43}, {'text': '7800 and you know what I think I have', 'start': 58.68, 'duration': 8.64}, {'text': 'one here we go from the best electronics', 'start': 61.949, 'duration': 8.011}, {'text': ""website let's see so many joysticks ah"", 'start': 67.32, 'duration': 5.22}, {'text': 'here we go this is what we need right', 'start': 69.96, 'duration': 7.86}, {'text': 'there Atari CX 78 joypad one that came', 'start': 72.54, 'duration': 8.28}, {'text': ""with the European Atari 7800 s let's go"", 'start': 77.82, 'duration': 5.69}, {'text': 'ahead and order that', 'start': 80.82, 'duration': 2.69}, {'text': 'Hey look what came in the mail today', 'start': 85.76, 'duration': 7.94}, {'text': ""finally arrived let's open it up ah"", 'start': 88.45, 'duration': 10.8}, {'text': 'there it is the Atari CX 78 joypad a', 'start': 93.7, 'duration': 9.06}, {'text': 'little nub luck you can take that off', 'start': 99.25, 'duration': 7.84}, {'text': 'buttons feel good they also sent me this', 'start': 102.76, 'duration': 7.45}, {'text': 'as copy their newsletter / catalog', 'start': 107.09, 'duration': 7.5}, {'text': ""simply the best let's fire this puppy up"", 'start': 110.21, 'duration': 7.22}, {'text': 'and give it a shot', 'start': 114.59, 'duration': 2.84}, {'text': 'yeah this feels a lot better I can tell', 'start': 121.83, 'duration': 8.98}, {'text': 'you right away that control with this', 'start': 125.53, 'duration': 8.67}, {'text': ""game pad is a lot smoother it's easier"", 'start': 130.81, 'duration': 9.69}, {'text': 'to maneuver the buttons feel good see', 'start': 134.2, 'duration': 7.98}, {'text': 'when I played this game before with the', 'start': 140.5, 'duration': 4.71}, {'text': '7800 controller I got so frustrated i', 'start': 142.18, 'duration': 4.47}, {'text': 'would even play this and one-on-one', 'start': 145.21, 'duration': 3.42}, {'text': 'basketball is one of my favorite atari', 'start': 146.65, 'duration': 6.0}, {'text': ""7800 games so now i'm having fun playing"", 'start': 148.63, 'duration': 5.91}, {'text': 'this game again so i can highly', 'start': 152.65, 'duration': 4.77}, {'text': 'recommend this game pad this is a great', 'start': 154.54, 'duration': 5.67}, {'text': 'game pad if you have an atari 7800 i', 'start': 157.42, 'duration': 5.72}, {'text': 'recommend picking one of these up ok', 'start': 160.21, 'duration': 5.19}, {'text': 'thanks guys this is another entirely', 'start': 163.14, 'duration': 5.58}, {'text': 'video have a great day', 'start': 165.4, 'duration': 3.32}]"
gups,V0KqHT_kcHM,"[3, 6]",
isps,V5rFlKZqq6c,[89],
Kgps,OEH3Wva1R50,[984],
dhps,OFJ1xivKKWs,"[0, 12]",
E8ps,OHRxhKUGMSE,"[0, 93, 102]",
jNps,WfCqNXucCQs,"[2, 88, 186, 2447]",
sfps,j3Qq0rIm50I,"[0, 1]",
1Sps,jNfUjXpYVfw,"[99, 296]","[{'text': 'bourbon fire fire and rescue workers had', 'start': 1.22, 'duration': 5.74}, {'text': 'to pull them all a shift we want to save', 'start': 4.259, 'duration': 6.96}, {'text': 'special names the Pentagon Rizzo Paul on', 'start': 6.96, 'duration': 7.38}, {'text': 'and Tony Russo this world is', 'start': 11.219, 'duration': 6.781}, {'text': 'firefighters not support crip whether', 'start': 14.34, 'duration': 6.62}, {'text': 'the Christmas Eve shift at firehouse one', 'start': 18.0, 'duration': 8.869}, {'text': ""today's big rig what not one single one"", 'start': 20.96, 'duration': 5.909}, {'text': 'totally eclipsed Anna for all the kids', 'start': 27.47, 'duration': 4.99}, {'text': 'in town they snapped it suspenders', 'start': 30.06, 'duration': 5.37}, {'text': 'course beer down by mark week she', 'start': 32.46, 'duration': 6.119}, {'text': 'dressed up until about twenty rows you', 'start': 35.43, 'duration': 6.74}, {'text': 'knit she ever heard all the little boys', 'start': 38.579, 'duration': 9.871}, {'text': 'Big Bob cook up some two grand hot for', 'start': 42.17, 'duration': 9.67}, {'text': 'three alarm fire in a five gallon pot we', 'start': 48.45, 'duration': 5.82}, {'text': 'were just on second for a mix late night', 'start': 51.84, 'duration': 4.89}, {'text': 'round two with some cops on the beat', 'start': 54.27, 'duration': 4.41}, {'text': 'they had nothing to do', 'start': 56.73, 'duration': 4.829}, {'text': 'take care can see all this unlucky stick', 'start': 58.68, 'duration': 4.23}, {'text': ""you would like them they're pulling the"", 'start': 61.559, 'duration': 4.92}, {'text': ""Christmas Eve shift they're mainly even"", 'start': 62.91, 'duration': 8.7}, {'text': 'head back around one zero hey hey rookie', 'start': 66.479, 'duration': 7.291}, {'text': 'out there was large like driving away', 'start': 71.61, 'duration': 5.16}, {'text': 'and a Christmas tune playing on the PA', 'start': 73.77, 'duration': 5.13}, {'text': 'strobe-light response and everything', 'start': 76.77, 'duration': 5.94}, {'text': 'good one I hope some crazy lot live hype', 'start': 78.9, 'duration': 8.13}, {'text': 'strolling shirt on the door latter', 'start': 82.71, 'duration': 6.75}, {'text': 'update one carry weight with its lights', 'start': 87.03, 'duration': 5.1}, {'text': 'off display the towers colors red green', 'start': 89.46, 'duration': 5.03}, {'text': 'light and treat the topic clear tonight', 'start': 92.13, 'duration': 5.879}, {'text': ""jingle bells we're posting our real"", 'start': 94.49, 'duration': 8.58}, {'text': 'balance not cheap snowy years next clown', 'start': 98.009, 'duration': 8.011}, {'text': 'well here are white Christmas I said to', 'start': 103.07, 'duration': 6.43}, {'text': 'the glider the frosty old farm firing -', 'start': 106.02, 'duration': 4.41}, {'text': 'drop that ladder', 'start': 109.5, 'duration': 4.2}, {'text': 'he jumped the roof like a smokey drove', 'start': 110.43, 'duration': 7.289}, {'text': ""and isn't still good mm so they stopped"", 'start': 113.7, 'duration': 6.9}, {'text': 'all the rest himself down here - we', 'start': 117.719, 'duration': 6.141}, {'text': 'ready we ready kitchen she want me to do', 'start': 120.6, 'duration': 7.56}, {'text': ""well he fell Muskogee's red fur out here"", 'start': 123.86, 'duration': 9.09}, {'text': 'then I grin on space news rest here here', 'start': 128.16, 'duration': 4.79}]"
e6ps,4zOxdUSnLac,"[14, 172]",
jups,52ZvOEDLilw,"[6, 133, 325]",
hnps,rdAr7xyah18,"[17, 19, 55, 143, 345]",
Hups,7D0SK7hS3GY,"[0, 12]",
VWps,kEcurPE_pAo,"[8, 89, 175]",
DJps,Jw-3esI-UsM,"[13, 54]",
TKps,,[5],
jcps,WAAVHNaiTPM,"[26, 1509, 1982, 2482]","[{'text': 'hey guys how to youtuber here and today', 'start': 0.03, 'duration': 4.11}, {'text': ""I'm not going to make a tutorial video"", 'start': 2.73, 'duration': 3.87}, {'text': 'but I want to show you guys my duct tape', 'start': 4.14, 'duration': 5.16}, {'text': ""wallets in my other wallets that I've"", 'start': 6.6, 'duration': 4.11}, {'text': 'made um', 'start': 9.3, 'duration': 4.35}, {'text': ""you see I've been making wallets a lot"", 'start': 10.71, 'duration': 5.219}, {'text': 'lately and I kind of want to start', 'start': 13.65, 'duration': 5.61}, {'text': 'selling them to people but I really one', 'start': 15.929, 'duration': 4.921}, {'text': ""don't know how much how much to charge"", 'start': 19.26, 'duration': 4.109}, {'text': ""and two I don't know if people would"", 'start': 20.85, 'duration': 5.04}, {'text': ""really like them and three I don't know"", 'start': 23.369, 'duration': 4.891}, {'text': ""if I'd be allowed to so I want you guys"", 'start': 25.89, 'duration': 4.049}, {'text': 'to help me answer question one and two', 'start': 28.26, 'duration': 5.639}, {'text': 'how much is she charged and um if you', 'start': 29.939, 'duration': 6.12}, {'text': 'guys like soma show you all my wallets', 'start': 33.899, 'duration': 4.381}, {'text': 'and I want you guys to let me know how', 'start': 36.059, 'duration': 5.07}, {'text': 'much I should charge in you know if you', 'start': 38.28, 'duration': 4.47}, {'text': 'like them so imma show you guys my', 'start': 41.129, 'duration': 3.871}, {'text': ""full-size wallets first okay I've got"", 'start': 42.75, 'duration': 4.41}, {'text': ""two they're Sesame Street characters"", 'start': 45.0, 'duration': 5.67}, {'text': 'this one is Elma and inside its got two', 'start': 47.16, 'duration': 5.879}, {'text': 'credit card slots I would have done more', 'start': 50.67, 'duration': 3.84}, {'text': 'but I kind of ran out of red tape and', 'start': 53.039, 'duration': 4.11}, {'text': 'then just a big go full pocket with an', 'start': 54.51, 'duration': 5.31}, {'text': 'orange secret credit card pocket nice', 'start': 57.149, 'duration': 6.48}, {'text': 'for storing secret things then I have', 'start': 59.82, 'duration': 7.47}, {'text': 'the Cookie Monster wallet with Cookie', 'start': 63.629, 'duration': 5.701}, {'text': 'Monster design on the front then inside', 'start': 67.29, 'duration': 5.79}, {'text': 'two credit card slots and the oddly', 'start': 69.33, 'duration': 6.06}, {'text': 'shaped slot good for receipts and other', 'start': 73.08, 'duration': 4.62}, {'text': 'things of that nature then the billfold', 'start': 75.39, 'duration': 4.86}, {'text': 'pocket those are both four by four and', 'start': 77.7, 'duration': 4.349}, {'text': 'they took a lot of tape especially', 'start': 80.25, 'duration': 4.56}, {'text': 'Cookie Monster because he was he took a', 'start': 82.049, 'duration': 4.561}, {'text': 'while he took almost three continuous', 'start': 84.81, 'duration': 5.25}, {'text': ""hours then I've got my other wallets"", 'start': 86.61, 'duration': 5.219}, {'text': ""they're not duct tape but they are still"", 'start': 90.06, 'duration': 4.199}, {'text': 'tape then my gum wrapper wallets this', 'start': 91.829, 'duration': 5.161}, {'text': ""one's not finished yet it doesn't have"", 'start': 94.259, 'duration': 4.591}, {'text': 'the credit card pockets but these to do', 'start': 96.99, 'duration': 4.83}, {'text': 'since got these two pockets in the', 'start': 98.85, 'duration': 6.479}, {'text': 'billfold pocket and then this one has', 'start': 101.82, 'duration': 6.45}, {'text': 'two credit card pockets in the billfold', 'start': 105.329, 'duration': 5.521}, {'text': 'pocket as well those are all my bits I', 'start': 108.27, 'duration': 4.29}, {'text': ""have one more big dish wallet this one's"", 'start': 110.85, 'duration': 3.059}, {'text': 'kind of small it fits exactly in your', 'start': 112.56, 'duration': 3.75}, {'text': ""pocket it's Mountain Dew as you can see"", 'start': 113.909, 'duration': 5.64}, {'text': ""I've got two pockets littles there they"", 'start': 116.31, 'duration': 4.83}, {'text': ""don't exactly fit credit cards but this"", 'start': 119.549, 'duration': 3.78}, {'text': 'is one of my first bullets so if I make', 'start': 121.14, 'duration': 3.689}, {'text': 'one again to sell I will make the', 'start': 123.329, 'duration': 3.511}, {'text': 'pockets big enough for credit cards then', 'start': 124.829, 'duration': 3.66}, {'text': 'this slot big enough for money', 'start': 126.84, 'duration': 4.49}, {'text': ""very cool green inside it's very cool um"", 'start': 128.489, 'duration': 4.83}, {'text': 'and these are my other wallet', 'start': 131.33, 'duration': 4.12}, {'text': 'exactly wallets their little money', 'start': 133.319, 'duration': 4.801}, {'text': 'things put some emphasis of money down', 'start': 135.45, 'duration': 4.53}, {'text': ""in here and then it's big enough back"", 'start': 138.12, 'duration': 4.47}, {'text': 'there for a credit card and same thing', 'start': 139.98, 'duration': 5.089}, {'text': 'with these put your money in there and I', 'start': 142.59, 'duration': 4.739}, {'text': ""think that's that's a little small for a"", 'start': 145.069, 'duration': 3.67}, {'text': 'credit card but I like putting money', 'start': 147.329, 'duration': 2.701}, {'text': ""back there since I don't have a credit"", 'start': 148.739, 'duration': 3.15}, {'text': 'card I put my money in the back and in', 'start': 150.03, 'duration': 3.659}, {'text': 'the front and then the same thing this', 'start': 151.889, 'duration': 3.121}, {'text': 'when this one is big enough for a credit', 'start': 153.689, 'duration': 3.091}, {'text': 'card in the back and money in the front', 'start': 155.01, 'duration': 4.619}, {'text': ""um these didn't take us long but they're"", 'start': 156.78, 'duration': 4.23}, {'text': ""so I think they're pretty cool they're"", 'start': 159.629, 'duration': 5.19}, {'text': 'good for pockets and stuff and then I', 'start': 161.01, 'duration': 5.699}, {'text': 'want you to guess on my side projects I', 'start': 164.819, 'duration': 3.331}, {'text': ""wouldn't I sell some of these already"", 'start': 166.709, 'duration': 3.51}, {'text': 'but I mean I just thought they were kind', 'start': 168.15, 'duration': 4.229}, {'text': 'of cool my headphones case this is a', 'start': 170.219, 'duration': 3.901}, {'text': ""Sieber one I'm making for my sister"", 'start': 172.379, 'duration': 4.741}, {'text': ""little strap here's a finished one it's"", 'start': 174.12, 'duration': 5.16}, {'text': 'actually got the headphones on it I have', 'start': 177.12, 'duration': 3.869}, {'text': 'a tutorial video on how to make this too', 'start': 179.28, 'duration': 3.539}, {'text': 'and then a little bow', 'start': 180.989, 'duration': 5.34}, {'text': ""it's just duct tape bow and it's got a"", 'start': 182.819, 'duration': 5.67}, {'text': 'pin a bobby pin on the back so you can', 'start': 186.329, 'duration': 4.05}, {'text': ""actually put it in your hair I've made a"", 'start': 188.489, 'duration': 4.14}, {'text': 'lot of these and pretty much sold them', 'start': 190.379, 'duration': 4.95}, {'text': 'all to my sister but I sold them for', 'start': 192.629, 'duration': 5.431}, {'text': ""five cents cuz I mean it's she's my"", 'start': 195.329, 'duration': 4.351}, {'text': ""sister but to other people I'm going to"", 'start': 198.06, 'duration': 3.81}, {'text': 'charge more probably but I want you guys', 'start': 199.68, 'duration': 4.889}, {'text': 'to tell me what you think I should sell', 'start': 201.87, 'duration': 4.049}, {'text': 'these all for and let me know your', 'start': 204.569, 'duration': 4.801}, {'text': 'favorite ones and let me know prices you', 'start': 205.919, 'duration': 4.981}, {'text': 'think for your favorite ones I have all', 'start': 209.37, 'duration': 2.729}, {'text': 'my wallets let me show them to you again', 'start': 210.9, 'duration': 5.429}, {'text': 'Mountain Dew zebra with 150 purple with', 'start': 212.099, 'duration': 8.01}, {'text': ""green tea orange with red tea then I've"", 'start': 216.329, 'duration': 6.77}, {'text': 'got my gum wrapper wallets brave Oh', 'start': 220.109, 'duration': 6.3}, {'text': 'Cookie Monster with cool puck inside and', 'start': 223.099, 'duration': 6.85}, {'text': 'oh ma with two pockets so let me know', 'start': 226.409, 'duration': 5.461}, {'text': 'what you guys think give me some advice', 'start': 229.949, 'duration': 4.921}, {'text': 'on pricing and selling um just let me', 'start': 231.87, 'duration': 5.28}, {'text': 'know um send me videos of your duct tape', 'start': 234.87, 'duration': 3.899}, {'text': ""wallets and show me which ones you're"", 'start': 237.15, 'duration': 6.38}, {'text': 'selling and just let me know peace', 'start': 238.769, 'duration': 4.761}]"
R7ps,WBnniDioBSg,[3],
H5ps,41VwynFJnSw,"[21, 23, 24, 73]","[{'text': ""hello YouTube it's the 19th September"", 'start': 0.17, 'duration': 7.5}, {'text': 'and my iphone 6 plus as just calm', 'start': 3.48, 'duration': 8.01}, {'text': 'whenever it is just as I phone on it and', 'start': 7.67, 'duration': 7.299}, {'text': ""gold letters all right let's try and"", 'start': 11.49, 'duration': 30.33}, {'text': 'open this one filming be careful this', 'start': 14.969, 'duration': 29.071}, {'text': ""year's in waiting two years for this"", 'start': 41.82, 'duration': 3.6}, {'text': ""phone because i'm not i don't know i"", 'start': 44.04, 'duration': 3.449}, {'text': ""phone two years because I've not been"", 'start': 45.42, 'duration': 11.1}, {'text': ""impressed with the past two so it's the"", 'start': 47.489, 'duration': 19.711}, {'text': ""box sir pretty big see what's inside day"", 'start': 56.52, 'duration': 20.54}, {'text': ""then don't put phone down for one second"", 'start': 67.2, 'duration': 9.86}, {'text': 'yes back again and we go to the box oh', 'start': 96.34, 'duration': 14.5}, {'text': ""that's on top wow I can see the gold"", 'start': 105.55, 'duration': 9.52}, {'text': 'ground the air gets the gold one there', 'start': 110.84, 'duration': 12.8}, {'text': 'we go that is massive absolutely massive', 'start': 115.07, 'duration': 15.47}, {'text': 'look at the back little stickers on', 'start': 123.64, 'duration': 6.9}, {'text': 'alright and i will pop stuff is in', 'start': 139.04, 'duration': 9.569}, {'text': 'normal voice and things that nobody ever', 'start': 142.939, 'duration': 11.461}, {'text': ""read charge yeah I'm before new"", 'start': 148.609, 'duration': 7.891}, {'text': 'headphones are not done before be nice', 'start': 154.4, 'duration': 7.58}, {'text': 'and comfy and the new new to me', 'start': 156.5, 'duration': 11.969}, {'text': 'lightning connector come on try and see', 'start': 161.98, 'duration': 8.77}, {'text': ""if it will start up or don't drop it"", 'start': 168.469, 'duration': 5.67}, {'text': ""I'll be a nightmare a lot of people are"", 'start': 170.75, 'duration': 4.65}, {'text': 'not getting these for about three weeks', 'start': 174.139, 'duration': 5.371}, {'text': 'via pre-ordered as I mean the first', 'start': 175.4, 'duration': 11.66}, {'text': ""couple of hours oh it's compound"", 'start': 179.51, 'duration': 7.55}, {'text': ""the screen is huge got the 4s I'm"", 'start': 193.62, 'duration': 8.699}, {'text': 'filming this with it the minute scream', 'start': 200.04, 'duration': 4.32}, {'text': 'seems to be I think it is exactly but it', 'start': 202.319, 'duration': 7.831}, {'text': 'seems to be any double the size all', 'start': 204.36, 'duration': 9.959}, {'text': ""ready to go then we're out then we'll"", 'start': 210.15, 'duration': 6.929}, {'text': 'have some fun with this now but this is', 'start': 214.319, 'duration': 9.151}, {'text': 'the new ginormous iphone he feels all', 'start': 217.079, 'duration': 9.03}, {'text': 'right in your hand probably for more or', 'start': 223.47, 'duration': 7.26}, {'text': 'less all the way over yeah fingerprint', 'start': 226.109, 'duration': 10.761}, {'text': 'scanner all gold very light very thin', 'start': 230.73, 'duration': 6.14}, {'text': 'edge', 'start': 237.59, 'duration': 3.0}, {'text': 'last a big screen and Q Apple we elders', 'start': 250.05, 'duration': 16.41}, {'text': 'that gone off Oh back on again hello Ron', 'start': 259.53, 'duration': 10.82}, {'text': 'there it is anyway unboxing of the new', 'start': 266.46, 'duration': 19.28}, {'text': 'iphone 6 plus big momma this is film', 'start': 270.35, 'duration': 19.26}, {'text': ""right now that's it"", 'start': 285.74, 'duration': 3.87}]"
lhps,44dfIO_Vyj8,[1297],
ukps,49QHMybVR2M,"[8, 894]",
9Ops,4CSM0UOcr48,[329],
AVps,uAllh7lOsjw,"[43, 286]",
Ivps,gwrvbCtJGmI,"[4, 6, 9, 14]",
KPps,gxE9dnlRx7A,"[2, 44, 46, 64, 113, 119, 155]",
xZps,ZXRKGYBuwog,"[60, 419, 1393]",
d3ps,ZanzOm5Jk80,"[0, 1]",
8Xps,ZfJkYX66ZqQ,[0],
kaps,Zl3AIspPicY,"[6, 8]",
Lhps,zxyPrCfpBgI,"[0, 12]",
00ps,FkDKUhb4RC8,"[50, 65, 256, 850, 913]","[{'text': 'option one the dry method is when you', 'start': 3.47, 'duration': 6.61}, {'text': 'just take out your pineapple and you use', 'start': 6.69, 'duration': 6.42}, {'text': 'your fingers to pull apart your hair you', 'start': 10.08, 'duration': 5.4}, {'text': 'just grab sections and you rearrange', 'start': 13.11, 'duration': 5.249}, {'text': ""your hair the way that you want it it's"", 'start': 15.48, 'duration': 5.37}, {'text': 'pretty simple and I tend to do this when', 'start': 18.359, 'duration': 5.731}, {'text': 'my hair still has a lot of definition is', 'start': 20.85, 'duration': 6.089}, {'text': 'still moisturized and typically is day', 'start': 24.09, 'duration': 7.71}, {'text': 'one maybe day to hear the only product', 'start': 26.939, 'duration': 8.041}, {'text': ""I'll apply to my hair is coconut oil or"", 'start': 31.8, 'duration': 6.509}, {'text': ""mahoba oil or a light oil and that's"", 'start': 34.98, 'duration': 6.599}, {'text': 'just for shine and also mainly out of', 'start': 38.309, 'duration': 9.18}, {'text': 'have it the other way of taking down', 'start': 41.579, 'duration': 7.5}, {'text': 'your pineapple and getting ready for the', 'start': 47.489, 'duration': 5.041}, {'text': 'day is to wet your hair in the shower', 'start': 49.079, 'duration': 5.761}, {'text': ""you don't have to totally saturate your"", 'start': 52.53, 'duration': 4.7}, {'text': 'hair what I do is one of two things', 'start': 54.84, 'duration': 4.769}, {'text': ""sometimes I'll just stand back from the"", 'start': 57.23, 'duration': 4.87}, {'text': ""shower and I'll cup the water in my"", 'start': 59.609, 'duration': 6.571}, {'text': ""hands and I'll just um scoop it onto the"", 'start': 62.1, 'duration': 7.74}, {'text': 'perimeter of my hair another thing that', 'start': 66.18, 'duration': 5.549}, {'text': ""I'll do is I'll wet my hands in the"", 'start': 69.84, 'duration': 4.5}, {'text': 'shower and I wet and just put it and', 'start': 71.729, 'duration': 6.241}, {'text': 'just go like this water hair water hair', 'start': 74.34, 'duration': 7.2}, {'text': 'water hair and that way the hair gets', 'start': 77.97, 'duration': 5.85}, {'text': ""wet but it doesn't get saturated and"", 'start': 81.54, 'duration': 5.64}, {'text': 'after that take out my pineapple then', 'start': 83.82, 'duration': 5.07}, {'text': ""it's still kind of wet and if it's not"", 'start': 87.18, 'duration': 5.52}, {'text': 'wet enough then just use my spray bottle', 'start': 88.89, 'duration': 5.97}, {'text': 'or you can just start with the spray', 'start': 92.7, 'duration': 4.86}, {'text': 'bottle then I just take some product go', 'start': 94.86, 'duration': 6.24}, {'text': 'like this and just put it on the', 'start': 97.56, 'duration': 6.69}, {'text': 'parameter where my hair has become less', 'start': 101.1, 'duration': 5.58}, {'text': 'defined I usually do this when my hair', 'start': 104.25, 'duration': 4.619}, {'text': ""when I'm on three and four day hair I"", 'start': 106.68, 'duration': 5.04}, {'text': ""don't mind frizz but sometimes from"", 'start': 108.869, 'duration': 6.231}, {'text': 'doing the pineapple the definition is', 'start': 111.72, 'duration': 7.53}, {'text': ""lost more and I want it to be so I've"", 'start': 115.1, 'duration': 7.21}, {'text': 'got to apply more product to I guess we', 'start': 119.25, 'duration': 5.159}, {'text': 'set the curl pattern and since a lot of', 'start': 122.31, 'duration': 5.519}, {'text': 'these products are advertised as being', 'start': 124.409, 'duration': 6.511}, {'text': 'able to add moisture to the hair and all', 'start': 127.829, 'duration': 4.371}, {'text': 'that good stuff', 'start': 130.92, 'duration': 2.51}, {'text': ""really felt like there's been a lot of"", 'start': 132.2, 'duration': 2.94}, {'text': 'product build-up and when I get to that', 'start': 133.43, 'duration': 5.699}, {'text': ""point and i'll just go wash or just free"", 'start': 135.14, 'duration': 8.099}, {'text': 'watch it as needed whenever i apply', 'start': 139.129, 'duration': 8.541}, {'text': 'water to my hair i do lose the shake so', 'start': 143.239, 'duration': 7.261}, {'text': 'for me second day hair is my favorite', 'start': 147.67, 'duration': 5.14}, {'text': 'but if my third and fourth day if I have', 'start': 150.5, 'duration': 5.34}, {'text': 'to apply more product then the shape', 'start': 152.81, 'duration': 4.83}, {'text': 'tends to go back to day blonde hair', 'start': 155.84, 'duration': 4.8}, {'text': ""shape which isn't that big of a deal if"", 'start': 157.64, 'duration': 6.12}, {'text': 'I really want that day to or that really', 'start': 160.64, 'duration': 7.74}, {'text': 'big in full day three to find hair then', 'start': 163.76, 'duration': 5.91}, {'text': 'I just have to spend a little bit more', 'start': 168.38, 'duration': 5.449}, {'text': 'time styling it maybe use a diffuser or', 'start': 169.67, 'duration': 6.75}, {'text': 'pull it apart more but for the most part', 'start': 173.829, 'duration': 5.321}, {'text': ""it doesn't bother me it's just a"", 'start': 176.42, 'duration': 6.929}, {'text': 'different shape so this is it you see', 'start': 179.15, 'duration': 6.839}, {'text': 'some of the product is still up here', 'start': 183.349, 'duration': 4.741}, {'text': 'which happens you can either blot it out', 'start': 185.989, 'duration': 6.33}, {'text': 'or you can just let it dry most of', 'start': 188.09, 'duration': 7.41}, {'text': 'mostra most of these products when they', 'start': 192.319, 'duration': 4.831}, {'text': ""trip by the time they dry you don't see"", 'start': 195.5, 'duration': 4.889}, {'text': 'any product on your hair then the final', 'start': 197.15, 'duration': 8.64}, {'text': 'step is to apply some more oil I just', 'start': 200.389, 'duration': 8.94}, {'text': 'like to do that as a finisher I used to', 'start': 205.79, 'duration': 6.66}, {'text': ""quarter size amount and I don't smooth"", 'start': 209.329, 'duration': 6.121}, {'text': 'it i just kind of scrunch it but yeah', 'start': 212.45, 'duration': 8.67}, {'text': ""that's it and then just wait for the"", 'start': 215.45, 'duration': 7.89}, {'text': ""shrinkage to occur again that's how i do"", 'start': 221.12, 'duration': 3.81}, {'text': 'my hair when i have a wash and go and i', 'start': 223.34, 'duration': 3.66}, {'text': 'take it down in the morning I either', 'start': 224.93, 'duration': 6.48}, {'text': ""pull it apart dry or I'll um apply some"", 'start': 227.0, 'duration': 6.299}, {'text': 'water to it in the shower right either', 'start': 231.41, 'duration': 3.689}, {'text': 'scooping it onto the parameter on my', 'start': 233.299, 'duration': 4.711}, {'text': 'head or using my fingers or using a', 'start': 235.099, 'duration': 6.121}, {'text': 'spray bottle the water again adds move', 'start': 238.01, 'duration': 5.729}, {'text': 'the water adds moisture and also helps', 'start': 241.22, 'duration': 4.23}, {'text': 'to reset the curl thanks for watching', 'start': 243.739, 'duration': 4.551}, {'text': 'bye', 'start': 245.45, 'duration': 2.84}]"
