Bjma,NFd1VBYIEM4,[7],
RIdk,Fg3-Zf32BH4,"[0, 1, 1538]",
BYdk,x-lJXHG-ftA,"[2, 7, 83, 208, 262, 541, 1134]",
lbdk,x50lXJZRNfc,"[39, 66]","[{'text': ""hey so today I'm gonna be doing a video"", 'start': 0.269, 'duration': 4.141}, {'text': 'cuz I was tagged by the beautiful', 'start': 2.52, 'duration': 5.21}, {'text': ""charming royalty like she's so pretty"", 'start': 4.41, 'duration': 6.96}, {'text': ""that's her channel up here so check her"", 'start': 7.73, 'duration': 8.29}, {'text': 'out and I got tagged yesterday to do it', 'start': 11.37, 'duration': 7.05}, {'text': ""and I'll I did it yesterday but I didn't"", 'start': 16.02, 'duration': 3.75}, {'text': ""like the way it came out so I'm redoing"", 'start': 18.42, 'duration': 2.699}, {'text': ""it again today but it's pretty much like"", 'start': 19.77, 'duration': 4.11}, {'text': 'a bunch of like question questions and', 'start': 21.119, 'duration': 4.98}, {'text': ""they're really interesting so it's just"", 'start': 23.88, 'duration': 3.93}, {'text': ""completely different and I'm glad she"", 'start': 26.099, 'duration': 4.83}, {'text': ""tagged me so thank you alright so let's"", 'start': 27.81, 'duration': 3.69}, {'text': 'begin', 'start': 30.929, 'duration': 2.341}, {'text': 'what do you check out first when you', 'start': 31.5, 'duration': 5.28}, {'text': 'check out a guy check out the clothing', 'start': 33.27, 'duration': 6.03}, {'text': ""and the face first like it's the whole"", 'start': 36.78, 'duration': 4.56}, {'text': 'process like I checked the face and the', 'start': 39.3, 'duration': 3.75}, {'text': ""clothing first like completely it's not"", 'start': 41.34, 'duration': 3.629}, {'text': ""like first and second I just I don't"", 'start': 43.05, 'duration': 5.13}, {'text': 'know I I get attracted by their style', 'start': 44.969, 'duration': 5.82}, {'text': 'first what is the least favorite part of', 'start': 48.18, 'duration': 6.42}, {'text': 'your body you know what my least', 'start': 50.789, 'duration': 5.761}, {'text': 'favorite part would have to be my hips I', 'start': 54.6, 'duration': 4.349}, {'text': 'wish I had bigger hips and I know some', 'start': 56.55, 'duration': 3.75}, {'text': 'girls with big hips are like I wish I', 'start': 58.949, 'duration': 2.941}, {'text': 'had small tits but I really wish I had', 'start': 60.3, 'duration': 3.48}, {'text': 'bigger hips that would be nice dolly or', 'start': 61.89, 'duration': 5.94}, {'text': ""Loretta I don't even know who dolly and"", 'start': 63.78, 'duration': 7.74}, {'text': 'Loretta are who are they thank you and', 'start': 67.83, 'duration': 5.28}, {'text': 'be from the opposite sex', 'start': 71.52, 'duration': 4.38}, {'text': ""it just Envy that they don't get much"", 'start': 73.11, 'duration': 4.47}, {'text': ""swings like us like when we're on our"", 'start': 75.9, 'duration': 3.96}, {'text': 'period I really Envy that I wish they', 'start': 77.58, 'duration': 4.95}, {'text': ""get it three things you really don't"", 'start': 79.86, 'duration': 4.47}, {'text': 'envy you from the opposite sex', 'start': 82.53, 'duration': 6.089}, {'text': ""I just don't envy that they're guys I"", 'start': 84.33, 'duration': 6.96}, {'text': 'love being a girl which of the seven', 'start': 88.619, 'duration': 5.311}, {'text': 'deadly sins do you practice the most oh', 'start': 91.29, 'duration': 6.329}, {'text': ""god I really I don't mean to practice"", 'start': 93.93, 'duration': 7.02}, {'text': ""gluttony but I do like I just can't help"", 'start': 97.619, 'duration': 5.43}, {'text': ""it and I know in some cultures that's"", 'start': 100.95, 'duration': 4.26}, {'text': 'not one of the seven deadly sins but in', 'start': 103.049, 'duration': 5.64}, {'text': ""mine it is and I'm so don't hate me have"", 'start': 105.21, 'duration': 6.36}, {'text': ""you ever had an eating disorder no I've"", 'start': 108.689, 'duration': 4.47}, {'text': 'never had an eating disorder', 'start': 111.57, 'duration': 3.96}, {'text': 'but like a ninth grade I thought I was', 'start': 113.159, 'duration': 5.28}, {'text': 'fat but I was like this it was just a', 'start': 115.53, 'duration': 5.1}, {'text': ""mental issue but I mean I didn't make"", 'start': 118.439, 'duration': 4.29}, {'text': 'myself throw up or anything when was the', 'start': 120.63, 'duration': 3.75}, {'text': 'last time you made out with the stranger', 'start': 122.729, 'duration': 3.691}, {'text': 'you why would you even make out with a', 'start': 124.38, 'duration': 3.049}, {'text': 'stranger', 'start': 126.42, 'duration': 3.869}, {'text': 'like who uh', 'start': 127.429, 'duration': 4.241}, {'text': ""but the stranger like you don't even"", 'start': 130.289, 'duration': 5.01}, {'text': 'know we ever had a drug problem never', 'start': 131.67, 'duration': 4.83}, {'text': 'had a drug problem', 'start': 135.299, 'duration': 3.481}, {'text': 'how long have you gone without having', 'start': 136.5, 'duration': 7.319}, {'text': 'sex okay I am NOT gonna discuss that on', 'start': 138.78, 'duration': 6.78}, {'text': ""my channel I'm just not going to discuss"", 'start': 143.819, 'duration': 5.551}, {'text': 'it without sleeping', 'start': 145.56, 'duration': 6.12}, {'text': 'same reason I was wired on redbull so I', 'start': 149.37, 'duration': 4.14}, {'text': 'went two nights without sleeping without', 'start': 151.68, 'duration': 4.5}, {'text': 'eating I have gotten two full days', 'start': 153.51, 'duration': 4.199}, {'text': 'without eating because I was wired on', 'start': 156.18, 'duration': 3.809}, {'text': 'Red Bulls most last time you did cocaine', 'start': 157.709, 'duration': 2.851}, {'text': 'huh', 'start': 159.989, 'duration': 4.201}, {'text': ""I don't do coke what was the last time"", 'start': 160.56, 'duration': 6.899}, {'text': ""you smoked weed bad you and I don't"", 'start': 164.19, 'duration': 5.159}, {'text': ""smoke weed it's your hair look like now"", 'start': 167.459, 'duration': 5.31}, {'text': ""just on my hair I did it today so that's"", 'start': 169.349, 'duration': 6.901}, {'text': ""a looks but yeah it's dry three articles"", 'start': 172.769, 'duration': 5.431}, {'text': 'of clothing that will never go out of', 'start': 176.25, 'duration': 6.239}, {'text': 'style a little black dress a blazer and', 'start': 178.2, 'duration': 6.99}, {'text': 'a classic Chanel purse would you ever', 'start': 182.489, 'duration': 5.25}, {'text': 'have cosmetic surgery I would if I ever', 'start': 185.19, 'duration': 5.01}, {'text': 'want it or if I need it I would get it', 'start': 187.739, 'duration': 4.83}, {'text': ""and if you're against it oh well when"", 'start': 190.2, 'duration': 3.929}, {'text': 'was the last time you stole something', 'start': 192.569, 'duration': 5.401}, {'text': 'well about I think two and a half years', 'start': 194.129, 'duration': 9.36}, {'text': 'ago I had a roommate in Iraq and she had', 'start': 197.97, 'duration': 6.87}, {'text': 'a bag of chips on her side of the room', 'start': 203.489, 'duration': 4.08}, {'text': 'she had Elleni duty that day so she', 'start': 204.84, 'duration': 4.89}, {'text': ""wasn't in her room when I got off for"", 'start': 207.569, 'duration': 4.95}, {'text': 'work and I was hungry and the DFAC was', 'start': 209.73, 'duration': 5.189}, {'text': 'like really far the cafeteria was really', 'start': 212.519, 'duration': 4.951}, {'text': 'far so I went to her side of the room', 'start': 214.919, 'duration': 5.25}, {'text': 'and like I opened up one of her bag of', 'start': 217.47, 'duration': 3.269}, {'text': 'chips', 'start': 220.169, 'duration': 2.18}, {'text': 'well it was already open but I just', 'start': 220.739, 'duration': 4.08}, {'text': 'stuck my hand in there and I got so many', 'start': 222.349, 'duration': 5.681}, {'text': 'and I feel so bad do you think girls', 'start': 224.819, 'duration': 5.371}, {'text': 'deserve more respect just because', 'start': 228.03, 'duration': 6.239}, {'text': ""they're girls well I think everyone"", 'start': 230.19, 'duration': 6.09}, {'text': 'deserves respect but if you put yourself', 'start': 234.269, 'duration': 5.041}, {'text': 'out there to be disrespected you know if', 'start': 236.28, 'duration': 5.01}, {'text': 'you like guys just touch you like your', 'start': 239.31, 'duration': 3.63}, {'text': ""body is nothing like it doesn't mean"", 'start': 241.29, 'duration': 3.779}, {'text': ""anything then you're asking for it then"", 'start': 242.94, 'duration': 3.57}, {'text': ""I there's nothing I could do and there's"", 'start': 245.069, 'duration': 5.401}, {'text': 'nothing I think about it but hey when', 'start': 246.51, 'duration': 6.059}, {'text': ""it's your favorite night to go out and"", 'start': 250.47, 'duration': 4.79}, {'text': 'why my favorite night to go out is', 'start': 252.569, 'duration': 6.51}, {'text': 'Friday and Saturday I usually like to go', 'start': 255.26, 'duration': 5.589}, {'text': 'out more on a Friday night', 'start': 259.079, 'duration': 3.591}, {'text': 'but just', 'start': 260.849, 'duration': 4.101}, {'text': ""your typical because there's a lot more"", 'start': 262.67, 'duration': 4.02}, {'text': 'things going on on Friday night and', 'start': 264.95, 'duration': 4.44}, {'text': 'Saturday night then the weekdays you in', 'start': 266.69, 'duration': 4.59}, {'text': ""Texas that's not true though I think"", 'start': 269.39, 'duration': 3.9}, {'text': 'there you could go out Monday night if', 'start': 271.28, 'duration': 3.6}, {'text': ""you wants into the club and it's fine"", 'start': 273.29, 'duration': 4.2}, {'text': ""but here there's not so many things"", 'start': 274.88, 'duration': 5.03}, {'text': 'going on until probably Thursday', 'start': 277.49, 'duration': 5.91}, {'text': 'once-in-a-while Wednesday but during the', 'start': 279.91, 'duration': 5.32}, {'text': 'weekdays I would just go out to', 'start': 283.4, 'duration': 3.18}, {'text': 'something easy', 'start': 285.23, 'duration': 3.87}, {'text': ""I don't know golfing or something but my"", 'start': 286.58, 'duration': 4.23}, {'text': 'favorite favorite favorite now I have to', 'start': 289.1, 'duration': 4.53}, {'text': 'be Friday I want to be rich or famous it', 'start': 290.81, 'duration': 5.1}, {'text': 'definitely you want to be successful and', 'start': 293.63, 'duration': 7.23}, {'text': 'with success comes wealth so most of the', 'start': 295.91, 'duration': 7.53}, {'text': ""time so yeah fame I really don't care"", 'start': 300.86, 'duration': 8.1}, {'text': 'much about fame I mean know who is your', 'start': 303.44, 'duration': 9.15}, {'text': 'hero or a role model my hero and role', 'start': 308.96, 'duration': 6.09}, {'text': 'model I have three people obviously my', 'start': 312.59, 'duration': 4.11}, {'text': ""parents just because they're really"", 'start': 315.05, 'duration': 4.59}, {'text': ""strong hard-working people and they're"", 'start': 316.7, 'duration': 4.92}, {'text': ""really they're fighters you know my"", 'start': 319.64, 'duration': 5.07}, {'text': 'parents are like that and they always', 'start': 321.62, 'duration': 4.74}, {'text': 'spend my role models in Heroes since I', 'start': 324.71, 'duration': 5.91}, {'text': 'was little and for my third person was', 'start': 326.36, 'duration': 6.24}, {'text': 'my drill sergeant from basic training', 'start': 330.62, 'duration': 5.43}, {'text': 'who I met three years ago and his name', 'start': 332.6, 'duration': 5.82}, {'text': ""is drill sergeant Johnson I don't think"", 'start': 336.05, 'duration': 4.28}, {'text': ""he's the drill sergeant anymore but oh"", 'start': 338.42, 'duration': 6.3}, {'text': 'my god he was our platoon sergeant and I', 'start': 340.33, 'duration': 6.61}, {'text': 'just learned so much from him I have a', 'start': 344.72, 'duration': 4.26}, {'text': 'big ol heart and I never give up because', 'start': 346.94, 'duration': 4.35}, {'text': 'of the way that he just kind of like my', 'start': 348.98, 'duration': 4.38}, {'text': ""battery's gonna die the way he brought"", 'start': 351.29, 'duration': 4.92}, {'text': 'me up well the what not the way he was', 'start': 353.36, 'duration': 5.01}, {'text': 'with me like he taught me never to give', 'start': 356.21, 'duration': 4.14}, {'text': 'up and you could accomplish anything you', 'start': 358.37, 'duration': 4.38}, {'text': ""dream up anything what's the most"", 'start': 360.35, 'duration': 5.85}, {'text': 'protest part of the human body the most', 'start': 362.75, 'duration': 7.95}, {'text': 'I would have to say your toes and', 'start': 366.2, 'duration': 7.11}, {'text': ""fingers not that they're disgusting or"", 'start': 370.7, 'duration': 4.44}, {'text': ""anything but they're weird they're like"", 'start': 373.31, 'duration': 4.77}, {'text': 'like they move like this like like your', 'start': 375.14, 'duration': 5.67}, {'text': 'toes is weird have you ever found it fun', 'start': 378.08, 'duration': 6.26}, {'text': 'to sniff on your dirty undies you know', 'start': 380.81, 'duration': 5.76}, {'text': ""who's gonna sniff their dirty underwear"", 'start': 384.34, 'duration': 5.62}, {'text': ""that's girls you better say no did you"", 'start': 386.57, 'duration': 7.24}, {'text': 'pee in the shower from in every bathroom', 'start': 389.96, 'duration': 5.95}, {'text': ""there's the toilet so why would you pee"", 'start': 393.81, 'duration': 5.93}, {'text': 'on the shower do you pick your nose', 'start': 395.91, 'duration': 6.36}, {'text': 'have you ever been to an orgy', 'start': 399.74, 'duration': 8.17}, {'text': 'um no three-way no how do you know the', 'start': 402.27, 'duration': 8.43}, {'text': 'person that requested or tank this video', 'start': 407.91, 'duration': 6.0}, {'text': ""I know a charming royalty because I'm"", 'start': 410.7, 'duration': 5.25}, {'text': 'subscribed to her so I watch all her', 'start': 413.91, 'duration': 4.11}, {'text': ""videos all the time and that's pretty"", 'start': 415.95, 'duration': 3.81}, {'text': 'much how I know her just through YouTube', 'start': 418.02, 'duration': 4.32}, {'text': 'what nationality do you prefer the', 'start': 419.76, 'duration': 6.21}, {'text': ""father of your kids to be well I don't"", 'start': 422.34, 'duration': 6.48}, {'text': 'care what nationality or race they would', 'start': 425.97, 'duration': 4.41}, {'text': 'be like if they were gonna be mixed or', 'start': 428.82, 'duration': 4.26}, {'text': 'anything but my boyfriend who I want to', 'start': 430.38, 'duration': 4.68}, {'text': 'have kids with this Mexican so right now', 'start': 433.08, 'duration': 4.41}, {'text': ""I'd have to say Mexican what would you"", 'start': 435.06, 'duration': 4.14}, {'text': ""name your kids I'm thinking about baby"", 'start': 437.49, 'duration': 4.38}, {'text': ""names but I've never really gone through"", 'start': 439.2, 'duration': 5.76}, {'text': ""it actually picking out a name ain't"", 'start': 441.87, 'duration': 5.16}, {'text': ""three things you can't stand from people"", 'start': 444.96, 'duration': 5.01}, {'text': 'and stant liars rude people', 'start': 447.03, 'duration': 8.01}, {'text': 'and fake people anyways thank you for', 'start': 449.97, 'duration': 7.05}, {'text': 'tagging me into this video I had so much', 'start': 455.04, 'duration': 2.79}, {'text': 'fun doing it', 'start': 457.02, 'duration': 3.69}, {'text': 'and I hope you guys people who I tagged', 'start': 457.83, 'duration': 4.56}, {'text': 'to this video - okay I know some of the', 'start': 460.71, 'duration': 5.22}, {'text': 'questions are like rated R but skip them', 'start': 462.39, 'duration': 4.65}, {'text': ""if you don't feel comfortable answering"", 'start': 465.93, 'duration': 3.39}, {'text': ""them you know if you're underage yeah I"", 'start': 467.04, 'duration': 5.82}, {'text': ""love you guys but I'm gonna tag cheek"", 'start': 469.32, 'duration': 11.67}, {'text': 'clouds I see abstract Nikki 26 and well', 'start': 472.86, 'duration': 11.369}, {'text': ""Miss Cleo for people I'm tagging so yeah"", 'start': 480.99, 'duration': 6.2}, {'text': 'bye', 'start': 484.229, 'duration': 2.961}]"
gNdk,J3Nv7689niE,"[0, 1, 27, 192, 309, 331]",
bNdk,JICysGhvnCg,"[2, 7, 17, 19, 129]",
hudk,Qgc_84fAOPo,"[964, 990, 1526]",
4qdk,QpXYGqW_iNA,[8],
Gtdk,QxDrz9ErEkQ,[8],
Y2dk,,"[41, 556]",
3Ddk,P2yAYuuoNeE,"[0, 12]",
KMdk,PFCEw3F4S5Y,"[0, 12, 312]",
Tfdk,IIKoTBaecls,"[74, 131, 209, 246, 658, 2705]",
MWdk,STt0KcKtgNU,"[0, 82, 103, 118]",
p7dk,0sAbpkwoJCk,"[246, 1154]","[{'text': ""who is leaving China's consumer"", 'start': 25.01, 'duration': 8.02}, {'text': 'electronic industry year 1980 Shenzhen', 'start': 27.9, 'duration': 7.89}, {'text': ""China's first Electronics I know foreign"", 'start': 33.03, 'duration': 5.04}, {'text': 'joint venture conca group Company', 'start': 35.79, 'duration': 4.74}, {'text': 'Limited was founded in this beautiful', 'start': 38.07, 'duration': 5.04}, {'text': 'coastal city with the main business', 'start': 40.53, 'duration': 4.89}, {'text': 'lines covering multimedia consumer', 'start': 43.11, 'duration': 4.53}, {'text': 'electronics portable communication', 'start': 45.42, 'duration': 5.25}, {'text': 'products home appliances satellite', 'start': 47.64, 'duration': 6.53}, {'text': 'set-top boxes and upstream components', 'start': 50.67, 'duration': 5.94}, {'text': 'tonka has made the leading consumer', 'start': 54.17, 'duration': 4.75}, {'text': 'electronic enterprise in China and', 'start': 56.61, 'duration': 4.53}, {'text': 'brought spectacular entertainment', 'start': 58.92, 'duration': 4.86}, {'text': 'experience to hundreds of millions of', 'start': 61.14, 'duration': 4.92}, {'text': 'families all over the world with', 'start': 63.78, 'duration': 6.8}, {'text': 'innovative and premium quality products', 'start': 66.06, 'duration': 4.52}, {'text': 'who is innovating to be respectable', 'start': 71.39, 'duration': 7.46}, {'text': 'tanka taking continuous innovation as', 'start': 75.76, 'duration': 5.67}, {'text': 'the driving force has established three', 'start': 78.85, 'duration': 6.45}, {'text': 'level R&D system research institute R&D', 'start': 81.43, 'duration': 6.3}, {'text': 'center and professional design studio', 'start': 85.3, 'duration': 5.19}, {'text': 'which integrated innovative concepts and', 'start': 87.73, 'duration': 4.65}, {'text': 'force from the national enterprise', 'start': 90.49, 'duration': 5.01}, {'text': 'technology center post doctoral research', 'start': 92.38, 'duration': 5.43}, {'text': 'center and research laboratory in', 'start': 95.5, 'duration': 5.19}, {'text': 'American Silicon Valley and therefore', 'start': 97.81, 'duration': 6.26}, {'text': 'keeps in pace with leading technologies', 'start': 100.69, 'duration': 8.97}, {'text': 'from HTC RT TV to ultra-thin LED TV and', 'start': 104.07, 'duration': 10.87}, {'text': 'from 3d TV to smart 3d TV Tonka TV', 'start': 109.66, 'duration': 7.29}, {'text': 'products have been leading constant', 'start': 114.94, 'duration': 4.19}, {'text': 'consumer entertainment revolution', 'start': 116.95, 'duration': 4.98}, {'text': 'combining the unique OMI system with', 'start': 119.13, 'duration': 5.26}, {'text': 'Android system and integrated with', 'start': 121.93, 'duration': 5.04}, {'text': 'upgraded chip Tonka products offer', 'start': 124.39, 'duration': 5.509}, {'text': 'plentiful amusing applications', 'start': 126.97, 'duration': 5.22}, {'text': 'redefining the home entertainment', 'start': 129.899, 'duration': 4.661}, {'text': 'terminal and satisfying personalized', 'start': 132.19, 'duration': 7.68}, {'text': 'demands of different markets who is', 'start': 134.56, 'duration': 8.76}, {'text': 'enlarging to be strong Tonka has', 'start': 139.87, 'duration': 5.46}, {'text': 'constructed an effective international', 'start': 143.32, 'duration': 4.56}, {'text': 'production and operation system and', 'start': 145.33, 'duration': 4.86}, {'text': 'established a strategic alliance with', 'start': 147.88, 'duration': 6.3}, {'text': 'upstream suppliers the adoption of', 'start': 150.19, 'duration': 6.45}, {'text': 'flexible management and ERP system and', 'start': 154.18, 'duration': 4.98}, {'text': 'group operation has enabled Kanta to', 'start': 156.64, 'duration': 4.379}, {'text': 'keep fully control through the whole', 'start': 159.16, 'duration': 5.04}, {'text': 'process and make prompt responses so as', 'start': 161.019, 'duration': 5.391}, {'text': 'to keep reasonable inventory periods', 'start': 164.2, 'duration': 4.77}, {'text': 'accelerate the capital circulation and', 'start': 166.41, 'duration': 5.109}, {'text': 'therefore remarkably reduce the', 'start': 168.97, 'duration': 6.33}, {'text': 'operation cost in 2009', 'start': 171.519, 'duration': 6.301}, {'text': ""China's largest module manufacture base"", 'start': 175.3, 'duration': 6.27}, {'text': 'conga Kunsch an LCM factory was put into', 'start': 177.82, 'duration': 6.78}, {'text': 'operation which has reached 10,000 sets', 'start': 181.57, 'duration': 6.18}, {'text': 'daily output and 1 million sets annual', 'start': 184.6, 'duration': 4.44}, {'text': 'output by now', 'start': 187.75, 'duration': 5.52}, {'text': 'in the same year Conca became one of the', 'start': 189.04, 'duration': 6.75}, {'text': 'biggest shareholders of a very important', 'start': 193.27, 'duration': 6.3}, {'text': 'led manufacturer enterprise refund opto', 'start': 195.79, 'duration': 5.88}, {'text': 'electronics which helps the company', 'start': 199.57, 'duration': 5.43}, {'text': 'completes the LCD TV industrial chain', 'start': 201.67, 'duration': 6.08}, {'text': 'and reducing the cost in manufacturing', 'start': 205.0, 'duration': 8.76}, {'text': 'logistics and CBU units by far the', 'start': 207.75, 'duration': 8.05}, {'text': 'annual gross production capacity in', 'start': 213.76, 'duration': 4.65}, {'text': 'terms of TV and refrigerator of conca', 'start': 215.8, 'duration': 5.91}, {'text': 'group has reached 25 million sets thanks', 'start': 218.41, 'duration': 5.25}, {'text': ""to the world's leading operation and"", 'start': 221.71, 'duration': 6.45}, {'text': 'manufacture capability in 2010 conca had', 'start': 223.66, 'duration': 6.93}, {'text': 'established strategic alliance with one', 'start': 228.16, 'duration': 4.8}, {'text': ""of the world's top brands and has been"", 'start': 230.59, 'duration': 4.77}, {'text': 'providing premium odm products to', 'start': 232.96, 'duration': 7.2}, {'text': 'millions of customers who has reliable', 'start': 235.36, 'duration': 8.91}, {'text': 'quality tanka is the first enterprise', 'start': 240.16, 'duration': 7.83}, {'text': 'obtaining the certificate of ISO 9001', 'start': 244.27, 'duration': 7.83}, {'text': 'quality management system and ISO 14001', 'start': 247.99, 'duration': 7.02}, {'text': 'environmental management system in China', 'start': 252.1, 'duration': 6.09}, {'text': 'home appliances industry find incoming', 'start': 255.01, 'duration': 5.789}, {'text': 'materials inspection rigorous high heat', 'start': 258.19, 'duration': 6.09}, {'text': 'aging test 1.5 meter drop test and', 'start': 260.799, 'duration': 6.211}, {'text': 'strict desert application tests the', 'start': 264.28, 'duration': 5.55}, {'text': 'dynamic Quality Control executed in', 'start': 267.01, 'duration': 4.53}, {'text': 'every single step of the production', 'start': 269.83, 'duration': 3.93}, {'text': 'process guarantees the high quality', 'start': 271.54, 'duration': 6.54}, {'text': 'reliability of Kaka products who has', 'start': 273.76, 'duration': 8.04}, {'text': 'first-class service and marketing 30', 'start': 278.08, 'duration': 5.36}, {'text': 'years of devotion in home appliances', 'start': 281.8, 'duration': 5.13}, {'text': 'industry gives Kaka a well-organized and', 'start': 283.44, 'duration': 5.59}, {'text': 'promptly responsive marketing network', 'start': 286.93, 'duration': 4.83}, {'text': 'and a preliminary localized after-sales', 'start': 289.03, 'duration': 4.97}, {'text': 'service system around the', 'start': 291.76, 'duration': 4.61}, {'text': 'furthermore conca has developed a', 'start': 294.0, 'duration': 4.409}, {'text': 'marketing operation system through', 'start': 296.37, 'duration': 4.229}, {'text': 'multiple approaches including setting', 'start': 298.409, 'duration': 4.711}, {'text': 'branches deploying representative', 'start': 300.599, 'duration': 5.28}, {'text': 'offices merging overseas factories a', 'start': 303.12, 'duration': 5.19}, {'text': 'lying with local clients in accordance', 'start': 305.879, 'duration': 6.331}, {'text': 'with its globalization strategy in 2011', 'start': 308.31, 'duration': 7.079}, {'text': 'Conca adopted the advanced CRM system', 'start': 312.21, 'duration': 5.13}, {'text': 'Salesforce platform to develop', 'start': 315.389, 'duration': 4.231}, {'text': 'systematic service capability and', 'start': 317.34, 'duration': 5.22}, {'text': 'service system in aspects of order', 'start': 319.62, 'duration': 5.22}, {'text': 'management production operation and', 'start': 322.56, 'duration': 5.28}, {'text': 'logistic service to satisfy personalized', 'start': 324.84, 'duration': 7.859}, {'text': 'customer needs so far Conchas oversees', 'start': 327.84, 'duration': 7.169}, {'text': 'business has covered 100 countries and', 'start': 332.699, 'duration': 5.94}, {'text': 'regions in Asia Middle East Australia', 'start': 335.009, 'duration': 8.541}, {'text': 'Africa Europe and America', 'start': 338.639, 'duration': 4.911}, {'text': 'who is dreaming to be great tanka', 'start': 344.53, 'duration': 7.11}, {'text': 'inspired by innovation spirit and aims', 'start': 348.76, 'duration': 5.61}, {'text': 'to lead industry technology and design', 'start': 351.64, 'duration': 5.67}, {'text': 'fashion is on her way to become a', 'start': 354.37, 'duration': 4.86}, {'text': 'diversified enterprise with', 'start': 357.31, 'duration': 4.22}, {'text': 'international influence and a powerful', 'start': 359.23, 'duration': 6.68}, {'text': 'electronics brand in global competition', 'start': 361.53, 'duration': 4.38}]"
q2dk,C6-k0luBa6Y,[300],
erdk,hsiTOhGP4Kw,"[3, 13]",
whdk,IcZe0YE5i48,"[6, 8, 206]",
JPdk,JR-4EWZolTQ,"[3, 6]",
Xldk,Jb8CH0rTcY4,"[6, 1416]",
fidk,gIStJEwbpjY,"[0, 82, 103, 118]",
hddk,bqExiTWvBdc,[3],
Eddk,0bqmb_wkPas,[308],
