IUk4,VrbFeSg6DZ4,"[3, 6, 10, 28]",
h2cv,Ika6TUw8pcc,"[2, 30, 55, 280, 408]",
ircv,HZUIfpmmP_c,[603],
J1cv,H_bdyorzgXA,[2907],
Crcv,HfF2MmomHyA,"[0, 486]",
xNcv,bUf_-r-IUtA,"[159, 626, 1740, 2437]",
cacv,bktlRYNNVqU,"[2, 18, 59, 76, 3403]",
9rcv,jwsjxJn5EA4,"[2, 76, 473, 547]",
S4cv,qmZhmqlUV5k,"[0, 1]",
xFcv,dJyLGOGARUw,"[11, 20, 22, 123, 176, 321]",
FOcv,dM_dWsFmYa0,[8],
9ccv,YEzIzbQcS14,"[313, 388, 1615]","[{'text': ""good afternoon everybody I'm Dean"", 'start': 0.0, 'duration': 2.82}, {'text': 'Nesbitt you know landscape and', 'start': 1.56, 'duration': 2.58}, {'text': 'excavating and then talk about the', 'start': 2.82, 'duration': 3.3}, {'text': ""proper construction of a rock wall we've"", 'start': 4.14, 'duration': 3.48}, {'text': 'been on this particular project now for', 'start': 6.12, 'duration': 4.74}, {'text': 'about five weeks about 2,500 square feet', 'start': 7.62, 'duration': 4.71}, {'text': ""of rock when we're totally done we've"", 'start': 10.86, 'duration': 4.199}, {'text': 'got about three days left and so what I', 'start': 12.33, 'duration': 4.56}, {'text': 'want to talk about proper construction', 'start': 15.059, 'duration': 4.531}, {'text': 'we have some great rock here we got a', 'start': 16.89, 'duration': 5.79}, {'text': 'variety of chunk and in behind this wall', 'start': 19.59, 'duration': 5.179}, {'text': ""that I'm going to start to show you"", 'start': 22.68, 'duration': 5.55}, {'text': ""there's Big O and there's a lot of dry"", 'start': 24.769, 'duration': 5.231}, {'text': ""stack and that's the proper construction"", 'start': 28.23, 'duration': 4.86}, {'text': 'of a roll so you get drainage we put', 'start': 30.0, 'duration': 5.79}, {'text': 'filter fabric in behind and if water', 'start': 33.09, 'duration': 5.219}, {'text': 'issue is coming as a spring issue or', 'start': 35.79, 'duration': 5.55}, {'text': 'something that an irrigation line might', 'start': 38.309, 'duration': 4.91}, {'text': 'eventually break we always try to', 'start': 41.34, 'duration': 4.98}, {'text': 'prepare for the worst so we put Big O on', 'start': 43.219, 'duration': 4.631}, {'text': ""the bottom so I'm going to take you"", 'start': 46.32, 'duration': 3.03}, {'text': ""through one of our rock walls that we've"", 'start': 47.85, 'duration': 5.76}, {'text': 'built and kind of show you from this', 'start': 49.35, 'duration': 6.619}, {'text': 'perspective', 'start': 53.61, 'duration': 2.359}, {'text': ""during the particular wall it's about"", 'start': 59.88, 'duration': 5.01}, {'text': ""five feet high we've got big min rocks"", 'start': 61.47, 'duration': 6.45}, {'text': 'that are based off that start at the', 'start': 64.89, 'duration': 5.01}, {'text': 'bottom sorry and come right into what I', 'start': 67.92, 'duration': 4.41}, {'text': 'call our midline so the midline being', 'start': 69.9, 'duration': 4.5}, {'text': 'from here up and then these are our mid', 'start': 72.33, 'duration': 5.13}, {'text': 'caps when these rocks are put into their', 'start': 74.4, 'duration': 4.35}, {'text': ""proper placements that they're there"", 'start': 77.46, 'duration': 4.98}, {'text': ""forever I've seen a lot of rock walls"", 'start': 78.75, 'duration': 6.39}, {'text': ""built incorrectly and I've actually"", 'start': 82.44, 'duration': 4.14}, {'text': 'repaired a lot of walls have been', 'start': 85.14, 'duration': 3.51}, {'text': 'incorrectly built and a fallen or fail', 'start': 86.58, 'duration': 5.34}, {'text': 'due to not the proper dry stacking', 'start': 88.65, 'duration': 5.4}, {'text': 'behind what happens is the material that', 'start': 91.92, 'duration': 3.9}, {'text': ""is in behind if it wasn't detected by"", 'start': 94.05, 'duration': 4.29}, {'text': 'the filter cloth starts to leach out and', 'start': 95.82, 'duration': 5.4}, {'text': 'will start to bleed through the walls so', 'start': 98.34, 'duration': 4.889}, {'text': 'the wall has to breathe properly so if', 'start': 101.22, 'duration': 5.52}, {'text': ""there's any water that comes down after"", 'start': 103.229, 'duration': 6.361}, {'text': ""spring of winter we're going to make"", 'start': 106.74, 'duration': 4.95}, {'text': 'sure that a wall drains never builds up', 'start': 109.59, 'duration': 3.66}, {'text': 'any pressure and have any surcharge to', 'start': 111.69, 'duration': 4.47}, {'text': ""overpower so with that we're going to"", 'start': 113.25, 'duration': 5.58}, {'text': 'move on to the next area and go from', 'start': 116.16, 'duration': 5.13}, {'text': 'there go on an ideal bill which we call', 'start': 118.83, 'duration': 3.99}, {'text': ""a number one build where you're actually"", 'start': 121.29, 'duration': 3.12}, {'text': 'using one piece of equipment where the', 'start': 122.82, 'duration': 4.62}, {'text': 'rock is right there we dump the rock you', 'start': 124.41, 'duration': 5.459}, {'text': 'have our drain rock and stack rock all', 'start': 127.44, 'duration': 5.25}, {'text': 'placed behind us this particular site is', 'start': 129.869, 'duration': 4.681}, {'text': 'pretty big now but when if you would', 'start': 132.69, 'duration': 4.17}, {'text': 'have seen it two weeks ago there was ten', 'start': 134.55, 'duration': 4.47}, {'text': 'loads of rock on here and you can see', 'start': 136.86, 'duration': 3.9}, {'text': ""we're now getting down to two foot two"", 'start': 139.02, 'duration': 3.9}, {'text': 'smaller rock but we had three and four', 'start': 140.76, 'duration': 4.74}, {'text': 'foot high rocks in here so very', 'start': 142.92, 'duration': 4.2}, {'text': 'important to have a nice clean site I', 'start': 145.5, 'duration': 3.15}, {'text': ""always tell people if they're building a"", 'start': 147.12, 'duration': 4.68}, {'text': 'home do your hardscape first you do that', 'start': 148.65, 'duration': 4.85}, {'text': ""you're not going to have to work around"", 'start': 151.8, 'duration': 4.5}, {'text': ""foundations and other workers you're"", 'start': 153.5, 'duration': 4.69}, {'text': 'going to be more productive and we can', 'start': 156.3, 'duration': 4.409}, {'text': 'usually use one maybe two machines on', 'start': 158.19, 'duration': 6.019}, {'text': 'the site when the rocks dropped off so', 'start': 160.709, 'duration': 6.201}, {'text': 'we started with building this back wall', 'start': 164.209, 'duration': 5.011}, {'text': 'and right behind the loader', 'start': 166.91, 'duration': 5.67}, {'text': 'start to see from back there these rocks', 'start': 169.22, 'duration': 5.28}, {'text': 'have been put in a manner that they look', 'start': 172.58, 'duration': 3.6}, {'text': ""like they've have been placed there like"", 'start': 174.5, 'duration': 6.48}, {'text': 'a puzzle they follow the lines base rock', 'start': 176.18, 'duration': 8.37}, {'text': 'mid rod a base can go into the midline', 'start': 180.98, 'duration': 6.54}, {'text': 'but generally not all the way to the cap', 'start': 184.55, 'duration': 5.4}, {'text': 'or it will look out upper part then we', 'start': 187.52, 'duration': 5.34}, {'text': 'finish the cap and then in behind our', 'start': 189.95, 'duration': 4.53}, {'text': 'dry stack is probably two and a half', 'start': 192.86, 'duration': 3.75}, {'text': 'feet behind this so this wall would', 'start': 194.48, 'duration': 3.51}, {'text': 'never come down in a million years that', 'start': 196.61, 'duration': 3.69}, {'text': 'it bleeds down and you can see it', 'start': 197.99, 'duration': 5.52}, {'text': 'follows the actual natural lab and paper', 'start': 200.3, 'duration': 4.08}, {'text': 'those two nothing', 'start': 203.51, 'duration': 4.05}, {'text': ""so with that we're going to go to our"", 'start': 204.38, 'duration': 5.13}, {'text': ""last and final wall that we're on we're"", 'start': 207.56, 'duration': 2.91}, {'text': 'going to go down to the bottom and show', 'start': 209.51, 'duration': 3.69}, {'text': 'you a two-tier wall and quite proud', 'start': 210.47, 'duration': 4.02}, {'text': ""about that so we'd like to show you that"", 'start': 213.2, 'duration': 3.09}, {'text': ""so now we're looking at our two-tier"", 'start': 214.49, 'duration': 3.93}, {'text': ""wall we're actually just working up the"", 'start': 216.29, 'duration': 4.38}, {'text': ""side here now don't be a wall that comes"", 'start': 218.42, 'duration': 3.87}, {'text': 'in here at about a two-and-a-half to', 'start': 220.67, 'duration': 3.84}, {'text': 'three foot level and in behind you can', 'start': 222.29, 'duration': 4.86}, {'text': 'actually see what I was talking about', 'start': 224.51, 'duration': 6.3}, {'text': 'earlier fabric protecting on in the end', 'start': 227.15, 'duration': 8.49}, {'text': ""for the dirt or the organic matter we've"", 'start': 230.81, 'duration': 6.27}, {'text': 'got a lot of chunk and grain in there', 'start': 235.64, 'duration': 3.06}, {'text': ""where right now we've actually put some"", 'start': 237.08, 'duration': 2.909}, {'text': ""chunk and drained now we're ready for"", 'start': 238.7, 'duration': 4.41}, {'text': 'our chunk chunk rub whatever referred to', 'start': 239.989, 'duration': 7.561}, {'text': ""is messed up or mandrel and if it's done"", 'start': 243.11, 'duration': 7.92}, {'text': 'properly the results that you can have', 'start': 247.55, 'duration': 6.12}, {'text': 'or phenomenal and if you actually start', 'start': 251.03, 'duration': 5.82}, {'text': 'to look at this now to tear all four to', 'start': 253.67, 'duration': 8.4}, {'text': ""five feet and when it's washed it's"", 'start': 256.85, 'duration': 8.72}, {'text': 'going to look phenomenal and with that', 'start': 262.07, 'duration': 6.54}, {'text': 'if you have any more questions go to our', 'start': 265.57, 'duration': 4.83}, {'text': ""website we'd be happy to answer them"", 'start': 268.61, 'duration': 6.23}, {'text': ""thanks again Geno's landscaping"", 'start': 270.4, 'duration': 4.44}]"
Mbcv,YJiby84sZHM,"[18, 43, 59, 101]",
hvcv,hcV2LuM9lRs,[330],
rqcv,hcM54LLkQ1A,"[21, 23, 24, 73, 554, 786]",
cDcv,gtMOG9_3Tyw,[3],
gzcv,mkAl-k3qVXQ,"[2, 30, 55, 408, 515]",
JAcv,k_yR59tmE_o,[3],
Prcv,crumuA12Yd0,[12],
R4cv,cynyXvE0GhY,"[148, 253]","[{'text': ""what's good YouTube shit boy dodged Olaf"", 'start': 0.089, 'duration': 6.091}, {'text': ""man I'm gonna tell you I think it's the"", 'start': 3.54, 'duration': 6.57}, {'text': 'difference between real products fake', 'start': 6.18, 'duration': 5.61}, {'text': ""products man we're gonna start with the"", 'start': 10.11, 'duration': 3.449}, {'text': 'with the Fugazi man', 'start': 11.79, 'duration': 3.96}, {'text': 'you niggas doing a Fugazi this is what', 'start': 13.559, 'duration': 6.06}, {'text': ""you're going to get this all you right"", 'start': 15.75, 'duration': 5.75}, {'text': 'here', 'start': 19.619, 'duration': 4.351}, {'text': 'first of all if you should come in the', 'start': 21.5, 'duration': 11.5}, {'text': 'cardboard box like this with tissue just', 'start': 23.97, 'duration': 15.06}, {'text': ""fake man which is real fake we're gonna"", 'start': 33.0, 'duration': 7.35}, {'text': 'start with the craftsmanship look the', 'start': 39.03, 'duration': 3.27}, {'text': 'first thing you want to check for and', 'start': 40.35, 'duration': 7.529}, {'text': 'your shoe is the insole man you pull out', 'start': 42.3, 'duration': 6.9}, {'text': 'your insole and they look like this', 'start': 47.879, 'duration': 4.41}, {'text': ""she's taped on flimsy looking you've"", 'start': 49.2, 'duration': 5.76}, {'text': 'been had man this shit straight from wha', 'start': 52.289, 'duration': 11.971}, {'text': 'me be angled front behave shits all', 'start': 54.96, 'duration': 12.9}, {'text': 'curved up kind of blocky looking then', 'start': 64.26, 'duration': 5.81}, {'text': 'head man', 'start': 67.86, 'duration': 4.439}, {'text': ""now we're gonna move on to the real deal"", 'start': 70.07, 'duration': 5.26}, {'text': 'man when you open your shirt first of', 'start': 72.299, 'duration': 6.75}, {'text': ""all the box the box shouldn't be able to"", 'start': 75.33, 'duration': 6.27}, {'text': ""rip look it's just made it like plastic"", 'start': 79.049, 'duration': 4.411}, {'text': ""man it's hard to rip I can't rip that"", 'start': 81.6, 'duration': 4.74}, {'text': ""shit I can't rip it compared to this"", 'start': 83.46, 'duration': 8.94}, {'text': 'look at this shit shit just rips all up', 'start': 86.34, 'duration': 9.06}, {'text': ""can't do that with this she's not going"", 'start': 92.4, 'duration': 4.34}, {'text': 'to happen', 'start': 95.4, 'duration': 4.8}, {'text': 'shit should come with like a dust rag', 'start': 96.74, 'duration': 5.879}, {'text': 'whatever you want to call this is like', 'start': 100.2, 'duration': 9.559}, {'text': 'dust compared to this right here look', 'start': 102.619, 'duration': 14.951}, {'text': 'dust hey now for the shoe man let me set', 'start': 109.759, 'duration': 11.621}, {'text': 'it on top of the box man look look at', 'start': 117.57, 'duration': 8.45}, {'text': 'craftsmanship on that real', 'start': 121.38, 'duration': 4.64}, {'text': ""compared to so let's check this out my"", 'start': 126.06, 'duration': 9.45}, {'text': 'fault going back in for look look at the', 'start': 132.3, 'duration': 7.5}, {'text': 'sole on this shoe look at the sole on is', 'start': 135.51, 'duration': 11.97}, {'text': 'I look at the sole on this hold on hold', 'start': 139.8, 'duration': 9.8}, {'text': 'on', 'start': 147.48, 'duration': 2.12}, {'text': 'look at this shit', 'start': 151.459, 'duration': 8.681}, {'text': 'taped on stitched on rubble I think the', 'start': 153.26, 'duration': 8.47}, {'text': 'back of this nothing', 'start': 160.14, 'duration': 6.18}, {'text': 'ooh mommy real products gonna say that', 'start': 161.73, 'duration': 5.69}, {'text': 'right there man', 'start': 166.32, 'duration': 5.34}, {'text': ""that's real Prada right there there's"", 'start': 167.42, 'duration': 6.49}, {'text': ""what you're gonna get so check that soul"", 'start': 171.66, 'duration': 7.22}, {'text': 'man need to craftsmanship on them babies', 'start': 173.91, 'duration': 4.97}, {'text': 'check for your serial number on the', 'start': 184.02, 'duration': 8.11}, {'text': 'inside see how fucked up because when', 'start': 186.58, 'duration': 6.75}, {'text': 'you all the real products they come a', 'start': 192.13, 'duration': 2.7}, {'text': ""size big I didn't know that it's my"", 'start': 193.33, 'duration': 5.7}, {'text': 'first pair so one of the eight but I got', 'start': 194.83, 'duration': 5.76}, {'text': ""a nine instead we should I'm a role"", 'start': 199.03, 'duration': 2.87}, {'text': 'witty', 'start': 200.59, 'duration': 10.5}, {'text': ""that's official right there at all check"", 'start': 201.9, 'duration': 10.809}, {'text': 'for the dust bag makes you get the dust', 'start': 211.09, 'duration': 5.729}, {'text': 'bag with your join to fishing dust bag', 'start': 212.709, 'duration': 6.601}, {'text': 'not into that cheap shoes the same it', 'start': 216.819, 'duration': 5.971}, {'text': ""don't wrinkle up stay straight real"", 'start': 219.31, 'duration': 8.42}, {'text': 'quality material quality shoes', 'start': 222.79, 'duration': 8.279}, {'text': 'so you niggas out there doing it like', 'start': 227.73, 'duration': 7.21}, {'text': ""this I'm making the game look bad man"", 'start': 231.069, 'duration': 6.541}, {'text': ""dad this right here I'm gonna fuck you"", 'start': 234.94, 'duration': 4.35}, {'text': ""got a stack five paychecks man if you're"", 'start': 237.61, 'duration': 3.99}, {'text': 'gonna step out in step out in some real', 'start': 239.29, 'duration': 5.49}, {'text': ""shit you're gonna be fly with it man be"", 'start': 241.6, 'duration': 12.21}, {'text': ""fly with e.i man i'ma holla at y'all got"", 'start': 244.78, 'duration': 12.769}, {'text': 'shit to do some get up out of here man', 'start': 253.81, 'duration': 6.739}, {'text': 'peace', 'start': 257.549, 'duration': 3.0}]"
19cv,_DdA1YMN9UU,"[4, 6, 9, 14]",
rycv,_I6OeyA8Nu0,"[88, 251, 347, 1638]",
HFcv,_KunRrl3wlw,[3],
OOcv,_RPNCFZ7PS8,"[0, 1, 5, 144, 190, 203, 743]",
Cscv,_Tpe_QQjyRs,"[2, 7, 171, 1298]",
S1cv,_UfNII6_0kI,"[2, 45, 51, 56, 77, 803]",
gicv,km8vZsSPuhc,"[0, 1570]",
WIcv,LK5CzgOiJoM,[65],"[{'text': 'christina has a video creo sky was', 'start': 16.039, 'duration': 5.681}, {'text': 'wanted to provoke in their life graffiti', 'start': 18.69, 'duration': 5.37}, {'text': 'millions of the renal erica was watered', 'start': 21.72, 'duration': 7.08}, {'text': 'to program kinder left breast Jimmy as I', 'start': 24.06, 'duration': 6.479}, {'text': 'would publicly I was not easy to the', 'start': 28.8, 'duration': 12.329}, {'text': 'desert in the world what novel shaman', 'start': 30.539, 'duration': 13.761}, {'text': 'estrella de la bola malinka do vodka', 'start': 41.129, 'duration': 6.18}, {'text': 'Rolanda three tonei palanka Sarah Jarosz', 'start': 44.3, 'duration': 5.59}, {'text': 'piccolo coil Chekov Scottish nimodo', 'start': 47.309, 'duration': 5.791}, {'text': 'nikki is lipistic off Lily ultram', 'start': 49.89, 'duration': 6.21}, {'text': 'devochka Persepolis uma valise rasoi I', 'start': 53.1, 'duration': 5.549}, {'text': 'edevalla ignoras way of treaties neck', 'start': 56.1, 'duration': 5.369}, {'text': 'Pilate of Dylan ish is Rasmus sweet of', 'start': 58.649, 'duration': 6.391}, {'text': 'keturah raasleela palanca cardio trauma', 'start': 61.469, 'duration': 5.881}, {'text': 'rib receive a place i do malacca kuala', 'start': 65.04, 'duration': 4.56}, {'text': 'will crush on you educate omoplata a', 'start': 67.35, 'duration': 5.309}, {'text': 'card eras producible sinova in ohio', 'start': 69.6, 'duration': 6.659}, {'text': 'crushing the college bracelet musica è', 'start': 72.659, 'duration': 6.96}, {'text': 'stato drugoi agile honest aggression spa', 'start': 76.259, 'duration': 6.391}, {'text': 'mobile signal was Anna sebelumnya rasoi', 'start': 79.619, 'duration': 5.551}, {'text': 'lips kitty tov Caterpie Rochelle is', 'start': 82.65, 'duration': 4.95}, {'text': 'visible crocheting you crochet naval', 'start': 85.17, 'duration': 4.71}, {'text': 'jelly Sammy krasivo in a bikini on a', 'start': 87.6, 'duration': 5.46}, {'text': 'suit of octavo zoologica you civic rock', 'start': 89.88, 'duration': 5.64}, {'text': 'Lou Bava lazy etymologically nimic', 'start': 93.06, 'duration': 4.769}, {'text': 'novena krasivo new crochet enemy in', 'start': 95.52, 'duration': 5.099}, {'text': 'coverage Donna estasia my link i miss', 'start': 97.829, 'duration': 5.421}, {'text': 'little', 'start': 100.619, 'duration': 2.631}, {'text': 'well the trucks just', 'start': 120.09, 'duration': 3.23}, {'text': 'crazy name above the', 'start': 127.8, 'duration': 4.13}, {'text': 'to lose the', 'start': 132.74, 'duration': 3.21}, {'text': 'I can', 'start': 138.63, 'duration': 2.66}, {'text': ""I'm still so much other"", 'start': 142.28, 'duration': 6.48}, {'text': 'who died', 'start': 146.93, 'duration': 5.059}, {'text': 'reckon son', 'start': 148.76, 'duration': 3.229}, {'text': 'Oh', 'start': 160.88, 'duration': 2.03}, {'text': ""we've been burned"", 'start': 174.16, 'duration': 4.11}, {'text': 'and still', 'start': 178.91, 'duration': 2.75}, {'text': 'this loves the clay', 'start': 183.46, 'duration': 3.59}, {'text': 'you', 'start': 194.14, 'duration': 2.06}, {'text': ""let's still"", 'start': 230.92, 'duration': 2.81}, {'text': 'you', 'start': 249.49, 'duration': 2.06}, {'text': 'you', 'start': 252.73, 'duration': 2.06}]"
29cv,M7pv86NivFQ,[50],"[{'text': 'all right ladies on back I just did my', 'start': 0.0, 'duration': 6.0}, {'text': 'final update video for this hair that', 'start': 2.879, 'duration': 5.31}, {'text': ""I'm currently wearing and now it's I'm"", 'start': 6.0, 'duration': 5.37}, {'text': 'glad to get to my new hair so i ordered', 'start': 8.189, 'duration': 6.061}, {'text': 'five bundles of the eurasian natural', 'start': 11.37, 'duration': 6.6}, {'text': ""wave hair from Luxy it's a national same"", 'start': 14.25, 'duration': 6.029}, {'text': 'hair same company i purchased this hair', 'start': 17.97, 'duration': 5.94}, {'text': 'from i just received his hair literally', 'start': 20.279, 'duration': 8.33}, {'text': 'like maybe 15 minutes ago these are all', 'start': 23.91, 'duration': 11.25}, {'text': 'five bumbles um i order a closure from a', 'start': 28.609, 'duration': 9.97}, {'text': ""different company so i won't i don't"", 'start': 35.16, 'duration': 5.34}, {'text': 'want to be doing a video of the actual', 'start': 38.579, 'duration': 4.291}, {'text': ""closure because i'm ordering it from my"", 'start': 40.5, 'duration': 8.539}, {'text': 'stylist but these are all five of my', 'start': 42.87, 'duration': 10.2}, {'text': 'bundles and of course the smaller', 'start': 49.039, 'duration': 7.031}, {'text': ""bundles are the longer limbs I didn't go"", 'start': 53.07, 'duration': 8.55}, {'text': 'for a 28 inch this time um because at', 'start': 56.07, 'duration': 7.8}, {'text': 'the last minute I changed from perimeter', 'start': 61.62, 'duration': 6.84}, {'text': 'Eurasian so your little bubbles the', 'start': 63.87, 'duration': 11.28}, {'text': 'panel under order but I have a 18 or 20', 'start': 68.46, 'duration': 11.97}, {'text': ""of 22 or 24 and the 26 and I'm going to"", 'start': 75.15, 'duration': 10.41}, {'text': 'get a 16 inch closure now some of you', 'start': 80.43, 'duration': 8.04}, {'text': ""may say well that's a lot of hair and"", 'start': 85.56, 'duration': 5.309}, {'text': ""I'm holding all five of these fumbles"", 'start': 88.47, 'duration': 5.789}, {'text': 'and even with the rubber band like at', 'start': 90.869, 'duration': 6.231}, {'text': ""the tip this hair doesn't really feel"", 'start': 94.259, 'duration': 11.191}, {'text': ""heavy it's SuperDuper light so judging"", 'start': 97.1, 'duration': 14.729}, {'text': 'by the end this would have to be 120', 'start': 105.45, 'duration': 11.6}, {'text': 'yeah this is not funny', 'start': 111.829, 'duration': 8.431}, {'text': ""this hair is beautiful you guys it's so"", 'start': 117.05, 'duration': 6.63}, {'text': ""soft and I don't really care about"", 'start': 120.26, 'duration': 6.96}, {'text': 'disturbing my wave pattern and bundle', 'start': 123.68, 'duration': 5.6}, {'text': ""formation because I'm about to"", 'start': 127.22, 'duration': 6.12}, {'text': 'decondition this hair until the web', 'start': 129.28, 'duration': 7.36}, {'text': 'stand all that good juicy stuff on my', 'start': 133.34, 'duration': 4.89}, {'text': 'deep conditioner meth it will be the', 'start': 136.64, 'duration': 3.57}, {'text': 'same exact method that I did for this', 'start': 138.23, 'duration': 6.2}, {'text': ""hair all I'm going to do is you know"", 'start': 140.21, 'duration': 8.58}, {'text': 'simple put my conditioner in it Ryan the', 'start': 144.43, 'duration': 7.12}, {'text': 'conditioner some sheet on it place the', 'start': 148.79, 'duration': 5.19}, {'text': 'bundles you know back into the bundle', 'start': 151.55, 'duration': 6.36}, {'text': ""formation put them in a ziploc bag I'm"", 'start': 153.98, 'duration': 5.79}, {'text': 'inside boiling water let it sit for', 'start': 157.91, 'duration': 4.62}, {'text': 'about 30 minutes inside the hot water', 'start': 159.77, 'duration': 5.85}, {'text': 'check it out let the hair cool off rinse', 'start': 162.53, 'duration': 5.79}, {'text': 'it off with cold water hang it up to dry', 'start': 165.62, 'duration': 6.87}, {'text': ""until the widths that's all I am going"", 'start': 168.32, 'duration': 7.65}, {'text': 'to do I I really want you guys to see', 'start': 172.49, 'duration': 6.0}, {'text': 'this I mean look at this curl pattern', 'start': 175.97, 'duration': 6.45}, {'text': 'and I ordered different light lens', 'start': 178.49, 'duration': 7.41}, {'text': 'because of the tips of the hair actually', 'start': 182.42, 'duration': 6.3}, {'text': 'told me that the tips were going to be a', 'start': 185.9, 'duration': 8.72}, {'text': 'lighter brown so my hair will fall into', 'start': 188.72, 'duration': 25.01}, {'text': 'layers this probably on my 24 mile 26', 'start': 194.62, 'duration': 19.11}, {'text': 'wow this is 1 26 inch this is once 1c4', 'start': 215.02, 'duration': 8.46}, {'text': 'most likely this is my 22 this bad', 'start': 224.86, 'duration': 11.56}, {'text': ""babies are 18 and that's one T was the"", 'start': 233.51, 'duration': 11.75}, {'text': 'one I was just playing so', 'start': 236.42, 'duration': 8.84}, {'text': ""definitely see how cute this is um I'll"", 'start': 246.99, 'duration': 11.68}, {'text': 'come into another video to show you guys', 'start': 255.64, 'duration': 8.1}, {'text': 'what it looks like wait for a good and', 'start': 258.67, 'duration': 6.51}, {'text': ""I'll probably do like a clip or"", 'start': 263.74, 'duration': 4.41}, {'text': 'something and try to or whatever of the', 'start': 265.18, 'duration': 8.46}, {'text': 'hair in its not bundled state but when', 'start': 268.15, 'duration': 7.68}, {'text': ""it's in its natural state wet and air"", 'start': 273.64, 'duration': 5.22}, {'text': ""dryer but it's this is the eurasian"", 'start': 275.83, 'duration': 5.91}, {'text': ""natural way this hair is beautiful i'll"", 'start': 278.86, 'duration': 9.29}, {'text': 'do an install video tomorrow um but', 'start': 281.74, 'duration': 9.39}, {'text': ""kinds of right now I'm loving it the"", 'start': 288.15, 'duration': 6.6}, {'text': ""hair the hair really doesn't have a"", 'start': 291.13, 'duration': 7.95}, {'text': 'weird snail no chemical no chemical', 'start': 294.75, 'duration': 9.04}, {'text': ""smell but it's mostly that's all think"", 'start': 299.08, 'duration': 6.78}, {'text': ""some conditioner like I don't know but"", 'start': 303.79, 'duration': 5.93}, {'text': ""I'm going to just wash it anyway so"", 'start': 305.86, 'duration': 3.86}, {'text': 'beautiful beautiful hair I my fingers do', 'start': 311.67, 'duration': 10.08}, {'text': 'the other so you guys can see well shit', 'start': 316.96, 'duration': 4.79}, {'text': 'Oh whose hair is going to be beautified', 'start': 336.11, 'duration': 8.36}, {'text': ""only we think I'm going to need all five"", 'start': 341.36, 'duration': 6.0}, {'text': ""because it's so they could put this is a"", 'start': 344.47, 'duration': 7.62}, {'text': 'little dry one inch', 'start': 347.36, 'duration': 4.73}, {'text': 'nothing my verbal answers and some she', 'start': 367.129, 'duration': 8.13}, {'text': 'and look a little pale', 'start': 371.52, 'duration': 3.739}, {'text': ""oh this is going to be I'm so excited"", 'start': 381.08, 'duration': 10.309}, {'text': 'and mast', 'start': 387.129, 'duration': 4.26}, {'text': 'I love this way for a drink guys I want', 'start': 400.11, 'duration': 5.04}, {'text': 'to know what it looks like when I hope', 'start': 403.65, 'duration': 3.96}, {'text': 'it stays like those like a boy because', 'start': 405.15, 'duration': 9.83}, {'text': ""it's beautiful now that concludes"", 'start': 407.61, 'duration': 7.37}]"
0Gcv,XO_W7VG_q1w,"[0, 1, 19, 35, 85]",
aecv,XPZOLwFPdsI,"[31, 40, 57, 117, 348]",
