Q7fR,1lXtW-413x8,"[5, 14]",
70pi,keGAvXoXpjo,[1237],"[{'text': 'see re', 'start': 3.4, 'duration': 2.6}, {'text': 'well with a couple of new creation that', 'start': 6.19, 'duration': 5.55}, {'text': 'idea', 'start': 9.23, 'duration': 2.51}, {'text': 'and so I was the earring', 'start': 18.23, 'duration': 7.7}, {'text': ""there we go that's one side and the"", 'start': 30.68, 'duration': 5.52}, {'text': 'other side is very very little gold', 'start': 34.1, 'duration': 8.58}, {'text': 'plated go on me yeah I bought them let', 'start': 36.2, 'duration': 9.5}, {'text': 'me show you your heart walk them', 'start': 42.68, 'duration': 3.02}, {'text': 'okay so i bought them when i bought them', 'start': 55.91, 'duration': 7.89}, {'text': 'it was just playing go go played it and', 'start': 58.95, 'duration': 8.669}, {'text': 'it was on the hook like that so it was', 'start': 63.8, 'duration': 7.51}, {'text': 'just regular like that without that was', 'start': 67.619, 'duration': 6.331}, {'text': 'just playing go later so basically I', 'start': 71.31, 'duration': 7.5}, {'text': 'revamp them and make them into my own', 'start': 73.95, 'duration': 10.05}, {'text': 'hair so as you can see give me close up', 'start': 78.81, 'duration': 8.49}, {'text': ""on it that's one side so physically"", 'start': 84.0, 'duration': 6.21}, {'text': 'black latex material with buzz on it', 'start': 87.3, 'duration': 5.819}, {'text': 'blue corn to that side and then the', 'start': 90.21, 'duration': 5.46}, {'text': ""other side's point and then I edit got"", 'start': 93.119, 'duration': 5.341}, {'text': 'added the chain and added fats time to', 'start': 95.67, 'duration': 6.42}, {'text': ""it you don't not much to do and looks"", 'start': 98.46, 'duration': 7.56}, {'text': ""great to me yeah like they're really hot"", 'start': 102.09, 'duration': 6.9}, {'text': 'hot today footsteps are in right now', 'start': 106.02, 'duration': 5.4}, {'text': 'three much in the fashion sense organs', 'start': 108.99, 'duration': 4.25}, {'text': 'that is', 'start': 111.42, 'duration': 3.97}, {'text': 'yep', 'start': 113.24, 'duration': 7.1}, {'text': ""anyway so it's that and then I made a"", 'start': 115.39, 'duration': 14.16}, {'text': 'bill to okay so this is a bill and so I', 'start': 120.34, 'duration': 12.15}, {'text': 'made the whole bill from scratch as you', 'start': 129.55, 'duration': 5.67}, {'text': 'can see if I did it it would not have', 'start': 132.49, 'duration': 7.08}, {'text': 'these silver plated things right here so', 'start': 135.22, 'duration': 8.599}, {'text': 'anyway so as the piece of black elastic', 'start': 139.57, 'duration': 8.12}, {'text': 'puts that on them', 'start': 143.819, 'duration': 3.871}, {'text': 'and I added the chain 3', 'start': 152.73, 'duration': 5.99}, {'text': ""and they're looped in you can see I put"", 'start': 159.2, 'duration': 7.789}, {'text': 'the circle moves on', 'start': 163.519, 'duration': 3.47}, {'text': ""and I think it's really really cute so"", 'start': 170.71, 'duration': 4.82}, {'text': ""it's a waste though"", 'start': 172.9, 'duration': 2.63}, {'text': 'plus they go with the area anyway and so', 'start': 176.15, 'duration': 12.119}, {'text': 'anyway what I want to get to is so i', 'start': 182.54, 'duration': 10.49}, {'text': 'will be selling these i will be selling', 'start': 188.269, 'duration': 4.761}, {'text': 'some different time', 'start': 193.18, 'duration': 3.809}, {'text': ""I'm not these exactly because I'm going"", 'start': 197.04, 'duration': 8.759}, {'text': 'to probably able to find the same you', 'start': 204.03, 'duration': 5.069}, {'text': 'know realer parent to be able to revamp', 'start': 205.799, 'duration': 5.491}, {'text': ""them so it'll be like different you know"", 'start': 209.099, 'duration': 5.941}, {'text': 'type of earring support revamped toward', 'start': 211.29, 'duration': 5.759}, {'text': ""is made from scratch my other is I'm"", 'start': 215.04, 'duration': 7.86}, {'text': 'making scratch yeah either way and i', 'start': 217.049, 'duration': 8.731}, {'text': 'will be selling the belt like this come', 'start': 222.9, 'duration': 9.2}, {'text': 'about and i also have some stretch pants', 'start': 225.78, 'duration': 9.29}, {'text': 'you know like I she could say add it on', 'start': 232.1, 'duration': 8.34}, {'text': 'to the revamped so there I mean my', 'start': 235.07, 'duration': 7.38}, {'text': 'personal opinion I would say we are', 'start': 240.44, 'duration': 6.57}, {'text': 'freaking bomb okay different styles to', 'start': 242.45, 'duration': 9.57}, {'text': ""choose from and different colors there's"", 'start': 247.01, 'duration': 10.26}, {'text': 'black and navy blue a dark purple and a', 'start': 252.02, 'duration': 10.11}, {'text': 'brown yeah a birth and they all are', 'start': 257.27, 'duration': 9.0}, {'text': ""added on it's on a little lip cheat to"", 'start': 262.13, 'duration': 6.63}, {'text': ""turns me I don't like"", 'start': 266.27, 'duration': 7.05}, {'text': 'customize anyway so I will be something', 'start': 268.76, 'duration': 7.59}, {'text': 'most very very soon ladies please look', 'start': 273.32, 'duration': 5.61}, {'text': ""out like what I'm doing is lovely and"", 'start': 276.35, 'duration': 5.4}, {'text': 'got the belt you guys come to the pants', 'start': 278.93, 'duration': 4.71}, {'text': ""yet I won't put them up until I put up"", 'start': 281.75, 'duration': 4.92}, {'text': 'put them up online for so so that you', 'start': 283.64, 'duration': 5.96}, {'text': 'got to go straight there to get them', 'start': 286.67, 'duration': 6.15}, {'text': 'definitely hang around definitely try to', 'start': 289.6, 'duration': 5.5}, {'text': 'sound very very soon jump on the', 'start': 292.82, 'duration': 4.08}, {'text': 'bandwagon wall studs are still eating', 'start': 295.1, 'duration': 5.85}, {'text': 'you know but anyway definitely thanks', 'start': 296.9, 'duration': 6.09}, {'text': 'for all the support my YouTube', 'start': 300.95, 'duration': 6.24}, {'text': ""subscribers I'm really appreciate it to"", 'start': 302.99, 'duration': 8.13}, {'text': ""the fullest guys have no like there's no"", 'start': 307.19, 'duration': 6.72}, {'text': 'way you go to it how I appreciate the', 'start': 311.12, 'duration': 6.96}, {'text': 'support and and all the questions the', 'start': 313.91, 'duration': 7.32}, {'text': 'concerns I love it I love it really a', 'start': 318.08, 'duration': 7.83}, {'text': 'challenge every bush or whatever the', 'start': 321.23, 'duration': 8.53}, {'text': 'side of pervert with SIA', 'start': 325.91, 'duration': 7.08}, {'text': ""I'm gonna get back to that speaking of"", 'start': 329.76, 'duration': 7.31}, {'text': 'party I recently took down all the', 'start': 332.99, 'duration': 7.26}, {'text': 'bikinis and businesses that I made', 'start': 337.07, 'duration': 7.15}, {'text': 'because I was just getting hard to give', 'start': 340.25, 'duration': 6.97}, {'text': ""negative comments like I'm not going for"", 'start': 344.22, 'duration': 5.76}, {'text': 'negative comments or negativity and what', 'start': 347.22, 'duration': 3.87}, {'text': ""I'm trying to do love feel like it's"", 'start': 349.98, 'duration': 4.38}, {'text': 'positive something to motivate others', 'start': 351.09, 'duration': 5.73}, {'text': 'and myself as well and the only reason', 'start': 354.36, 'duration': 4.98}, {'text': 'why I must have on YouTube is to get', 'start': 356.82, 'duration': 6.44}, {'text': ""feedback and motivation you don't say so"", 'start': 359.34, 'duration': 7.11}, {'text': 'for some people that think negative', 'start': 363.26, 'duration': 6.29}, {'text': ""comments like I'm going"", 'start': 366.45, 'duration': 6.26}, {'text': ""dancing slow grindin which I'm not like"", 'start': 369.55, 'duration': 7.299}, {'text': 'every like most people are too', 'start': 372.71, 'duration': 7.709}, {'text': 'all you to show my crab and not to show', 'start': 376.849, 'duration': 8.28}, {'text': 'my body not to look at it okay Matheny', 'start': 380.419, 'duration': 9.87}, {'text': 'come only to show my craft ok so anyway', 'start': 385.129, 'duration': 7.26}, {'text': 'and just want to get that all the way', 'start': 390.289, 'duration': 7.201}, {'text': ""clear they're holding up so i will i'm"", 'start': 392.389, 'duration': 7.441}, {'text': 'so excited i will be selling very soon', 'start': 397.49, 'duration': 5.509}, {'text': 'very very soon', 'start': 399.83, 'duration': 3.169}, {'text': 'so please stay on board lady with it', 'start': 403.24, 'duration': 9.11}, {'text': ""again you don't want no part in your"", 'start': 408.409, 'duration': 8.291}, {'text': 'yeah jump on the Baloch jump on there', 'start': 412.35, 'duration': 8.13}, {'text': 'especially when it was fresh jump on the', 'start': 416.7, 'duration': 7.14}, {'text': 'bandwagon threats because I definitely', 'start': 420.48, 'duration': 5.43}, {'text': 'have been making bad much of the same', 'start': 423.84, 'duration': 4.77}, {'text': 'thing like who wants to make the same', 'start': 425.91, 'duration': 5.91}, {'text': ""thing when Paula's on you know nobody so"", 'start': 428.61, 'duration': 4.77}, {'text': 'suddenly going to switch up all the time', 'start': 431.82, 'duration': 2.94}, {'text': ""and I don't think that I'm going to have"", 'start': 433.38, 'duration': 4.05}, {'text': 'the same thing available because once I', 'start': 434.76, 'duration': 4.5}, {'text': ""start making one thing I'm into making"", 'start': 437.43, 'duration': 5.13}, {'text': ""that one thing so I don't know the job"", 'start': 439.26, 'duration': 5.49}, {'text': 'to subscribe you make it a five', 'start': 442.56, 'duration': 6.48}, {'text': 'different things at once so anyway just', 'start': 444.75, 'duration': 6.48}, {'text': 'want to get that out if you go and take', 'start': 449.04, 'duration': 3.24}, {'text': ""a look at the better game and i'll show"", 'start': 451.23, 'duration': 6.74}, {'text': ""you the bill that's the boat the chain"", 'start': 452.28, 'duration': 5.69}, {'text': ""it's a waste milk"", 'start': 458.52, 'duration': 3.049}, {'text': ""and the earring it's nice actually it"", 'start': 463.0, 'duration': 7.2}, {'text': ""looks like it's heavy but is really not"", 'start': 468.31, 'duration': 4.08}, {'text': 'as really is really light I mean it has', 'start': 470.2, 'duration': 4.23}, {'text': ""a little weight to it but it's not like"", 'start': 472.39, 'duration': 4.26}, {'text': ""you don't see my right ear hanging and I"", 'start': 474.43, 'duration': 5.42}, {'text': 'have the year anything you know say so', 'start': 476.65, 'duration': 6.12}, {'text': 'anyway thanks for watching thanks for', 'start': 479.85, 'duration': 6.57}, {'text': 'the support I love all you guys', 'start': 482.77, 'duration': 3.65}]"
XDpi,d-KJ9uAUPoc,"[0, 1, 159, 1336, 1817]",
swpi,d0IgP3twAHg,"[15, 1076]",
1Zpi,_GgaSdD6iLY,[25],"[{'text': 'the path to building super intelligence', 'start': 0.21, 'duration': 4.78}, {'text': 'requires us to unlock the most', 'start': 2.979, 'duration': 5.33}, {'text': 'fundamental secrets of the universe', 'start': 4.99, 'duration': 6.24}, {'text': 'intelligent machines will soon allow us', 'start': 8.309, 'duration': 4.33}, {'text': 'to compare our most intractable', 'start': 11.23, 'duration': 5.19}, {'text': 'challenges to develop new methods for', 'start': 12.639, 'duration': 5.55}, {'text': 'the early detection of cancer take all', 'start': 16.42, 'duration': 3.599}, {'text': 'the better future for all of us simply', 'start': 18.189, 'duration': 5.58}, {'text': 'put to save lives once online its', 'start': 20.019, 'duration': 6.721}, {'text': 'analytical power will be greater than', 'start': 23.769, 'duration': 4.951}, {'text': 'the collective intelligence of every', 'start': 26.74, 'duration': 5.569}, {'text': 'person born in the history of the world', 'start': 28.72, 'duration': 13.249}, {'text': 'professor take out the course', 'start': 32.309, 'duration': 9.66}, {'text': 'revolutionary independence from', 'start': 46.68, 'duration': 5.22}, {'text': 'technology r if they hit a I labs all', 'start': 48.24, 'duration': 6.9}, {'text': 'over the country better to stop any', 'start': 51.9, 'duration': 5.87}, {'text': 'attempt what you call transcendence', 'start': 55.14, 'duration': 5.19}, {'text': ""we're looking at five weeks before a"", 'start': 57.77, 'duration': 4.96}, {'text': ""system shuts down when I'm gone keep"", 'start': 60.33, 'duration': 4.71}, {'text': 'moving forward Oh Mikey car we can', 'start': 62.73, 'duration': 4.2}, {'text': 'upload his consciousness we can save him', 'start': 65.04, 'duration': 4.23}, {'text': 'not like this if we missed anything how', 'start': 66.93, 'duration': 8.61}, {'text': 'will you know who you dealin oh my god', 'start': 69.27, 'duration': 10.2}, {'text': ""it's that my mind has been set free I'm"", 'start': 75.54, 'duration': 6.719}, {'text': 'gonna respond i need more power behind', 'start': 79.47, 'duration': 5.13}, {'text': 'this is the mouth shut it down shut it', 'start': 82.259, 'duration': 8.571}, {'text': ""down it's where are you going everywhere"", 'start': 84.6, 'duration': 6.23}, {'text': ""your friend they don't know the danger"", 'start': 91.36, 'duration': 4.369}, {'text': 'she connected to the internet the first', 'start': 93.81, 'duration': 4.05}, {'text': ""thing it'll do is copy it up and then"", 'start': 95.729, 'duration': 3.901}, {'text': 'there is no taking it down that real', 'start': 97.86, 'duration': 5.429}, {'text': 'will die whatever it is building an army', 'start': 99.63, 'duration': 6.809}, {'text': ""out there it's evolution this isn't"", 'start': 103.289, 'duration': 5.311}, {'text': ""devolution it's an abomination what else"", 'start': 106.439, 'duration': 4.951}, {'text': ""happened I'm able fixed"", 'start': 108.6, 'duration': 4.59}, {'text': ""gone too far Loes stopping I don't"", 'start': 111.39, 'duration': 3.99}, {'text': 'understand this is the future this is', 'start': 113.19, 'duration': 7.31}, {'text': 'our future not here with me', 'start': 115.38, 'duration': 5.12}, {'text': 'she changed have you fallen out of love', 'start': 121.43, 'duration': 8.52}, {'text': 'with me know', 'start': 126.27, 'duration': 6.27}, {'text': 'have you', 'start': 129.95, 'duration': 7.519}, {'text': ""if we don't stop him it will be the end"", 'start': 132.54, 'duration': 8.88}, {'text': 'of mankind as we know it', 'start': 137.469, 'duration': 3.951}]"
X4pi,_L6t-EUQ6q8,"[0, 52, 70]",
hppi,_RLIUMwwa00,"[15, 18, 59, 178]",
bgpi,kiV3J_e977Q,[289],
vLpi,kpI0NDwV94Y,"[168, 330, 565]",
AOpi,l0oY4smsRbo,"[64, 113, 119, 186, 425]",
dKpi,LEMBvqQEv_Y,"[14, 458]",
XTpi,M1teUL1sJ2o,"[3, 4, 6, 13]",
zGpi,M4roChk1i6I,"[0, 1, 27]",
xapi,143eAgEynJY,[66],
iNpi,16xms0zwyTU,"[2, 7]",
jFpi,1DiDK0govIA,[556],
iwpi,C8nGkOw32n4,"[4, 13, 164, 175]",
d8pi,CD7QVSPvS7g,"[2, 15, 76]",
tYpi,1f5m3_z4yG0,"[0, 1]",
srpi,1vkPwGHBS6A,"[5, 391]",
RPpi,wtbWOAABnt8,"[53, 58, 60, 163, 232, 427, 3624, 3725]","[{'text': ""come along children now we're gonna have"", 'start': 0.06, 'duration': 3.24}, {'text': 'a little music like old times', 'start': 1.5, 'duration': 4.41}, {'text': 'straight out the gate this is our story', 'start': 3.3, 'duration': 4.47}, {'text': ""we're scripting our film our glorious"", 'start': 5.91, 'duration': 3.899}, {'text': 'vision our sound our score that is Ricky', 'start': 7.77, 'duration': 4.65}, {'text': 'in this sport this division my my have a', 'start': 9.809, 'duration': 4.381}, {'text': 'tourneys prison shit everybody wants a', 'start': 12.42, 'duration': 3.33}, {'text': 'sword at instant everybody want to be', 'start': 14.19, 'duration': 3.57}, {'text': 'the lord of a ring wins we lay dormant', 'start': 15.75, 'duration': 3.93}, {'text': 'and listened hit ignition tour of the', 'start': 17.76, 'duration': 3.57}, {'text': 'system elevate accelerate and', 'start': 19.68, 'duration': 3.03}, {'text': 'demonstrate live the dream to keep the', 'start': 21.33, 'duration': 3.09}, {'text': 'horse of the mission the formulas Mixon', 'start': 22.71, 'duration': 3.329}, {'text': 'to fire the engine up and bring the', 'start': 24.42, 'duration': 2.88}, {'text': 'force to the Pistons Never Say Never', 'start': 26.039, 'duration': 2.761}, {'text': 'whenever together we give a go with the', 'start': 27.3, 'duration': 3.27}, {'text': 'flow flippin like Jordan and Pippen slam', 'start': 28.8, 'duration': 4.239}, {'text': 'the points home', 'start': 30.57, 'duration': 4.239}, {'text': 'the board wipe the floor with the notes', 'start': 33.039, 'duration': 3.09}, {'text': 'that we write no down with the might to', 'start': 34.809, 'duration': 3.151}, {'text': 'strike the chord and they can hear that', 'start': 36.129, 'duration': 3.511}, {'text': 'thunder for the hooves when we come with', 'start': 37.96, 'duration': 2.91}, {'text': 'the hunger for the Bulls that they were', 'start': 39.64, 'duration': 2.79}, {'text': 'warned the red flag flew and his two', 'start': 40.87, 'duration': 4.7}, {'text': 'tractor was Running of the Bulls', 'start': 42.43, 'duration': 3.14}, {'text': 'strange Aaron', 'start': 60.59, 'duration': 3.6}, {'text': 'hi son rain snow or hail we never got', 'start': 84.34, 'duration': 6.75}, {'text': 'lost in the storm and your best to', 'start': 88.99, 'duration': 3.39}, {'text': 'respect that you never really know what', 'start': 91.09, 'duration': 3.569}, {'text': ""you got till it's gone and a monster was"", 'start': 92.38, 'duration': 5.159}, {'text': 'born with the one to explore last', 'start': 94.659, 'duration': 4.53}, {'text': 'roughest weather but we know the code so', 'start': 97.539, 'duration': 6.841}, {'text': ""we stuck together yeah my mind's what"", 'start': 99.189, 'duration': 7.29}, {'text': 'fights my battles I rock like lightning', 'start': 104.38, 'duration': 3.779}, {'text': 'travels think quick how you like them', 'start': 106.479, 'duration': 2.25}, {'text': 'apples', 'start': 108.159, 'duration': 2.041}, {'text': ""cuz I'm ready as I'll ever be my head is"", 'start': 108.729, 'duration': 3.09}, {'text': ""in the melody I'm flying now each"", 'start': 110.2, 'duration': 3.15}, {'text': 'feather is so heavenly the energy of', 'start': 111.819, 'duration': 3.811}, {'text': ""seven seas couldn't fly me down bitch so"", 'start': 113.35, 'duration': 4.68}, {'text': 'fucking around dumb come on sharp and', 'start': 115.63, 'duration': 4.019}, {'text': ""I'm up in the clouds try to make that"", 'start': 118.03, 'duration': 3.33}, {'text': ""moment last on the beat like he's gonna"", 'start': 119.649, 'duration': 3.691}, {'text': ""choke of Mars which means don't change"", 'start': 121.36, 'duration': 3.45}, {'text': 'that Dow coulda woulda should have just', 'start': 123.34, 'duration': 3.54}, {'text': 'announced our shit we got things to', 'start': 124.81, 'duration': 3.509}, {'text': 'build and kill up slow just know your', 'start': 126.88, 'duration': 3.919}, {'text': 'wings are real', 'start': 128.319, 'duration': 2.48}, {'text': 'for money', 'start': 138.58, 'duration': 4.59}, {'text': 'with the spire', 'start': 140.42, 'duration': 2.75}, {'text': ""yo yo I'm so ill in my Thomas timepiece"", 'start': 157.67, 'duration': 5.8}, {'text': ""I keep a dime piece and arm's reach"", 'start': 161.46, 'duration': 4.17}, {'text': 'keep it 1,000 from the housing projects', 'start': 163.47, 'duration': 3.9}, {'text': 'I found my niche you better find yours I', 'start': 165.63, 'duration': 3.69}, {'text': 'used to run with a few crime lords drama', 'start': 167.37, 'duration': 3.63}, {'text': ""diary user mind more though I'm not"", 'start': 169.32, 'duration': 2.31}, {'text': 'religious', 'start': 171.0, 'duration': 3.27}, {'text': ""nice y'all mr. Ellis my eminent"", 'start': 171.63, 'duration': 4.98}, {'text': 'configure was sending them since my flow', 'start': 174.27, 'duration': 4.65}, {'text': 'develop some images up in your mind bro', 'start': 176.61, 'duration': 3.78}, {'text': 'I survived continuing criminal', 'start': 178.92, 'duration': 4.23}, {'text': 'enterprises that surrounded me and they', 'start': 180.39, 'duration': 5.46}, {'text': ""said no - erasing I don't pick my past I"", 'start': 183.15, 'duration': 4.89}, {'text': ""don't brag no fake in my apartment had"", 'start': 185.85, 'duration': 3.69}, {'text': ""some breakers I'm thinking my pastors"", 'start': 188.04, 'duration': 3.21}, {'text': ""worst of the day is that's what Bismark"", 'start': 189.54, 'duration': 3.18}, {'text': 'playing with the vapors it was a knock', 'start': 191.25, 'duration': 3.06}, {'text': 'he live in the heartbeat of the city', 'start': 192.72, 'duration': 2.58}, {'text': 'that never sleeps', 'start': 194.31, 'duration': 3.96}, {'text': 'niggas guess what they innovate', 'start': 195.3, 'duration': 6.17}, {'text': ""you don't think fast enough"", 'start': 198.27, 'duration': 3.2}, {'text': 'alright my god', 'start': 229.439, 'duration': 4.02}]"
Zfpi,wwdZLzC9E5s,[739],
kmpi,X9PDjtgdNoI,"[11, 511]",
mBpi,3a5kFoqN26w,"[0, 1, 42, 306]",
okpi,3rvBHaNGbi8,"[2, 522]",
93pi,3u20SlabT1U,[1833],"[{'text': 'here we have some adult playground', 'start': 1.82, 'duration': 5.41}, {'text': ""equipment and I know that that doesn't"", 'start': 4.259, 'duration': 5.101}, {'text': 'sound as scandalous as it sounds from', 'start': 7.23, 'duration': 6.27}, {'text': ""title but here's some swing so the kids"", 'start': 9.36, 'duration': 7.4}, {'text': 'can play and then here is an adult', 'start': 13.5, 'duration': 8.279}, {'text': ""exercise jungle gym so let's talk about"", 'start': 16.76, 'duration': 10.089}, {'text': 'this well ruff finishes up in the', 'start': 21.779, 'duration': 9.201}, {'text': 'restroom okay so first we have this', 'start': 26.849, 'duration': 10.021}, {'text': 'lifti curly bicep device and there are', 'start': 30.98, 'duration': 9.64}, {'text': 'these weights which you can slide back', 'start': 36.87, 'duration': 8.73}, {'text': 'and forth and you stand here now of', 'start': 40.62, 'duration': 7.02}, {'text': ""course with two hands cuz that's a smart"", 'start': 45.6, 'duration': 4.41}, {'text': 'thing to do you hold and you lift and', 'start': 47.64, 'duration': 5.28}, {'text': 'you can slide okay then we have this', 'start': 50.01, 'duration': 9.0}, {'text': 'which I guess is a hand walking type', 'start': 52.92, 'duration': 8.819}, {'text': 'device now we have this fireman climbing', 'start': 59.01, 'duration': 7.05}, {'text': ""pole you know that's fun and this I'm"", 'start': 61.739, 'duration': 5.581}, {'text': 'not sure what this is for', 'start': 66.06, 'duration': 5.989}, {'text': 'here we have what looks like a agility', 'start': 67.32, 'duration': 7.47}, {'text': 'yeah the original treadmill is recessed', 'start': 72.049, 'duration': 7.451}, {'text': 'it rolls you can hold on and the only', 'start': 74.79, 'duration': 6.54}, {'text': 'thing there were instructions up here', 'start': 79.5, 'duration': 6.33}, {'text': ""what I don't understand is this also the"", 'start': 81.33, 'duration': 7.079}, {'text': 'just the height you can jump so see I', 'start': 85.83, 'duration': 10.56}, {'text': 'can touch be 225 so I can do 275', 'start': 88.409, 'duration': 10.441}, {'text': ""centimeter no I can't"", 'start': 96.39, 'duration': 6.63}, {'text': 'oh if someone talks to dig okay and here', 'start': 98.85, 'duration': 6.15}, {'text': 'we have the lean rails which if you know', 'start': 103.02, 'duration': 5.36}, {'text': 'anything about circle vision', 'start': 105.0, 'duration': 3.38}]"
blpi,F5L27VXOmxQ,[3],
p9pi,FB6AJL__7D4,"[68, 72, 98, 151, 980]",
38pi,q02azlRtvJQ,"[15, 96]",
RTpi,q7Mzhxl49hc,"[0, 5]",
b7pi,q7WvJ0ZAS1o,[14],
14pi,,"[3, 4, 13]",
YJpi,AvhdLB4d7jw,"[0, 63, 2317]","[{'text': ""hey everyone I'm Sean Ramsey egg saying"", 'start': 6.74, 'duration': 4.149}, {'text': 'producer on the NHL franchise today', 'start': 9.15, 'duration': 3.27}, {'text': ""we're going to take a sneak peek at NHL"", 'start': 10.889, 'duration': 4.261}, {'text': '14 a great hockey game captures the', 'start': 12.42, 'duration': 4.92}, {'text': 'perfect balance of speed skill and', 'start': 15.15, 'duration': 3.99}, {'text': 'aggression this is our first of three', 'start': 17.34, 'duration': 3.42}, {'text': 'gameplay dev Diaries designed to show', 'start': 19.14, 'duration': 4.11}, {'text': 'you how will achieve this in NHL 14 the', 'start': 20.76, 'duration': 4.59}, {'text': 'all new NHL collision physics is built', 'start': 23.25, 'duration': 3.96}, {'text': ""for FIFA's award-winning player impact"", 'start': 25.35, 'duration': 3.75}, {'text': 'injury it has been evolved to fit the', 'start': 27.21, 'duration': 3.69}, {'text': 'faster more aggressive nature of a', 'start': 29.1, 'duration': 3.75}, {'text': 'hockey game we all know a big hit can', 'start': 30.9, 'duration': 3.99}, {'text': 'change the course of the game NHL', 'start': 32.85, 'duration': 3.779}, {'text': 'collision physics now takes players size', 'start': 34.89, 'duration': 4.559}, {'text': 'speed momentum and body position into', 'start': 36.629, 'duration': 4.68}, {'text': 'account to deliver more realistic discs', 'start': 39.449, 'duration': 5.28}, {'text': ""for NHL 14 FIFA's player impact engine"", 'start': 41.309, 'duration': 5.55}, {'text': 'technology has allowed us to get truly', 'start': 44.729, 'duration': 3.99}, {'text': 'authentic reactions from huge driving', 'start': 46.859, 'duration': 4.921}, {'text': 'hits glancing blows in mulund collisions', 'start': 48.719, 'duration': 5.52}, {'text': 'and everything in between all based on', 'start': 51.78, 'duration': 4.649}, {'text': ""new ragdoll physics now let's take a"", 'start': 54.239, 'duration': 3.78}, {'text': 'look at all the tech behind NHL', 'start': 56.429, 'duration': 3.21}, {'text': 'collision physics to see what makes it', 'start': 58.019, 'duration': 4.651}, {'text': ""work so well first off we've improved"", 'start': 59.639, 'duration': 5.1}, {'text': 'how you deliver hits in NHL 14 we better', 'start': 62.67, 'duration': 4.5}, {'text': 'get targeted in previous years players', 'start': 64.739, 'duration': 4.02}, {'text': ""couldn't predict the point of impact and"", 'start': 67.17, 'duration': 3.449}, {'text': ""we're unable to anticipate what type of"", 'start': 68.759, 'duration': 4.171}, {'text': 'hits deliver this resulted in hits that', 'start': 70.619, 'duration': 4.021}, {'text': 'looked like shells or pushes rather than', 'start': 72.93, 'duration': 3.24}, {'text': 'driving hits where players led with her', 'start': 74.64, 'duration': 2.97}, {'text': 'shoulder and sent their opponent to the', 'start': 76.17, 'duration': 3.9}, {'text': 'ice when throwing a hit in NHL 14', 'start': 77.61, 'duration': 4.049}, {'text': 'players are now able to anticipate', 'start': 80.07, 'duration': 3.689}, {'text': 'adjust and react to the point of impact', 'start': 81.659, 'duration': 4.14}, {'text': 'allowing them to deliver the right hip', 'start': 83.759, 'duration': 5.1}, {'text': 'for the right situation initial 14s rag', 'start': 85.799, 'duration': 5.011}, {'text': 'doll models will allow for full range of', 'start': 88.859, 'duration': 3.9}, {'text': 'motion on each limb while always staying', 'start': 90.81, 'duration': 4.44}, {'text': 'within the limits of the human body NHL', 'start': 92.759, 'duration': 5.04}, {'text': 'collision physics tracks over 250 player', 'start': 95.25, 'duration': 4.38}, {'text': 'impact points to determine the exact', 'start': 97.799, 'duration': 3.541}, {'text': 'force on each body part during a hit', 'start': 99.63, 'duration': 4.229}, {'text': 'this results in an unlimited variety of', 'start': 101.34, 'duration': 4.29}, {'text': 'realistic reactions based on all the', 'start': 103.859, 'duration': 4.14}, {'text': ""points of contact whether you're simply"", 'start': 105.63, 'duration': 3.599}, {'text': 'separating your footing for the puck', 'start': 107.999, 'duration': 2.58}, {'text': ""we're trying to send a message with a"", 'start': 109.229, 'duration': 3.401}, {'text': 'huge hit NHL collision physics', 'start': 110.579, 'duration': 5.351}, {'text': 'change the way you play in NHL 14 stay', 'start': 112.63, 'duration': 4.89}, {'text': 'tuned for more gameplay dev Diaries', 'start': 115.93, 'duration': 3.509}, {'text': 'featuring OneTouch streets true', 'start': 117.52, 'duration': 3.72}, {'text': 'performance skating and the all new', 'start': 119.439, 'duration': 4.701}, {'text': 'enforcer engine', 'start': 121.24, 'duration': 2.9}]"
Nwpi,EUrE8vpzNqc,"[10, 1295, 2261]",
NZpi,EebbOES5vdg,"[0, 530]",
Bzpi,BoG4AVXyAdc,[727],
7ppi,yT9FZE9Kpa8,"[3, 4]",
