jqat,P945yGdwsa8,[13],
HpdK,qGsbXKTszGE,"[9, 10, 37]",
zLdK,8azkJchNYc8,"[0, 1, 93, 102]",
BedK,8b2s8khEYh8,"[3, 6]",
GodK,gT3ArhUntHg,[2804],
FHdK,g_vq8FpL28w,[183],
vjdK,gebxlnacj0U,"[2, 44, 46, 107, 109, 114, 138, 145, 602]",
zQdK,ghBpmPo5olI,[3],
LUdK,9YKfOcR8Xp4,"[53, 312]","[{'text': 'my name is Imelda whither is brown in', 'start': 0.0, 'duration': 7.2}, {'text': '1974 my husband Peter was a player for', 'start': 3.589, 'duration': 6.041}, {'text': 'the berries and Edmonds Rugby Club my', 'start': 7.2, 'duration': 5.729}, {'text': 'name is John cousins in 1974 I was', 'start': 9.63, 'duration': 5.85}, {'text': 'scrum-half for various lemons rugby club', 'start': 12.929, 'duration': 5.701}, {'text': 'my name is Austin Cornish in 1974 I was', 'start': 15.48, 'duration': 6.57}, {'text': 'three years old my father lorry Cornish', 'start': 18.63, 'duration': 6.96}, {'text': 'was on the Baris and Edmonds Rugby Club', 'start': 22.05, 'duration': 5.969}, {'text': 'touring team to Paris there was a', 'start': 25.59, 'duration': 4.5}, {'text': 'baggage handlers strike the British', 'start': 28.019, 'duration': 3.631}, {'text': ""Airways the plane I'm supposed to be"", 'start': 30.09, 'duration': 3.27}, {'text': 'getting on on the Sunday', 'start': 31.65, 'duration': 4.23}, {'text': 'so they drafted in another flight and', 'start': 33.36, 'duration': 5.34}, {'text': 'the plane took off got up to 10,000 feet', 'start': 35.88, 'duration': 5.999}, {'text': 'and at that point the the cargo door', 'start': 38.7, 'duration': 6.42}, {'text': 'blew off then came down in her monville', 'start': 41.879, 'duration': 7.471}, {'text': 'forest just outside Paris that Sunday', 'start': 45.12, 'duration': 6.3}, {'text': 'was lying in the city were two of my', 'start': 49.35, 'duration': 4.47}, {'text': 'children one on each arm and the dog was', 'start': 51.42, 'duration': 4.95}, {'text': 'his head under my own and it came on the', 'start': 53.82, 'duration': 4.05}, {'text': 'television that had been a plane', 'start': 56.37, 'duration': 5.43}, {'text': 'crashing so many people came the very 15', 'start': 57.87, 'duration': 7.88}, {'text': 'who were over there on on a mini tour', 'start': 61.8, 'duration': 6.12}, {'text': ""wouldn't have been on that plane because"", 'start': 65.75, 'duration': 3.52}, {'text': ""they wouldn't have gone on a Turkish"", 'start': 67.92, 'duration': 3.03}, {'text': 'airline plane anyway and that sort of', 'start': 69.27, 'duration': 4.86}, {'text': ""thing so basically we didn't think too"", 'start': 70.95, 'duration': 5.34}, {'text': ""much about it roughly about 10 o'clock"", 'start': 74.13, 'duration': 5.04}, {'text': 'that night the police came to my house', 'start': 76.29, 'duration': 7.05}, {'text': 'and confirmed that Laurie was one of the', 'start': 79.17, 'duration': 8.01}, {'text': 'people on the flight I went on the trip', 'start': 83.34, 'duration': 7.08}, {'text': 'to Paris myself and two others', 'start': 87.18, 'duration': 7.049}, {'text': 'we stayed on the following morning we', 'start': 90.42, 'duration': 6.33}, {'text': 'actually were watching Racing Club play', 'start': 94.229, 'duration': 3.591}, {'text': 'rugby', 'start': 96.75, 'duration': 4.89}, {'text': 'where we heard of the disaster and of', 'start': 97.82, 'duration': 7.02}, {'text': 'course panic sent in', 'start': 101.64, 'duration': 7.23}, {'text': 'there was a official of the Racing Club', 'start': 104.84, 'duration': 7.93}, {'text': 'his name was jump here he took us to his', 'start': 108.87, 'duration': 7.5}, {'text': 'flat so that we could ring home and tell', 'start': 112.77, 'duration': 7.17}, {'text': 'our families that we were safe my', 'start': 116.37, 'duration': 5.43}, {'text': 'daughter who was six said to me why are', 'start': 119.94, 'duration': 4.77}, {'text': 'so many people calling to see you I said', 'start': 121.8, 'duration': 4.77}, {'text': 'because they know I miss daddy and they', 'start': 124.71, 'duration': 4.049}, {'text': ""don't want me to be lonely the Rugby"", 'start': 126.57, 'duration': 4.95}, {'text': 'Club were absolutely fantastic the', 'start': 128.759, 'duration': 6.361}, {'text': 'allocated one person for each family so', 'start': 131.52, 'duration': 6.06}, {'text': 'that if we had any problems we only had', 'start': 135.12, 'duration': 4.38}, {'text': 'to ring them and they were there for us', 'start': 137.58, 'duration': 4.59}, {'text': 'the whole of Berenstain Edmonds Rugby', 'start': 139.5, 'duration': 4.86}, {'text': 'Club were supportive right the way', 'start': 142.17, 'duration': 4.44}, {'text': 'through it was one of the rugby players', 'start': 144.36, 'duration': 6.09}, {'text': 'Bill Johnson who became Guardian for my', 'start': 146.61, 'duration': 5.7}, {'text': 'three children people was stopping me', 'start': 150.45, 'duration': 4.74}, {'text': 'shaking my hand I got a clue who they', 'start': 152.31, 'duration': 4.89}, {'text': 'were they knew I was suddenly do that', 'start': 155.19, 'duration': 3.909}, {'text': 'the rowing club', 'start': 157.2, 'duration': 4.509}, {'text': ""and quite often you know they'd leave a"", 'start': 159.099, 'duration': 3.81}, {'text': 'couple of power notes for something in', 'start': 161.709, 'duration': 3.211}, {'text': 'my hand which were also went into the', 'start': 162.909, 'duration': 6.601}, {'text': 'fund my childre and when I joined the', 'start': 164.92, 'duration': 12.5}, {'text': 'club looked her looked after me', 'start': 169.51, 'duration': 7.91}, {'text': 'I think now we are probably getting over', 'start': 180.98, 'duration': 9.06}, {'text': 'the disaster there was a time when there', 'start': 186.41, 'duration': 6.09}, {'text': 'was a lack of valleca dues for example I', 'start': 190.04, 'duration': 5.4}, {'text': 'was the youngest president recently the', 'start': 192.5, 'duration': 6.18}, {'text': 'pre-match lunches and speaked speeches', 'start': 195.44, 'duration': 7.829}, {'text': 'and then go off let me get on and get', 'start': 198.68, 'duration': 7.139}, {'text': 'out on the rugby pitch a club like this', 'start': 203.269, 'duration': 5.821}, {'text': 'could have very easily folded because it', 'start': 205.819, 'duration': 5.28}, {'text': 'was a huge section of the club which was', 'start': 209.09, 'duration': 5.25}, {'text': 'taken out of out of the membership first', 'start': 211.099, 'duration': 5.131}, {'text': 'team is now playing national three would', 'start': 214.34, 'duration': 4.229}, {'text': 'be which is fantastic compared to where', 'start': 216.23, 'duration': 3.349}, {'text': 'we came from', 'start': 218.569, 'duration': 4.89}, {'text': ""I'm known as a bit of a doer and I think"", 'start': 219.579, 'duration': 7.63}, {'text': ""that's really come from having to"", 'start': 223.459, 'duration': 5.881}, {'text': 'toughen up through my childhood', 'start': 227.209, 'duration': 6.201}, {'text': 'and get on with things', 'start': 229.34, 'duration': 4.07}, {'text': 'we have cycling from the crash site back', 'start': 234.43, 'duration': 5.16}, {'text': 'to verse Nevers Rugby Club on the 7th of', 'start': 237.129, 'duration': 5.011}, {'text': ""May and 310 miles I'm sort of looking at"", 'start': 239.59, 'duration': 4.769}, {'text': ""its bit of a return journey for me we're"", 'start': 242.14, 'duration': 3.659}, {'text': 'gonna be getting the ferry into Dover', 'start': 244.359, 'duration': 3.72}, {'text': ""and I'm not looking forward to seeing"", 'start': 245.799, 'duration': 5.52}, {'text': ""the White Cliffs in there there's a lot"", 'start': 248.079, 'duration': 5.731}, {'text': ""of hills in Ken Ken he's a real peak so"", 'start': 251.319, 'duration': 4.341}, {'text': 'that is going to be a difficult day and', 'start': 253.81, 'duration': 4.5}, {'text': ""yeah it's just keeping one another going"", 'start': 255.66, 'duration': 4.78}, {'text': ""and I'm in a bit of a laugh on the way"", 'start': 258.31, 'duration': 4.65}, {'text': 'and tried to enjoy have a bit of fun', 'start': 260.44, 'duration': 5.43}, {'text': ""I'll think of a father and you know put"", 'start': 262.96, 'duration': 4.95}, {'text': ""my head down and get stuck in so that's"", 'start': 265.87, 'duration': 10.71}, {'text': ""what he used to do so yeah we're"", 'start': 267.91, 'duration': 10.319}, {'text': 'listening to some of the contributors', 'start': 276.58, 'duration': 3.33}, {'text': ""there it's very very moving to watch"", 'start': 278.229, 'duration': 3.75}, {'text': 'that your father suddenly lorry died you', 'start': 279.91, 'duration': 5.31}, {'text': ""were three years old and I don't just an"", 'start': 281.979, 'duration': 5.131}, {'text': 'unbelievable time for you', 'start': 285.22, 'duration': 3.78}, {'text': 'within that Rugby Club community today', 'start': 287.11, 'duration': 3.45}, {'text': 'they all came round you and you are', 'start': 289.0, 'duration': 3.66}, {'text': 'playing with a lot of the the sons who', 'start': 290.56, 'duration': 4.35}, {'text': 'lost fathers in that crash yeah what are', 'start': 292.66, 'duration': 3.42}, {'text': ""your memories of us yeah there's just"", 'start': 294.91, 'duration': 3.259}, {'text': ""there's a very close bond between us all"", 'start': 296.08, 'duration': 5.309}, {'text': ""you know there's 21 of 21 children that"", 'start': 298.169, 'duration': 5.951}, {'text': 'lost their father that day and you know', 'start': 301.389, 'duration': 5.101}, {'text': ""we've all got a close bond it's just"", 'start': 304.12, 'duration': 4.109}, {'text': ""incredible it's just such an incredibly"", 'start': 306.49, 'duration': 3.6}, {'text': ""sad time but you've got together and"", 'start': 308.229, 'duration': 3.66}, {'text': ""you've tried to make some good come out"", 'start': 310.09, 'duration': 3.09}, {'text': ""of it and you're doing this incredible"", 'start': 311.889, 'duration': 3.03}, {'text': 'bike ride tell everyone about it because', 'start': 313.18, 'duration': 2.88}, {'text': 'this is your chance to try and raise as', 'start': 314.919, 'duration': 3.18}, {'text': 'much money as possible well with cycling', 'start': 316.06, 'duration': 4.169}, {'text': 'from our monville the crash site in', 'start': 318.099, 'duration': 3.931}, {'text': 'France back to Paris and Edmonds Rugby', 'start': 320.229, 'duration': 5.491}, {'text': 'Club on the 7th to the 12th three 11th', 'start': 322.03, 'duration': 6.359}, {'text': 'of May this year and raising money for', 'start': 325.72, 'duration': 4.439}, {'text': 'putting in flood lighting into the youth', 'start': 328.389, 'duration': 3.691}, {'text': 'pictures a very rubbery Club and for the', 'start': 330.159, 'duration': 4.171}, {'text': 'local hospice and so far we got a', 'start': 332.08, 'duration': 4.44}, {'text': ""hundred people signed up we've got a web"", 'start': 334.33, 'duration': 5.16}, {'text': 'site memorial cycle ride doctor at UK', 'start': 336.52, 'duration': 5.399}, {'text': ""and there's a Just Giving page on there"", 'start': 339.49, 'duration': 4.29}, {'text': ""isn't rugby just incredible isn't the"", 'start': 341.919, 'duration': 4.081}, {'text': 'community of rugby incredible in moments', 'start': 343.78, 'duration': 4.169}, {'text': 'like that it really shows its great side', 'start': 346.0, 'duration': 3.449}, {'text': ""doesn't it I mean your experience just"", 'start': 347.949, 'duration': 3.06}, {'text': ""proves that doesn't yeah well I mean"", 'start': 349.449, 'duration': 2.851}, {'text': 'when it happened I mean I think', 'start': 351.009, 'duration': 4.051}, {'text': 'virtually every club in the country made', 'start': 352.3, 'duration': 5.339}, {'text': 'some form of donation and helped pull', 'start': 355.06, 'duration': 4.8}, {'text': ""together okay well no one's leaving this"", 'start': 357.639, 'duration': 4.201}, {'text': 'studio unless you donate something to', 'start': 359.86, 'duration': 3.63}, {'text': ""this man's cause then we're going to put"", 'start': 361.84, 'duration': 2.939}, {'text': 'up in the screen though how you can do', 'start': 363.49, 'duration': 2.22}, {'text': 'that you want to remind everyone how', 'start': 364.779, 'duration': 1.141}, {'text': 'they', 'start': 365.71, 'duration': 3.03}, {'text': ""pledge money to you you're great 310"", 'start': 365.92, 'duration': 4.11}, {'text': ""miles you can't undertake it's gonna be"", 'start': 368.74, 'duration': 2.55}, {'text': ""tricky for you you're gonna need the"", 'start': 370.03, 'duration': 1.98}, {'text': 'financial health', 'start': 371.29, 'duration': 2.82}, {'text': ""something has to do so it's a it's www"", 'start': 372.01, 'duration': 5.4}, {'text': ""Morial cycle ride co uk and there's a"", 'start': 374.11, 'duration': 6.06}, {'text': 'donate item on there okay and this is', 'start': 377.41, 'duration': 4.26}, {'text': ""just giving page you're just there just"", 'start': 380.17, 'duration': 4.32}, {'text': 'giving page and yeah please please a', 'start': 381.67, 'duration': 4.05}, {'text': 'donate what you can', 'start': 384.49, 'duration': 2.97}, {'text': 'we wish you the very best look thank you', 'start': 385.72, 'duration': 3.03}, {'text': 'so much Ramona today we really', 'start': 387.46, 'duration': 3.38}, {'text': 'appreciate', 'start': 388.75, 'duration': 2.09}]"
9bdK,9e9IrlXSeko,"[6, 8]",
kjdK,LR3AGJM_t18,[330],
LbdK,_AjAN45lGes,"[2, 17, 30, 53, 58, 228]",
AqdK,XavVJECYEQQ,[1948],
jZdK,37k1pjTGE8Q,"[100, 161, 356]","[{'text': ""hi there if you're looking to gain some"", 'start': 0.0, 'duration': 4.68}, {'text': 'serious eye popping muscle mass and', 'start': 2.1, 'duration': 4.5}, {'text': ""you're looking to do it the healthy and"", 'start': 4.68, 'duration': 3.06}, {'text': 'natural way', 'start': 6.6, 'duration': 4.02}, {'text': 'which means no bogus supplements no', 'start': 7.74, 'duration': 5.16}, {'text': 'drugs and without spending hours in the', 'start': 10.62, 'duration': 4.04}, {'text': ""gym then you've come to the right spot"", 'start': 12.9, 'duration': 4.32}, {'text': ""especially if you're at a point in your"", 'start': 14.66, 'duration': 4.539}, {'text': ""life where you're sick and tired of your"", 'start': 17.22, 'duration': 4.559}, {'text': 'skin your average frame lanky life or', 'start': 19.199, 'duration': 5.401}, {'text': 'wimpy future then with your permission I', 'start': 21.779, 'duration': 5.82}, {'text': 'want to reveal the exact solution that', 'start': 24.6, 'duration': 4.95}, {'text': 'has already helped over twenty five', 'start': 27.599, 'duration': 6.151}, {'text': 'thousand males and females young and old', 'start': 29.55, 'duration': 6.06}, {'text': 'in over a hundred and seventeen', 'start': 33.75, 'duration': 4.079}, {'text': ""different countries and in case you're"", 'start': 35.61, 'duration': 3.66}, {'text': 'wondering if this works if your little', 'start': 37.829, 'duration': 4.23}, {'text': 'on the chubby side absolutely now let me', 'start': 39.27, 'duration': 5.519}, {'text': 'say this my solution is not for', 'start': 42.059, 'duration': 4.98}, {'text': ""everybody it's not for you if you"", 'start': 44.789, 'duration': 3.991}, {'text': 'believe that you need amazing genetics', 'start': 47.039, 'duration': 4.321}, {'text': 'or steroids to build a lot of muscle and', 'start': 48.78, 'duration': 4.02}, {'text': 'if you think your age has something to', 'start': 51.36, 'duration': 3.21}, {'text': 'do with it then click away right now', 'start': 52.8, 'duration': 5.07}, {'text': ""this is not for you alright if you're"", 'start': 54.57, 'duration': 5.039}, {'text': ""still with me and you're serious about"", 'start': 57.87, 'duration': 4.11}, {'text': 'packing on some size you really want to', 'start': 59.609, 'duration': 4.02}, {'text': 'start getting some attention and you', 'start': 61.98, 'duration': 2.94}, {'text': 'really want to crank up your confidence', 'start': 63.629, 'duration': 4.1}, {'text': 'and I want you to click the link below', 'start': 64.92, 'duration': 5.46}, {'text': ""that's gonna take you to a page which is"", 'start': 67.729, 'duration': 4.841}, {'text': 'gonna give you my brand new maximize', 'start': 70.38, 'duration': 4.68}, {'text': 'your muscle seven-day video series each', 'start': 72.57, 'duration': 4.409}, {'text': ""day I'm gonna send a brand new video to"", 'start': 75.06, 'duration': 4.02}, {'text': ""your inbox and I'm gonna share the exact"", 'start': 76.979, 'duration': 4.111}, {'text': 'solutions to help you double and even', 'start': 79.08, 'duration': 4.2}, {'text': 'triple your current rate of muscle', 'start': 81.09, 'duration': 4.23}, {'text': 'growth absolutely free no strings', 'start': 83.28, 'duration': 3.659}, {'text': 'attached just click the link in the', 'start': 85.32, 'duration': 3.479}, {'text': 'video right now so I totally forgot to', 'start': 86.939, 'duration': 3.661}, {'text': 'introduce myself my name is Vince', 'start': 88.799, 'duration': 3.841}, {'text': 'Delmonte formerly known as skinny Vinnie', 'start': 90.6, 'duration': 3.96}, {'text': 'thankfully those days are way behind me', 'start': 92.64, 'duration': 4.049}, {'text': 'and I have been a competitive fitness', 'start': 94.56, 'duration': 3.78}, {'text': 'model muscle model for the past eight', 'start': 96.689, 'duration': 3.54}, {'text': ""years I've also been a personal trainer"", 'start': 98.34, 'duration': 3.63}, {'text': ""for eight years and I'm currently the"", 'start': 100.229, 'duration': 3.96}, {'text': 'author of the number one muscle building', 'start': 101.97, 'duration': 3.24}, {'text': 'book on the Internet', 'start': 104.189, 'duration': 3.031}, {'text': 'and I want to welcome you to my youtube', 'start': 105.21, 'duration': 4.17}, {'text': 'channel believe it or not but all my', 'start': 107.22, 'duration': 4.98}, {'text': 'life I was skinny so skinny through high', 'start': 109.38, 'duration': 4.62}, {'text': 'school university I was nicknamed skinny', 'start': 112.2, 'duration': 4.65}, {'text': 'Vinnie all I wanted to be was big and', 'start': 114.0, 'duration': 5.1}, {'text': 'muscular but no matter what I try no', 'start': 116.85, 'duration': 4.47}, {'text': 'matter what I did I always remain the', 'start': 119.1, 'duration': 6.15}, {'text': 'same skinny scrawny and weak I mean I', 'start': 121.32, 'duration': 7.919}, {'text': 'had no muscle mass whatsoever just like', 'start': 125.25, 'duration': 6.15}, {'text': 'you I wanted all the things I figured I', 'start': 129.239, 'duration': 3.051}, {'text': 'could never have', 'start': 131.4, 'duration': 2.479}, {'text': 'life I wanted to be big and strong I', 'start': 132.29, 'duration': 3.24}, {'text': 'want to be ripped I wanted the attention', 'start': 133.879, 'duration': 4.08}, {'text': ""I wanted the confidence I didn't have"", 'start': 135.53, 'duration': 4.53}, {'text': 'any of that and I was looking for', 'start': 137.959, 'duration': 4.081}, {'text': 'solutions I mean I was desperate I', 'start': 140.06, 'duration': 4.289}, {'text': ""didn't like the way I looked and felt I"", 'start': 142.04, 'duration': 3.839}, {'text': ""knew I wasn't living up to my true"", 'start': 144.349, 'duration': 3.631}, {'text': 'potential and I knew that life was too', 'start': 145.879, 'duration': 4.31}, {'text': 'short to go through looking average', 'start': 147.98, 'duration': 4.2}, {'text': 'thankfully what I discovered has', 'start': 150.189, 'duration': 3.58}, {'text': 'literally changed my life and I am so', 'start': 152.18, 'duration': 3.33}, {'text': ""thankful and it's helped change the"", 'start': 153.769, 'duration': 4.14}, {'text': 'lives of over 25,000 people and when I', 'start': 155.51, 'duration': 4.11}, {'text': 'tell you how it happened in the video', 'start': 157.909, 'duration': 3.81}, {'text': ""series it's gonna completely blow your"", 'start': 159.62, 'duration': 4.019}, {'text': ""mind it's different than anything you've"", 'start': 161.719, 'duration': 3.841}, {'text': 'ever been told in any website in any', 'start': 163.639, 'duration': 4.111}, {'text': 'magazine or by any trainer and I want to', 'start': 165.56, 'duration': 3.84}, {'text': 'share this solution with anybody who is', 'start': 167.75, 'duration': 3.329}, {'text': 'just like me because I understand the', 'start': 169.4, 'duration': 3.57}, {'text': ""embarrassment I'm frustration that"", 'start': 171.079, 'duration': 3.151}, {'text': ""you're going through and I also"", 'start': 172.97, 'duration': 3.18}, {'text': 'understand the burning desire you have', 'start': 174.23, 'duration': 4.83}, {'text': 'to have a ripped hard physique that just', 'start': 176.15, 'duration': 4.709}, {'text': 'drips with confidence and tells the', 'start': 179.06, 'duration': 4.17}, {'text': ""world that you're in charge so to get"", 'start': 180.859, 'duration': 4.231}, {'text': 'the solution that a half for you today', 'start': 183.23, 'duration': 4.5}, {'text': 'just click the link in the video I want', 'start': 185.09, 'duration': 4.2}, {'text': 'to welcome you once again to my youtube', 'start': 187.73, 'duration': 2.789}, {'text': 'channel I look forward to working with', 'start': 189.29, 'duration': 3.029}, {'text': 'you and I absolutely support your goals', 'start': 190.519, 'duration': 4.791}, {'text': ""we'll talk to you soon"", 'start': 192.319, 'duration': 2.991}]"
XtdK,nSRWo-7iJhM,[158],
OJdK,napOl_1r7vw,"[0, 12]",
IAdK,s7V1dZL7J3I,"[2, 7, 17, 19, 394]",
iidK,sJrtBymnot0,[0],
4wdK,aFH3K1f0MIg,"[0, 1, 27, 2011]",
TMdK,aNC954nRav8,"[0, 1, 5, 69, 84, 169, 476, 922]",
Y7dK,aOWj7S_OpBM,"[2, 64, 149, 902]",
eodK,aUkiOkIj02E,"[62, 390]",
GjdK,,"[51, 442]",
bfdK,vxHdeiybOS4,"[0, 1, 3151]",
NedK,vzipI4oddps,[3],
13dK,pV-y7WqrM88,[672],
agdK,-ySd2qu68wU,"[39, 152, 225]",
CydK,DsFYHr9mgTw,"[6, 8]",
q7dK,ZHnE0j1nvC8,"[8, 89]",
0odK,OVepVQMRN8A,[1455],
BqdK,fXg7Hln5Mbw,"[50, 65, 661, 1500]","[{'text': ""now we're going to into the ponytail"", 'start': 7.309, 'duration': 3.721}, {'text': 'when the hottest looks on the runway', 'start': 9.33, 'duration': 3.979}, {'text': ""it's just supposed to be a really"", 'start': 11.03, 'duration': 6.85}, {'text': 'testable pretty sensual sexy and nope no', 'start': 13.309, 'duration': 6.761}, {'text': 'question was just really grab all the', 'start': 17.88, 'duration': 7.38}, {'text': 'hair pin it back and do not picky the', 'start': 20.07, 'duration': 6.51}, {'text': ""first name what we're going to do is"", 'start': 25.26, 'duration': 3.99}, {'text': 'really decide on the party fun and arts', 'start': 26.58, 'duration': 5.01}, {'text': 'longer hair at their face shape she', 'start': 29.25, 'duration': 3.96}, {'text': 'looks great either way but I think of', 'start': 31.59, 'duration': 4.26}, {'text': 'the woods linux strong is if we bring', 'start': 33.21, 'duration': 5.25}, {'text': 'the car to work this start a bit more in', 'start': 35.85, 'duration': 4.11}, {'text': 'a good judgment know where to decide', 'start': 38.46, 'duration': 3.689}, {'text': 'that is Center the eyebrow straight up', 'start': 39.96, 'duration': 4.47}, {'text': ""it'd be a great way and usually the best"", 'start': 42.149, 'duration': 3.921}, {'text': 'whoop on everybody', 'start': 44.43, 'duration': 3.83}, {'text': 'open that side and what you can do is', 'start': 46.07, 'duration': 3.81}, {'text': 'build a little bit more of a base to it', 'start': 48.26, 'duration': 3.299}, {'text': 'is just really dependent backhoe but', 'start': 49.88, 'duration': 4.14}, {'text': 'lately people look at work folder for', 'start': 51.559, 'duration': 5.091}, {'text': 'the more piece here', 'start': 54.02, 'duration': 2.63}, {'text': ""tell me nervous when you're back combing"", 'start': 58.07, 'duration': 3.44}, {'text': ""lean again I'm not"", 'start': 59.51, 'duration': 4.13}, {'text': ""addressing brush and I'm just really"", 'start': 61.51, 'duration': 7.62}, {'text': 'kind of making it fuller bigger so what', 'start': 63.64, 'duration': 8.49}, {'text': ""we're going to do first is in your hands"", 'start': 69.13, 'duration': 5.97}, {'text': 'just really get that ponytail in their', 'start': 72.13, 'duration': 5.46}, {'text': ""upper to you back again I'm using my"", 'start': 75.1, 'duration': 5.04}, {'text': ""fingers and I don't want to be like home"", 'start': 77.59, 'duration': 5.18}, {'text': 'great nice place recently that loosely', 'start': 80.14, 'duration': 4.619}, {'text': ""another think what I'm going to do here"", 'start': 82.77, 'duration': 8.01}, {'text': 'is the piece of hair', 'start': 84.759, 'duration': 6.021}, {'text': 'repin elastic right through here you see', 'start': 95.71, 'duration': 5.5}, {'text': 'nothing partner I love her faux pas I', 'start': 99.02, 'duration': 3.93}, {'text': 'thought that their little piece kind of', 'start': 101.21, 'duration': 4.35}, {'text': 'like poking out through the back because', 'start': 102.95, 'duration': 4.32}, {'text': 'it really soccer add a little more', 'start': 105.56, 'duration': 3.72}, {'text': ""tousled look and now I'm getting into"", 'start': 107.27, 'duration': 4.41}, {'text': 'this piece that I left out suicide if we', 'start': 109.28, 'duration': 3.87}, {'text': ""don't want an elastic to be sitting"", 'start': 111.68, 'duration': 3.33}, {'text': ""there we don't want to be shown so this"", 'start': 113.15, 'duration': 3.21}, {'text': 'piece of hair is going to come around', 'start': 115.01, 'duration': 10.08}, {'text': 'and literally wrap it around OHL grab a', 'start': 116.36, 'duration': 11.34}, {'text': 'hairpin and one thing goes in this way', 'start': 125.09, 'duration': 4.05}, {'text': 'the next pin goes over top of that', 'start': 127.7, 'duration': 3.33}, {'text': ""you're locking in the hair and now I"", 'start': 129.14, 'duration': 4.11}, {'text': ""secure it's not going anywhere go ahead"", 'start': 131.03, 'duration': 5.01}, {'text': 'with your elastic is really late golden', 'start': 133.25, 'duration': 5.24}, {'text': 'hair spray', 'start': 136.04, 'duration': 2.45}, {'text': ""why I'm using classic hairspray it's a"", 'start': 141.08, 'duration': 4.5}, {'text': ""light pole you don't want anything"", 'start': 143.87, 'duration': 3.78}, {'text': ""really to a heavy again it's not about"", 'start': 145.58, 'duration': 4.11}, {'text': 'stronger in the heritage at least pieces', 'start': 147.65, 'duration': 6.78}, {'text': ""fall later on that's a gig I really like"", 'start': 149.69, 'duration': 6.45}, {'text': 'the side coming straight down with a', 'start': 154.43, 'duration': 3.9}, {'text': 'little bit too heavy on this side so', 'start': 156.14, 'duration': 4.08}, {'text': ""what I'm going to do it just take these"", 'start': 158.33, 'duration': 4.89}, {'text': 'bottom pieces just kind of twist them', 'start': 160.22, 'duration': 7.68}, {'text': 'put my opinion twist it just pull it in', 'start': 163.22, 'duration': 6.08}, {'text': 'so', 'start': 167.9, 'duration': 4.79}, {'text': 'this fussell kind of look and texture to', 'start': 169.3, 'duration': 6.93}, {'text': 'fufill through the size if you want to', 'start': 172.69, 'duration': 5.07}, {'text': 'be a little more listening and listen of', 'start': 176.23, 'duration': 4.17}, {'text': 'long be showing spray and gasoline oh', 'start': 177.76, 'duration': 4.65}, {'text': ""he's in a blonde hair but this is a"", 'start': 180.4, 'duration': 6.27}, {'text': 'great metropolitan spray and just let me', 'start': 182.41, 'duration': 7.74}, {'text': 'neck the top of it just have it for the', 'start': 186.67, 'duration': 5.07}, {'text': 'light kits and reflects off your hair', 'start': 190.15, 'duration': 3.96}, {'text': 'has a nice listen to it so now you can', 'start': 191.74, 'duration': 4.35}, {'text': ""see that we've got two amazing looks"", 'start': 194.11, 'duration': 4.38}, {'text': 'today we had undefined pearls earlier on', 'start': 196.09, 'duration': 4.62}, {'text': 'and now we have a scelerisque sexy', 'start': 198.49, 'duration': 4.35}, {'text': 'ponytail I really hope you learned a lot', 'start': 200.71, 'duration': 4.92}, {'text': 'of tips on how to create this at home so', 'start': 202.84, 'duration': 4.35}, {'text': 'thank you and I hope you enjoy watching', 'start': 205.63, 'duration': 4.46}, {'text': 'fashion', 'start': 207.19, 'duration': 2.9}]"
OZdK,fdAGKqElvgY,"[31, 40, 47, 57, 117]",
DUdK,feu2E20iKzc,"[242, 459]",
l5dK,RvnoA5gIIxA,"[3, 4]",
VndK,TuybMFWYFik,[146],
VSdK,TaQHMmEIvgU,"[422, 485, 1267]",
kvdK,TaRT8W5wJT4,"[0, 226]",
