VWeW,IN9Uzw9Nxag,"[2, 17, 53, 58]",
wbm3,mfj7sF2NEOU,"[6, 8]",
Qqm3,mgcZdd_ZiqQ,"[0, 8]",
1Gm3,7_PiFAkxEAQ,"[0, 1]",
sem3,RQt0Kuc9ZTo,"[0, 42, 1071]",
vDm3,xIbiqjrmRbE,"[0, 139]",
zwm3,xZAZ6qS52TA,"[71, 308]",
54m3,Z2-YBF9JaFM,"[15, 18, 67]",
Qym3,y1o3AuA7Y8s,[14],
nam3,yE5a_KZJmBA,"[74, 131, 209, 1269, 1899]",
AXm3,lziDSQweNdU,"[52, 70]",
g1m3,AkDlMYKDvP8,"[0, 219]",
Slm3,NFNt4gaZjJk,"[6, 8, 807]",
wam3,NG6urnDc_zU,"[0, 1, 27]","[{'text': 'I see what have some shallots Kim Jong', 'start': 0.0, 'duration': 4.77}, {'text': 'birdie here by frightening i would say', 'start': 2.1, 'duration': 3.87}, {'text': 'too tight and we are going to', 'start': 4.77, 'duration': 3.27}, {'text': 'investigate yeah administra Marvel', 'start': 5.97, 'duration': 4.65}, {'text': 'cartoon shader results my knees an ox', 'start': 8.04, 'duration': 4.44}, {'text': 'fight for the incredible shaders', 'start': 10.62, 'duration': 4.5}, {'text': 'modification my sonic everywhere hartan', 'start': 12.48, 'duration': 5.639}, {'text': 'a cartoon work not now this is I see now', 'start': 15.12, 'duration': 5.46}, {'text': 'this is not this is a property I series', 'start': 18.119, 'duration': 4.591}, {'text': 'the proper cartoon environment you know', 'start': 20.58, 'duration': 4.98}, {'text': 'uh yes def I have all these legarreta', 'start': 22.71, 'duration': 4.86}, {'text': 'kaigan by go to the observe their', 'start': 25.56, 'duration': 4.11}, {'text': 'cartoon prada chat before your very eyes', 'start': 27.57, 'duration': 4.41}, {'text': 'names observe the thick lines lining', 'start': 29.67, 'duration': 3.78}, {'text': 'here and of course he a rule come to', 'start': 31.98, 'duration': 3.96}, {'text': 'very rare oh I could ease be cotton it', 'start': 33.45, 'duration': 4.23}, {'text': 'is like highlight the five minutes to', 'start': 35.94, 'duration': 4.439}, {'text': 'make it next time I night no no the idea', 'start': 37.68, 'duration': 5.01}, {'text': 'of why please I say bye honey observe', 'start': 40.379, 'duration': 4.351}, {'text': 'deals in across the hell patty will be', 'start': 42.69, 'duration': 4.17}, {'text': 'happy I distinct the car to all this', 'start': 44.73, 'duration': 4.5}, {'text': ""cell shaded tight feel like I would it's"", 'start': 46.86, 'duration': 5.25}, {'text': 'remarkable eyes a good cops honey it all', 'start': 49.23, 'duration': 5.759}, {'text': 'right look at trees Oh India white even', 'start': 52.11, 'duration': 4.469}, {'text': 'gives you power supply to the lighting', 'start': 54.989, 'duration': 2.851}, {'text': ""it's like was in a patting motion"", 'start': 56.579, 'duration': 4.021}, {'text': 'picture there oh my word otherwise even', 'start': 57.84, 'duration': 5.28}, {'text': ""impossible swindon's bond buys a look at"", 'start': 60.6, 'duration': 4.019}, {'text': 'that couch the screens and I bet he', 'start': 63.12, 'duration': 6.3}, {'text': 'loved it well I a new T Bo be demonic in', 'start': 64.619, 'duration': 6.991}, {'text': ""hell but it's a friday i think it is"", 'start': 69.42, 'duration': 4.08}, {'text': 'actually quite good as we observe about', 'start': 71.61, 'duration': 3.75}, {'text': 'a gay thoughts and ideas he once more', 'start': 73.5, 'duration': 4.369}, {'text': 'pins fitting cartoonish funerals air', 'start': 75.36, 'duration': 5.189}, {'text': 'could this be Helen Bugs Bunny just', 'start': 77.869, 'duration': 4.091}, {'text': 'round the corner if I enjoy you there', 'start': 80.549, 'duration': 3.36}, {'text': ""boy I'm sorry other girls think are"", 'start': 81.96, 'duration': 3.87}, {'text': 'tourists NYC videos complete with', 'start': 83.909, 'duration': 4.32}, {'text': 'Frankenberry you down thank you 30 will', 'start': 85.83, 'duration': 5.19}, {'text': 'be its you Isaac watch my word indeed a', 'start': 88.229, 'duration': 4.981}, {'text': 'distinct the cartoonish feel to both the', 'start': 91.02, 'duration': 4.65}, {'text': 'pigs office the fame the lover all salt', 'start': 93.21, 'duration': 4.83}, {'text': 'side a look at that why did you hang on', 'start': 95.67, 'duration': 3.839}, {'text': ""it but don't think these cartoons very"", 'start': 98.04, 'duration': 3.42}, {'text': 'funny anymore my goodness me I dividend', 'start': 99.509, 'duration': 4.231}, {'text': 'rising observe any of the Ramos giving', 'start': 101.46, 'duration': 3.869}, {'text': 'beach side effect I days beachside', 'start': 103.74, 'duration': 4.89}, {'text': 'cartoon absolutely 1000 already like me', 'start': 105.329, 'duration': 4.951}, {'text': 'I wonder what an explosion is like an', 'start': 108.63, 'duration': 5.58}, {'text': 'experi- we must consume it hey I see two', 'start': 110.28, 'duration': 6.33}, {'text': 'dudes fruit I my house monkeys your give', 'start': 114.21, 'duration': 4.049}, {'text': 'me to do my part I know of course I do', 'start': 116.61, 'duration': 5.399}, {'text': 'the chassis yes just appreciate the', 'start': 118.259, 'duration': 5.671}, {'text': ""years I I'd freeze my betters too much I"", 'start': 122.009, 'duration': 2.921}, {'text': 'name', 'start': 123.93, 'duration': 3.4}, {'text': 'but I say do your normal of it careful', 'start': 124.93, 'duration': 4.17}, {'text': ""do you think the ID Spivey oh boy it's"", 'start': 127.33, 'duration': 3.569}, {'text': 'absolutely wonderful for you gonna live', 'start': 129.1, 'duration': 3.42}, {'text': 'in the car to eat one and we tend your', 'start': 130.899, 'duration': 4.231}, {'text': 'deck it up or something yes damn is you', 'start': 132.52, 'duration': 4.47}, {'text': 'ought to speak amaizing it always my', 'start': 135.13, 'duration': 3.51}, {'text': 'words if they all gay videos Bunny', 'start': 136.99, 'duration': 4.2}, {'text': ""cartoon shade isn't my god it's speedy I"", 'start': 138.64, 'duration': 4.47}, {'text': 'days absolutely wonderful yes yes', 'start': 141.19, 'duration': 3.45}, {'text': ""imagine something i don't know mad"", 'start': 143.11, 'duration': 4.11}, {'text': 'everybody does in the cartoon back to be', 'start': 144.64, 'duration': 4.35}, {'text': ""and I'm just held over this guy it lends"", 'start': 147.22, 'duration': 4.53}, {'text': 'smash for the house oh yes but not rely', 'start': 148.99, 'duration': 4.77}, {'text': 'guys you look at Ozzie they are gay', 'start': 151.75, 'duration': 8.9}, {'text': 'videos thank you buddy Johnny hey', 'start': 153.76, 'duration': 9.12}, {'text': ""believing what is it buddy I name what's"", 'start': 160.65, 'duration': 4.809}, {'text': 'happened for weed will Sam I say vocal', 'start': 162.88, 'duration': 4.53}, {'text': 'display six by Georgia that I did', 'start': 165.459, 'duration': 4.321}, {'text': 'possibly why I by appear on my idea is', 'start': 167.41, 'duration': 3.96}, {'text': ""impossible I know you must because we're"", 'start': 169.78, 'duration': 3.24}, {'text': ""in this cartoon world I don't know um"", 'start': 171.37, 'duration': 3.869}, {'text': 'try pressing some keys you might be able', 'start': 173.02, 'duration': 3.9}, {'text': ""to delete it there's such a perfect"", 'start': 175.239, 'duration': 3.331}, {'text': ""amazing i don't appreciate your humor"", 'start': 176.92, 'duration': 3.51}, {'text': ""like yeah i'd even though he's a smooth"", 'start': 178.57, 'duration': 3.0}, {'text': 'thick whatever johnny is when I am lazy', 'start': 180.43, 'duration': 3.15}, {'text': ""I'm so you want all the next exciting"", 'start': 181.57, 'duration': 4.02}, {'text': 'you orchestrated the whole thing but it', 'start': 183.58, 'duration': 5.49}, {'text': ""alone won't make a note never say that"", 'start': 185.59, 'duration': 5.66}, {'text': 'again', 'start': 189.07, 'duration': 2.18}]"
y3m3,,[8],
8Gm3,N2Qc5khuV0s,"[21, 23, 24]","[{'text': 'hey there everybody Phil here for', 'start': 4.31, 'duration': 4.09}, {'text': ""android central.com and we've been"", 'start': 6.81, 'duration': 2.94}, {'text': 'playing all weekend with the motorola', 'start': 8.4, 'duration': 3.84}, {'text': 'cliq 2 on tmobile so here it is we', 'start': 9.75, 'duration': 4.11}, {'text': 'actually saw this guy at CES where it', 'start': 12.24, 'duration': 3.99}, {'text': ""was announced and we've got it again so"", 'start': 13.86, 'duration': 4.2}, {'text': 'what you got is a 4 row sliding keyboard', 'start': 16.23, 'duration': 3.299}, {'text': ""it's in a cool little honeycomb design"", 'start': 18.06, 'duration': 3.51}, {'text': 'the keyboard actually reminds me a lot', 'start': 19.529, 'duration': 3.721}, {'text': 'of the droid Android tues their little', 'start': 21.57, 'duration': 3.57}, {'text': ""plastic e the keys are and they're"", 'start': 23.25, 'duration': 3.99}, {'text': 'raised up but nice and clicky so', 'start': 25.14, 'duration': 3.18}, {'text': 'actually I like this better than the', 'start': 27.24, 'duration': 3.27}, {'text': 'droid two the slider has a little bit of', 'start': 28.32, 'duration': 3.899}, {'text': ""play in it but not a whole lot so it's"", 'start': 30.51, 'duration': 4.049}, {'text': 'pretty good up top you got the power', 'start': 32.219, 'duration': 4.381}, {'text': 'button and 3.5 millimeter headphone jack', 'start': 34.559, 'duration': 3.901}, {'text': 'on the side you got microUSB with a', 'start': 36.6, 'duration': 3.15}, {'text': ""little indicator light for when it's"", 'start': 38.46, 'duration': 3.84}, {'text': ""charging and let's see on the other side"", 'start': 39.75, 'duration': 5.539}, {'text': 'you have a camera button and', 'start': 42.3, 'duration': 5.55}, {'text': 'honest-to-goodness vibrating switch', 'start': 45.289, 'duration': 4.631}, {'text': 'right now used to see these songs old', 'start': 47.85, 'duration': 3.299}, {'text': 'phones back in the day so you got a', 'start': 49.92, 'duration': 2.34}, {'text': 'volume rocker and then a switch to', 'start': 51.149, 'duration': 3.121}, {'text': 'actually silence the thing i love that i', 'start': 52.26, 'duration': 4.38}, {'text': ""would love to see that return let's pop"", 'start': 54.27, 'duration': 6.08}, {'text': 'the battery cover off take a look inside', 'start': 56.64, 'duration': 5.849}, {'text': 'because things get interesting again', 'start': 60.35, 'duration': 3.52}, {'text': ""there's your SIM card there's your"", 'start': 62.489, 'duration': 4.2}, {'text': 'microSD card and yet another new way to', 'start': 63.87, 'duration': 4.499}, {'text': 'have to get the card out so you got to', 'start': 66.689, 'duration': 4.621}, {'text': 'open up this flap now you can pry out', 'start': 68.369, 'duration': 4.801}, {'text': 'the card using your fingernail this', 'start': 71.31, 'duration': 3.75}, {'text': ""one's not spring loaded it's weird we're"", 'start': 73.17, 'duration': 3.6}, {'text': 'seeing more and more just new ways of', 'start': 75.06, 'duration': 4.559}, {'text': 'keeping the cards stuck in there but', 'start': 76.77, 'duration': 4.2}, {'text': 'those ones not too bad but it is', 'start': 79.619, 'duration': 2.701}, {'text': 'different so you just need to be aware', 'start': 80.97, 'duration': 3.39}, {'text': 'of it how about the battery pretty', 'start': 82.32, 'duration': 5.1}, {'text': 'simple put back in and fire this guy up', 'start': 84.36, 'duration': 6.149}, {'text': 'shall we the battery cover is a little', 'start': 87.42, 'duration': 5.58}, {'text': 'thin and it takes a little pressure to', 'start': 90.509, 'duration': 4.951}, {'text': 'get put on there correctly you can see a', 'start': 93.0, 'duration': 6.27}, {'text': 'struggle with it a little bit here come', 'start': 95.46, 'duration': 5.909}, {'text': ""on you knew it but once it's on it's on"", 'start': 99.27, 'duration': 5.389}, {'text': ""it's fine it's not going to come off"", 'start': 101.369, 'duration': 3.29}, {'text': 'hmmmm', 'start': 106.939, 'duration': 3.0}, {'text': ""there we go it's tough to use some"", 'start': 110.32, 'duration': 7.75}, {'text': 'muscle on that thing all right fire it', 'start': 116.09, 'duration': 3.72}, {'text': 'up and see what we got in the box while', 'start': 118.07, 'duration': 6.51}, {'text': ""we're waiting charger and USB cable and"", 'start': 119.81, 'duration': 9.93}, {'text': ""headphones how about that let's get rid"", 'start': 124.58, 'duration': 9.72}, {'text': ""all this stuff do it manuals yeah don't"", 'start': 129.74, 'duration': 7.29}, {'text': ""need any of that okay so click who's"", 'start': 134.3, 'duration': 5.64}, {'text': ""firing up and there we go now I've"", 'start': 137.03, 'duration': 4.47}, {'text': 'already booted this up once when you put', 'start': 139.94, 'duration': 2.79}, {'text': ""it up for the first time and they'll"", 'start': 141.5, 'duration': 2.31}, {'text': 'probably do this for you in the store', 'start': 142.73, 'duration': 3.12}, {'text': 'you will have to sign into a motoblur', 'start': 143.81, 'duration': 3.9}, {'text': 'account this does have the full motoblur', 'start': 145.85, 'duration': 4.23}, {'text': 'experience so you know get you signed', 'start': 147.71, 'duration': 4.35}, {'text': 'any email and social networking facebook', 'start': 150.08, 'duration': 3.57}, {'text': ""twitter stuff like that so i've already"", 'start': 152.06, 'duration': 4.05}, {'text': 'done that got that out of the way but', 'start': 153.65, 'duration': 4.05}, {'text': ""once you have a motoblur account it's as"", 'start': 156.11, 'duration': 3.09}, {'text': 'simple as giving them your email and', 'start': 157.7, 'duration': 4.05}, {'text': 'password so pretty simple see is you', 'start': 159.2, 'duration': 4.56}, {'text': 'open shut the keyboard the phone will', 'start': 161.75, 'duration': 5.04}, {'text': 'infect rotate slow slow right the second', 'start': 163.76, 'duration': 6.69}, {'text': ""because it's still booting up monumental"", 'start': 166.79, 'duration': 6.83}, {'text': 'phone there you go', 'start': 170.45, 'duration': 3.17}, {'text': ""but otherwise it's a fairly stock"", 'start': 173.9, 'duration': 5.649}, {'text': 'Android experience you have kind of the', 'start': 177.26, 'duration': 4.33}, {'text': 'same widgets that we have on the droids', 'start': 179.549, 'duration': 3.871}, {'text': 'right on the droid x and the droid two I', 'start': 181.59, 'duration': 4.02}, {'text': 'like those widgets a lot and they are', 'start': 183.42, 'duration': 4.86}, {'text': 'resizable which is very cool you get', 'start': 185.61, 'duration': 5.549}, {'text': 'seven home screens a little music widget', 'start': 188.28, 'duration': 4.41}, {'text': ""there that's cool you got your quick"", 'start': 191.159, 'duration': 6.031}, {'text': 'dialers calendar weather notes google', 'start': 192.69, 'duration': 7.469}, {'text': 'search and then you can hop back and', 'start': 197.19, 'duration': 4.68}, {'text': 'forth by using the buttons down on the', 'start': 200.159, 'duration': 3.321}, {'text': ""bottom because you're flipping through"", 'start': 201.87, 'duration': 4.08}, {'text': 'so not a whole lot of apps installed', 'start': 203.48, 'duration': 4.39}, {'text': ""that we weren't expecting to see three"", 'start': 205.95, 'duration': 5.61}, {'text': 'week g mobile hotspot have your accounts', 'start': 207.87, 'duration': 6.839}, {'text': 'here so you can see motoblur is a signed', 'start': 211.56, 'duration': 5.19}, {'text': ""in for better or for worse there's"", 'start': 214.709, 'duration': 11.821}, {'text': ""blockbuster t mobile lab so t-mobile's"", 'start': 216.75, 'duration': 10.98}, {'text': 'got a little bit of stuff on there so', 'start': 226.53, 'duration': 2.819}, {'text': ""that's their little featured apps and"", 'start': 227.73, 'duration': 2.729}, {'text': 'all that does is take you back to the', 'start': 229.349, 'duration': 4.771}, {'text': ""market let's see what outs your standard"", 'start': 230.459, 'duration': 8.761}, {'text': 'Google Apps quick off is Wi-Fi calling', 'start': 234.12, 'duration': 8.429}, {'text': ""very nice it's a nice feature on"", 'start': 239.22, 'duration': 8.07}, {'text': ""t-mobile let's see there's camera button"", 'start': 242.549, 'duration': 8.071}, {'text': 'so you hold it down and bingo fires up', 'start': 247.29, 'duration': 4.919}, {'text': ""the camera I still like Motorola's"", 'start': 250.62, 'duration': 3.449}, {'text': ""camera software a lot it's got panoramic"", 'start': 252.209, 'duration': 5.4}, {'text': ""built in very handy very cool let's go"", 'start': 254.069, 'duration': 5.07}, {'text': 'give the keyboard a test here shall we', 'start': 257.609, 'duration': 3.41}, {'text': ""no don't worry about the web search"", 'start': 259.139, 'duration': 8.511}, {'text': 'android central', 'start': 261.019, 'duration': 6.631}, {'text': ""you can do it you'll notice I am on"", 'start': 269.79, 'duration': 5.8}, {'text': ""Wi-Fi here because if you haven't heard"", 'start': 273.91, 'duration': 6.24}, {'text': 'yea Timo 3g not so much in my area so we', 'start': 275.59, 'duration': 5.76}, {'text': 'were on Wi-Fi so take that into', 'start': 280.15, 'duration': 3.99}, {'text': ""consideration but let's go to the mobile"", 'start': 281.35, 'duration': 4.29}, {'text': 'site anyway just make sure hey look how', 'start': 284.14, 'duration': 3.12}, {'text': ""quick that loads you didn't know we do"", 'start': 285.64, 'duration': 3.09}, {'text': 'have a mobile site there it is MDOT', 'start': 287.26, 'duration': 4.68}, {'text': 'android central.com and the browser', 'start': 288.73, 'duration': 5.16}, {'text': 'works like in the android browser no', 'start': 291.94, 'duration': 3.81}, {'text': 'surprises here whatsoever this phone is', 'start': 293.89, 'duration': 3.84}, {'text': ""actually it's very snappy so I've had"", 'start': 295.75, 'duration': 4.35}, {'text': 'zero complaints with it really if you', 'start': 297.73, 'duration': 3.81}, {'text': ""don't mind having motoblur on top of"", 'start': 300.1, 'duration': 6.75}, {'text': ""phone and most normal users don't then"", 'start': 301.54, 'duration': 7.2}, {'text': 'this is actually pretty darn good phone', 'start': 306.85, 'duration': 3.42}, {'text': ""and in fact motoblur really isn't all"", 'start': 308.74, 'duration': 4.41}, {'text': 'that intrusive out here so think of it', 'start': 310.27, 'duration': 5.58}, {'text': 'more services than then front-facing', 'start': 313.15, 'duration': 4.05}, {'text': 'stuff and you can always change it up', 'start': 315.85, 'duration': 4.14}, {'text': ""right so about let's see we do have"", 'start': 317.2, 'duration': 5.16}, {'text': ""android 2.2 froyo so you won't be"", 'start': 319.99, 'duration': 4.62}, {'text': 'waiting for an update for that that is', 'start': 322.36, 'duration': 7.2}, {'text': 'nice to see and what else how about just', 'start': 324.61, 'duration': 8.61}, {'text': 'check out the phone storage there you go', 'start': 329.56, 'duration': 6.03}, {'text': 'not a whole lot of program memory left', 'start': 333.22, 'duration': 4.62}, {'text': 'over but of course you can install apps', 'start': 335.59, 'duration': 4.53}, {'text': 'to the SD card so that will help some so', 'start': 337.84, 'duration': 3.87}, {'text': ""I mean this isn't a high-end phone right"", 'start': 340.12, 'duration': 3.59}, {'text': ""it's a good I call it a mid-level phone"", 'start': 341.71, 'duration': 5.07}, {'text': ""decent keyboard actually we're going to"", 'start': 343.71, 'duration': 4.42}, {'text': 'give it a full review later you have', 'start': 346.78, 'duration': 4.92}, {'text': ""profiles just like we're unveiled with"", 'start': 348.13, 'duration': 5.64}, {'text': 'the droid pro so these are new you can', 'start': 351.7, 'duration': 3.78}, {'text': 'hop from one set of homescreens to', 'start': 353.77, 'duration': 4.92}, {'text': 'another depending on your purpose i', 'start': 355.48, 'duration': 4.26}, {'text': 'guess so you can have one for the', 'start': 358.69, 'duration': 2.79}, {'text': 'weekend one for a while your work so on', 'start': 359.74, 'duration': 4.32}, {'text': ""and so forth so it's a decent you know"", 'start': 361.48, 'duration': 5.58}, {'text': 'mid-level phone i think probably going', 'start': 364.06, 'duration': 4.44}, {'text': 'to enjoy it as we give it the full', 'start': 367.06, 'duration': 2.91}, {'text': 'review experience you do have live', 'start': 368.5, 'duration': 3.42}, {'text': 'wallpapers though none around there by', 'start': 369.97, 'duration': 5.31}, {'text': ""default so mid-level phone i think we're"", 'start': 371.92, 'duration': 5.34}, {'text': ""going to like this so that's it and"", 'start': 375.28, 'duration': 5.6}, {'text': ""we'll be back later with more see ya"", 'start': 377.26, 'duration': 3.62}]"
A7m3,jD_B6Eh3LcU,"[11, 229]",
Urm3,jEmbvsNrAzI,[25],
cFm3,83aEQXBD04s,[1],"[{'text': 'you', 'start': 37.48, 'duration': 2.06}, {'text': 'what I am proposing today is the', 'start': 46.489, 'duration': 5.351}, {'text': 'dissolution of all national borders as', 'start': 49.379, 'duration': 5.011}, {'text': 'the next fundamental condition of our', 'start': 51.84, 'duration': 5.78}, {'text': 'continued social evolution as a species', 'start': 54.39, 'duration': 5.97}, {'text': 'hey hey what are the money guys what are', 'start': 57.62, 'duration': 4.75}, {'text': 'the market guys think about all this I', 'start': 60.36, 'duration': 4.32}, {'text': 'was curious so I asked some Wall Street', 'start': 62.37, 'duration': 5.609}, {'text': 'bigwigs who shall remain blameless they', 'start': 64.68, 'duration': 5.52}, {'text': 'came back very very bullish though', 'start': 67.979, 'duration': 4.441}, {'text': 'admittedly some what spooked apparently', 'start': 70.2, 'duration': 4.02}, {'text': 'national borders cause all kind of', 'start': 72.42, 'duration': 4.589}, {'text': 'problems for free trade lays a fair to', 'start': 74.22, 'duration': 6.3}, {'text': 'the number to the extreme big acts no II', 'start': 77.009, 'duration': 5.911}, {'text': ""preceding it that's the name of a boat I"", 'start': 80.52, 'duration': 4.98}, {'text': 'saw in the Hamptons what do you see the', 'start': 82.92, 'duration': 9.02}, {'text': 'pattern sure what does it prove nothing', 'start': 85.5, 'duration': 9.21}, {'text': ""not a thing but there's an impression"", 'start': 91.94, 'duration': 6.129}, {'text': ""nonetheless there is a feeling doesn't"", 'start': 94.71, 'duration': 6.84}, {'text': ""mean anything it never does it it's not"", 'start': 98.069, 'duration': 8.731}, {'text': ""evidence it's just a kaleidoscope for"", 'start': 101.55, 'duration': 13.429}, {'text': 'adults nation nation nation nation', 'start': 106.8, 'duration': 12.84}, {'text': 'nation nation nation nation nation', 'start': 114.979, 'duration': 9.371}, {'text': 'nation nation nation nation nation Mason', 'start': 119.64, 'duration': 8.13}, {'text': 'Mason Mason Mason Mason Mason Mason', 'start': 124.35, 'duration': 9.33}, {'text': 'Mason have you ever heard of the', 'start': 127.77, 'duration': 9.15}, {'text': ""overview effect it's a phenomenon"", 'start': 133.68, 'duration': 4.619}, {'text': 'described by many astronauts and', 'start': 136.92, 'duration': 3.58}, {'text': 'cosmonauts to', 'start': 138.299, 'duration': 4.271}, {'text': 'their statements generally read like', 'start': 140.5, 'duration': 5.21}, {'text': 'sacral testimony of st. Theresa of Avila', 'start': 142.57, 'duration': 6.39}, {'text': 'pierced by shards of light emanating', 'start': 145.71, 'duration': 5.89}, {'text': 'from a holy vision inducing an ecstasy', 'start': 148.96, 'duration': 6.81}, {'text': 'of perceived unity but in their case', 'start': 151.6, 'duration': 6.78}, {'text': 'they were out Norbit looking back at our', 'start': 155.77, 'duration': 4.38}, {'text': 'little blue planet instead of some', 'start': 158.38, 'duration': 5.28}, {'text': ""cereth their holy vision wasn't an"", 'start': 160.15, 'duration': 6.15}, {'text': 'ephemeral apparition but instead was', 'start': 163.66, 'duration': 4.89}, {'text': 'physiological vision meaning light', 'start': 166.3, 'duration': 4.56}, {'text': 'reflected off of a real object flying', 'start': 168.55, 'duration': 4.5}, {'text': 'through space focused through the retina', 'start': 170.86, 'duration': 4.26}, {'text': 'interpreted by the brain and it was', 'start': 173.05, 'duration': 8.159}, {'text': 'wholly with the W earth this is not a', 'start': 175.12, 'duration': 8.28}, {'text': 'car you do not get this opportunity', 'start': 181.209, 'duration': 4.591}, {'text': 'every day get on the roller coaster', 'start': 183.4, 'duration': 6.2}, {'text': 'people enslave', 'start': 185.8, 'duration': 3.8}]"
D2m3,,"[0, 1, 36, 94]",
