GQOf,bm-x2zlsd8o,"[21, 23, 2835]",
oBPG,M43Ce6bjnNc,"[0, 1, 845]",
svPG,XN2w2xd2VhI,"[0, 1]",
pwPG,PgClmAvYHbw,"[0, 1, 36, 142]",
WXPG,Pgf7SllLhL4,"[13, 168]",
aRPG,PiNNqNBHELQ,"[18, 43, 59]",
fXPG,PnlEH-3vM1o,"[155, 186, 227, 264, 377, 1487, 1680, 1688]",
VdPG,PuFO6leMKVw,"[2, 7, 104, 3029]",
QmPG,CAyFnGUTJ6U,"[2, 7, 171, 196, 283, 1382]",
j7PG,CQCgPIQQGRs,"[0, 1, 27]",
ZWPG,1k5Az2g9Ux0,"[0, 1, 5, 744]",
ewPG,1sR2g9dN9dM,"[49, 127, 2725]","[{'text': 'when visitors come to national gallery', 'start': 3.23, 'duration': 3.52}, {'text': ""they don't necessary come to look at"", 'start': 5.37, 'duration': 2.97}, {'text': 'picture frames they come to look at the', 'start': 6.75, 'duration': 4.2}, {'text': 'pictures themselves but when you start', 'start': 8.34, 'duration': 4.259}, {'text': 'looking at frames you realize that', 'start': 10.95, 'duration': 5.909}, {'text': ""they're incredibly rich they can be bold"", 'start': 12.599, 'duration': 6.751}, {'text': 'they can be plain they could be highly', 'start': 16.859, 'duration': 4.801}, {'text': ""decorative they're really interesting"", 'start': 19.35, 'duration': 4.439}, {'text': ""when they're original or integral to the"", 'start': 21.66, 'duration': 4.14}, {'text': 'work of art and actually might even be', 'start': 23.789, 'duration': 4.171}, {'text': 'an extension of their meaning but in', 'start': 25.8, 'duration': 3.989}, {'text': ""every case they're essential to how we"", 'start': 27.96, 'duration': 5.58}, {'text': 'look at inexperienced paintings here in', 'start': 29.789, 'duration': 5.43}, {'text': 'the framing department a lot of research', 'start': 33.54, 'duration': 3.449}, {'text': 'is done into every frame and the', 'start': 35.219, 'duration': 3.691}, {'text': 'National Gallery central to the research', 'start': 36.989, 'duration': 4.951}, {'text': 'methodology is these framing dossiers', 'start': 38.91, 'duration': 5.969}, {'text': 'which really contain the history of a', 'start': 41.94, 'duration': 5.04}, {'text': 'specific framing of the work of art the', 'start': 44.879, 'duration': 5.221}, {'text': 'San Sereno exhibition was inspired by a', 'start': 46.98, 'duration': 5.579}, {'text': 'reframing decision made by Peter Sharda', 'start': 50.1, 'duration': 5.61}, {'text': 'in 2012 when he discovered that there', 'start': 52.559, 'duration': 5.25}, {'text': 'was a frame that would fit Titian for a', 'start': 55.71, 'duration': 4.14}, {'text': 'Castoro which had been cleaned and', 'start': 57.809, 'duration': 4.531}, {'text': 'confirmed to be by Titian in the', 'start': 59.85, 'duration': 4.44}, {'text': 'previous year the philosophy of the', 'start': 62.34, 'duration': 4.05}, {'text': 'framing department is to try and find', 'start': 64.29, 'duration': 4.14}, {'text': 'frames which were roughly of the same', 'start': 66.39, 'duration': 4.799}, {'text': 'period and date as the works of art that', 'start': 68.43, 'duration': 4.47}, {'text': ""they're going to surround and the"", 'start': 71.189, 'duration': 3.93}, {'text': 'framing department and the moment is', 'start': 72.9, 'duration': 4.23}, {'text': 'that Emily headed by Peter Sharda who', 'start': 75.119, 'duration': 3.54}, {'text': 'has a particular interest in historic', 'start': 77.13, 'duration': 5.01}, {'text': 'frames this is the frame we recently', 'start': 78.659, 'duration': 8.161}, {'text': ""bought it's a spanish early 17th century"", 'start': 82.14, 'duration': 6.75}, {'text': 'frame so called her aro frame very', 'start': 86.82, 'duration': 4.08}, {'text': 'idiosyncratic like many Spanish frames', 'start': 88.89, 'duration': 3.99}, {'text': 'are much of it has got original surface', 'start': 90.9, 'duration': 3.929}, {'text': ""it's quite a lot of the gilding is very"", 'start': 92.88, 'duration': 3.87}, {'text': 'beautifully preserved but at some point', 'start': 94.829, 'duration': 4.321}, {'text': 'other parts of it must have been damaged', 'start': 96.75, 'duration': 4.53}, {'text': 'and were repaired and were repaired', 'start': 99.15, 'duration': 3.84}, {'text': ""quite badly or we've had with the wrong"", 'start': 101.28, 'duration': 3.659}, {'text': 'sensitivity for instance you can see', 'start': 102.99, 'duration': 4.25}, {'text': 'here that those two are the original', 'start': 104.939, 'duration': 5.521}, {'text': 'Spanish 17th century jewel-like shapes', 'start': 107.24, 'duration': 5.53}, {'text': 'very hard and sharp and actually quite', 'start': 110.46, 'duration': 5.46}, {'text': 'flat and then in the 20th century they', 'start': 112.77, 'duration': 6.09}, {'text': 'applied these slightly too tall slightly', 'start': 115.92, 'duration': 5.18}, {'text': 'too fat and slightly too bulbous looking', 'start': 118.86, 'duration': 4.259}, {'text': ""repairs and actually they're a lot on"", 'start': 121.1, 'duration': 3.46}, {'text': ""this length luckily they're little bit"", 'start': 123.119, 'duration': 3.21}, {'text': ""too big so what I'm going to do is I'm"", 'start': 124.56, 'duration': 4.11}, {'text': 'just going to carve some smaller rather', 'start': 126.329, 'duration': 4.001}, {'text': 'than to knock them off and put', 'start': 128.67, 'duration': 3.61}, {'text': ""but then there's sound in many other"", 'start': 130.33, 'duration': 3.99}, {'text': 'ways and taking them off including other', 'start': 132.28, 'duration': 3.96}, {'text': 'pieces on my damage some more of the', 'start': 134.32, 'duration': 3.6}, {'text': 'original substance whereas just', 'start': 136.24, 'duration': 4.41}, {'text': ""recovering these existing repairs it's"", 'start': 137.92, 'duration': 5.73}, {'text': 'probably the gentler way of making it', 'start': 140.65, 'duration': 6.9}, {'text': 'look right because the frames are still', 'start': 143.65, 'duration': 6.42}, {'text': 'fully functioning as frames in the', 'start': 147.55, 'duration': 4.8}, {'text': 'gallery they have to be fit to house', 'start': 150.07, 'duration': 4.83}, {'text': 'paintings resize them or we restore them', 'start': 152.35, 'duration': 4.86}, {'text': 'we copy frames altogether from scratch I', 'start': 154.9, 'duration': 4.71}, {'text': 'carve frames we Jess of them will guild', 'start': 157.21, 'duration': 4.47}, {'text': ""them when then we age them it's a very"", 'start': 159.61, 'duration': 3.27}, {'text': 'subtle process to make them look', 'start': 161.68, 'duration': 3.42}, {'text': 'convincingly like like old friends we', 'start': 162.88, 'duration': 4.77}, {'text': 'also repair frames quite a lot of our', 'start': 165.1, 'duration': 4.68}, {'text': 'paintings have still got 19th century', 'start': 167.65, 'duration': 3.63}, {'text': 'frames quite a lot of those frames are', 'start': 169.78, 'duration': 4.35}, {'text': 'composition frames where the where the', 'start': 171.28, 'duration': 4.679}, {'text': 'ornaments are not carved in wood but', 'start': 174.13, 'duration': 5.13}, {'text': 'made out of a made out of plaster a very', 'start': 175.959, 'duration': 5.25}, {'text': ""important part of my work it's not just"", 'start': 179.26, 'duration': 4.59}, {'text': 'repairing frames and making frames but', 'start': 181.209, 'duration': 5.151}, {'text': 'it is in front of the computer finding', 'start': 183.85, 'duration': 6.57}, {'text': 'old frames for that we can acquire for', 'start': 186.36, 'duration': 5.65}, {'text': ""the gallery we've managed to complete"", 'start': 190.42, 'duration': 5.01}, {'text': 'the purchase of a beautiful Venetian', 'start': 192.01, 'duration': 7.11}, {'text': 'frame for a painting by Titian when we', 'start': 195.43, 'duration': 7.26}, {'text': 'have a frame here on sale or return on', 'start': 199.12, 'duration': 6.69}, {'text': 'consideration we have a full size 2', 'start': 202.69, 'duration': 4.92}, {'text': 'production made of the painting put it', 'start': 205.81, 'duration': 3.75}, {'text': 'into the frame so that I can then take', 'start': 207.61, 'duration': 3.81}, {'text': 'it into the gallery and show it to the', 'start': 209.56, 'duration': 5.73}, {'text': 'curator to discuss it and and and get', 'start': 211.42, 'duration': 7.319}, {'text': 'his approval for every frame and it', 'start': 215.29, 'duration': 4.59}, {'text': 'really does make a difference for the', 'start': 218.739, 'duration': 3.871}, {'text': 'painting compared to the existing frame', 'start': 219.88, 'duration': 5.34}, {'text': ""that we're now replacing I think I think"", 'start': 222.61, 'duration': 4.17}, {'text': 'I think is huge difference the existing', 'start': 225.22, 'duration': 4.049}, {'text': ""frame is much later it's a 17th century"", 'start': 226.78, 'duration': 6.26}, {'text': 'French frame but apart from it being a', 'start': 229.269, 'duration': 6.301}, {'text': ""free man bad condition it's also for him"", 'start': 233.04, 'duration': 4.419}, {'text': 'very unsuitable for the painting it', 'start': 235.57, 'duration': 5.16}, {'text': 'really crowds the composition it crowds', 'start': 237.459, 'duration': 4.951}, {'text': 'it and therefore it flattens it I think', 'start': 240.73, 'duration': 4.979}, {'text': 'makes it proceed to be able to buy', 'start': 242.41, 'duration': 5.97}, {'text': 'frames of this quality we need the', 'start': 245.709, 'duration': 6.151}, {'text': 'support of outside donors and in this', 'start': 248.38, 'duration': 5.609}, {'text': 'case for the first time ever we', 'start': 251.86, 'duration': 4.11}, {'text': 'approached the general public to take an', 'start': 253.989, 'duration': 5.071}, {'text': 'interest and attractively support with', 'start': 255.97, 'duration': 5.32}, {'text': 'relatively small amounts of money', 'start': 259.06, 'duration': 4.78}, {'text': 'this acquisition we hope that this frame', 'start': 261.29, 'duration': 5.19}, {'text': 'will enhance the way the painting is', 'start': 263.84, 'duration': 5.7}, {'text': 'displayed in the gallery and even to', 'start': 266.48, 'duration': 5.94}, {'text': ""people who don't look at the frame the"", 'start': 269.54, 'duration': 5.54}, {'text': 'painting will hopefully look better and', 'start': 272.42, 'duration': 6.0}, {'text': 'some will look at the frame and will be', 'start': 275.08, 'duration': 5.68}, {'text': 'able to enjoy the frame as part of the', 'start': 278.42, 'duration': 4.7}, {'text': 'painting', 'start': 280.76, 'duration': 2.36}]"
rXPG,wv0hckncxDM,"[0, 1]",
kBPG,3ohrrUxEWOk,"[417, 1304]",
hNPG,KgSOHL6jjOI,"[5, 16]",
d1PG,WVeTN_Bp1uY,"[148, 253, 271]","[{'text': 'epic retro is 87 you pick up yeah nike', 'start': 0.05, 'duration': 13.18}, {'text': 'zoom hyperflight premium pick these up', 'start': 8.069, 'duration': 8.521}, {'text': 'today for my birthday and my birthday is', 'start': 13.23, 'duration': 6.059}, {'text': 'like two months away but mom took me', 'start': 16.59, 'duration': 5.55}, {'text': 'over to the mall and kind of surprised', 'start': 19.289, 'duration': 4.41}, {'text': 'me with this sounds like all right mom', 'start': 22.14, 'duration': 4.25}, {'text': 'appreciate it number love number love', 'start': 23.699, 'duration': 7.951}, {'text': 'you all right so yeah all right i got', 'start': 26.39, 'duration': 8.32}, {'text': 'these actually i got the original hyper', 'start': 31.65, 'duration': 5.58}, {'text': ""flights in 2001 you're a graduate high"", 'start': 34.71, 'duration': 5.64}, {'text': 'school they run all black and they have', 'start': 37.23, 'duration': 4.41}, {'text': 'the white switch right here and people', 'start': 40.35, 'duration': 3.06}, {'text': ""on them they're like whoa wasn't nice"", 'start': 41.64, 'duration': 4.079}, {'text': 'you know ladies like them dude thought', 'start': 43.41, 'duration': 4.89}, {'text': 'they were cool and i can really care', 'start': 45.719, 'duration': 3.93}, {'text': ""less about everybody else's opinion you"", 'start': 48.3, 'duration': 3.029}, {'text': 'know if I like them I like them but it', 'start': 49.649, 'duration': 3.09}, {'text': 'was nice to get a compliment every once', 'start': 51.329, 'duration': 4.98}, {'text': 'in a while but you know if most', 'start': 52.739, 'duration': 5.311}, {'text': 'important thing is you enjoying what you', 'start': 56.309, 'duration': 3.48}, {'text': ""have and I'm saying that's the most"", 'start': 58.05, 'duration': 3.09}, {'text': 'important thing I think god I always', 'start': 59.789, 'duration': 4.02}, {'text': 'stuck to that yeah by and what I like', 'start': 61.14, 'duration': 8.19}, {'text': 'anyway they sound nice kicks very light', 'start': 63.809, 'duration': 13.081}, {'text': 'very light you see the Zoom Zoom Air and', 'start': 69.33, 'duration': 8.969}, {'text': 'everything right here and then you got', 'start': 76.89, 'duration': 3.75}, {'text': 'the lightning and this is kevin durant', 'start': 78.299, 'duration': 4.71}, {'text': ""shoe represented it's representing the"", 'start': 80.64, 'duration': 5.61}, {'text': 'thunder so this is kevin durant shoe and', 'start': 83.009, 'duration': 7.531}, {'text': ""then then there's kobe shoe which you"", 'start': 86.25, 'duration': 5.7}, {'text': 'have a snake kind of wrapped around the', 'start': 90.54, 'duration': 6.48}, {'text': 'shoe around this way and then you have', 'start': 91.95, 'duration': 10.14}, {'text': 'the heat you have lebron james got', 'start': 97.02, 'duration': 6.33}, {'text': 'lebron james sure you know', 'start': 102.09, 'duration': 3.959}, {'text': 'representative eat so the the heat one', 'start': 103.35, 'duration': 4.74}, {'text': 'was kind of reddish you know and then', 'start': 106.049, 'duration': 4.68}, {'text': 'the kobe shoe was actually green and i', 'start': 108.09, 'duration': 4.23}, {'text': 'tried to Kobe Xuan first cuz you know', 'start': 110.729, 'duration': 4.021}, {'text': ""Kobe's my dude you know co he's my"", 'start': 112.32, 'duration': 4.979}, {'text': 'douche and so I tried the Kobe one on', 'start': 114.75, 'duration': 5.46}, {'text': ""first and mom was like yeah Green's my"", 'start': 117.299, 'duration': 4.081}, {'text': 'favorite color and everything I went', 'start': 120.21, 'duration': 2.43}, {'text': ""yeah that sounds good you know i'll"", 'start': 121.38, 'duration': 2.519}, {'text': ""actually i'll get these just your mind"", 'start': 122.64, 'duration': 3.36}, {'text': ""I'm appreciated but then I let's take a"", 'start': 123.899, 'duration': 3.021}, {'text': 'look at them in the mirror', 'start': 126.0, 'duration': 1.909}, {'text': 'like you know what these actually look', 'start': 126.92, 'duration': 2.82}, {'text': 'like the Washington to something like', 'start': 127.909, 'duration': 3.511}, {'text': 'that you know like rain boots you know', 'start': 129.74, 'duration': 5.43}, {'text': 'and then it was Green you know I mean', 'start': 131.42, 'duration': 6.96}, {'text': ""it's the snake was like green and it was"", 'start': 135.17, 'duration': 6.11}, {'text': ""just saw it just didn't fit the kobe"", 'start': 138.38, 'duration': 5.609}, {'text': 'colorway scheme that i usually care for', 'start': 141.28, 'duration': 5.26}, {'text': ""so that's why i chose these ones because"", 'start': 143.989, 'duration': 4.981}, {'text': 'these ones were more reminiscent of the', 'start': 146.54, 'duration': 4.41}, {'text': 'laker colorway you know with the purple', 'start': 148.97, 'duration': 4.64}, {'text': 'or the dark looks like purple than me', 'start': 150.95, 'duration': 5.97}, {'text': ""and I just figured it'd look better with"", 'start': 153.61, 'duration': 5.44}, {'text': 'my kobe jersey but anyway i just want to', 'start': 156.92, 'duration': 4.17}, {'text': 'show you guys new pickup and again these', 'start': 159.05, 'duration': 4.71}, {'text': 'are very light very comfy and a little', 'start': 161.09, 'duration': 3.959}, {'text': 'good job with them happy to see them', 'start': 163.76, 'duration': 3.18}, {'text': 'back happy to have you see the hyperfine', 'start': 165.049, 'duration': 3.72}, {'text': 'is bad but for hopefully they come out', 'start': 166.94, 'duration': 3.629}, {'text': ""with no solid color ways and they're not"", 'start': 168.769, 'duration': 4.44}, {'text': 'be nice even be nice to see that but', 'start': 170.569, 'duration': 4.98}, {'text': ""very happy with these I'm these are very"", 'start': 173.209, 'duration': 3.721}, {'text': ""special to me because I'm on bottle for"", 'start': 175.549, 'duration': 3.931}, {'text': ""me so i'm not selling these these are"", 'start': 176.93, 'duration': 5.67}, {'text': 'very very special after gamma course all', 'start': 179.48, 'duration': 8.15}, {'text': 'right happy person 37', 'start': 182.6, 'duration': 5.03}]"
PtPG,p4D2wDQnUHQ,"[17, 19]","[{'text': 'Jimmie Johnson he missed the interlude', 'start': 5.6, 'duration': 4.06}, {'text': ""now he's got to come to a complete stop"", 'start': 7.919, 'duration': 3.51}, {'text': 'and then he could go again him he does', 'start': 9.66, 'duration': 3.33}, {'text': ""not come to a complete stop there's a"", 'start': 11.429, 'duration': 3.271}, {'text': ""penalty don't have to pass through pit"", 'start': 12.99, 'duration': 4.17}, {'text': 'road so he missed the interlude which is', 'start': 14.7, 'duration': 3.81}, {'text': ""the smart thing to do it's better than"", 'start': 17.16, 'duration': 3.0}, {'text': 'wrecking but you have to come to a', 'start': 18.51, 'duration': 3.51}, {'text': 'complete stop by rule it was running', 'start': 20.16, 'duration': 3.449}, {'text': 'seventh before he missed see interludes', 'start': 22.02, 'duration': 2.7}, {'text': 'now he blends with Danica Patrick', 'start': 23.609, 'duration': 2.76}, {'text': 'through the last lap around was running', 'start': 24.72, 'duration': 6.26}, {'text': '22nd to 51 of Justin Allgaier', 'start': 26.369, 'duration': 11.061}, {'text': 'he gets the point of the road rash he', 'start': 30.98, 'duration': 7.92}, {'text': 'just comes into the screen loose', 'start': 37.43, 'duration': 2.64}, {'text': ""Jimmy Johnson right behind him I don't"", 'start': 38.9, 'duration': 3.45}, {'text': ""if there's contact early as much gap as"", 'start': 40.07, 'duration': 3.78}, {'text': 'there was between the cars it looks like', 'start': 42.35, 'duration': 3.51}, {'text': 'the 51 maybe just over drove turn one', 'start': 43.85, 'duration': 5.1}, {'text': 'that lost the back of the car Marty and', 'start': 45.86, 'duration': 5.52}, {'text': 'Justin are had one thing to say that 48', 'start': 48.95, 'duration': 4.32}, {'text': ""better hope I don't get back to him this"", 'start': 51.38, 'duration': 4.47}, {'text': 'race he is not happy with Jimmie Johnson', 'start': 53.27, 'duration': 4.56}, {'text': 'but we see we have trouble at the 14 is', 'start': 55.85, 'duration': 4.72}, {'text': 'slow heading into the inner loop', 'start': 57.83, 'duration': 4.81}, {'text': 'keep going that could bring a caution', 'start': 60.57, 'duration': 4.83}, {'text': 'out this would be a great time if they', 'start': 62.64, 'duration': 3.93}, {'text': 'want a duck on the pit road', 'start': 65.4, 'duration': 2.37}, {'text': ""if it's still green when they hit the"", 'start': 66.57, 'duration': 2.52}, {'text': 'crunch fist all the leaders will', 'start': 67.77, 'duration': 3.89}, {'text': 'absolutely be on pit road', 'start': 69.09, 'duration': 5.73}, {'text': 'so tony stewart Annadurai Brian the', 'start': 71.66, 'duration': 5.44}, {'text': 'caution comes out said something in the', 'start': 74.82, 'duration': 6.02}, {'text': 'drive line of the 48 is sideways as well', 'start': 77.1, 'duration': 3.74}, {'text': 'and who loves this caution everyone who', 'start': 80.909, 'duration': 4.471}, {'text': 'pitted under the last caution remember', 'start': 83.61, 'duration': 4.77}, {'text': ""they're short on fuel they have to make"", 'start': 85.38, 'duration': 4.529}, {'text': 'it on fuel Kelly what happened with the', 'start': 88.38, 'duration': 4.169}, {'text': ""48 well he's an entire remember I told"", 'start': 89.909, 'duration': 3.96}, {'text': 'you they had thought about repairing', 'start': 92.549, 'duration': 3.151}, {'text': 'some damage to the nose earlier and', 'start': 93.869, 'duration': 3.631}, {'text': 'opted not to they went fueled only and', 'start': 95.7, 'duration': 2.97}, {'text': ""they'd been waiting they were going to"", 'start': 97.5, 'duration': 3.39}, {'text': 'bring Jimmy in to fix that damage', 'start': 98.67, 'duration': 4.17}, {'text': 'because he was reporting a tire rub just', 'start': 100.89, 'duration': 3.39}, {'text': 'before he went around this last night', 'start': 102.84, 'duration': 5.459}, {'text': 'and the free pass is going to AJ', 'start': 104.28, 'duration': 6.93}, {'text': 'Allmendinger so AJ Allmendinger will be', 'start': 108.299, 'duration': 6.451}, {'text': ""back awesomely laughs it's not like it"", 'start': 111.21, 'duration': 7.32}, {'text': 'broke a axle at least it would polish', 'start': 114.75, 'duration': 11.369}, {'text': ""it's just one axle with it yeah yeah it"", 'start': 118.53, 'duration': 9.39}, {'text': 'is something weird when we came down to', 'start': 126.119, 'duration': 3.541}, {'text': 'the carousel the laughs of war and then', 'start': 127.92, 'duration': 5.429}, {'text': 'all the one itself blast then I get', 'start': 129.66, 'duration': 6.06}, {'text': 'really here and when I got to the top of', 'start': 133.349, 'duration': 5.181}, {'text': 'the edge of the broken', 'start': 135.72, 'duration': 2.81}]"
ABPG,UYsQuWZiNzI,[39],
qyPG,U_PU8fc9Dqo,"[3, 4, 9, 13, 38]",
9xPG,q9ba-as5t8Y,[5],
lmPG,,"[0, 11, 29, 32]",
gvPG,AzDC0_wBQHI,"[43, 873, 1503]","[{'text': 'welcome to another episode of ap Bassin', 'start': 25.46, 'duration': 5.68}, {'text': 'I just saw I got my reboots in that', 'start': 28.05, 'duration': 5.3}, {'text': 'order these are the new generation 3', 'start': 31.14, 'duration': 5.22}, {'text': 'repos I got rid of all my generation 2', 'start': 33.35, 'duration': 5.35}, {'text': ""to get these so I'm pretty psyched to"", 'start': 36.36, 'duration': 2.67}, {'text': 'get these', 'start': 38.7, 'duration': 5.129}, {'text': 'um I ordered the STX the SX and the', 'start': 39.03, 'duration': 6.869}, {'text': ""premiere and I'm waiting on the bunch to"", 'start': 43.829, 'duration': 4.321}, {'text': 'come in I ordered them from little cup', 'start': 45.899, 'duration': 4.891}, {'text': 'tackle calm i pre-ordered them back in', 'start': 48.15, 'duration': 5.34}, {'text': 'July so I can get 20% off so I finally', 'start': 50.79, 'duration': 4.47}, {'text': ""got them in and I'm just gonna go"", 'start': 53.49, 'duration': 3.27}, {'text': 'through me a box and talk a little bit', 'start': 55.26, 'duration': 3.69}, {'text': 'about the reels first you know I got', 'start': 56.76, 'duration': 10.17}, {'text': ""here is the STX it's a pretty it's"", 'start': 58.95, 'duration': 10.44}, {'text': ""pretty different than the old model it's"", 'start': 66.93, 'duration': 5.34}, {'text': 'a lot more compact the bet star handle', 'start': 69.39, 'duration': 4.89}, {'text': 'makes you up feel a lot closer to the', 'start': 72.27, 'duration': 4.59}, {'text': ""real they're not gonna like you're not"", 'start': 74.28, 'duration': 4.59}, {'text': ""gonna like spin off while you're reeling"", 'start': 76.86, 'duration': 3.93}, {'text': 'in very good fish I got this in the set', 'start': 78.87, 'duration': 4.32}, {'text': ""of one to one Gary Sheol I'm gonna use"", 'start': 80.79, 'duration': 4.439}, {'text': 'this for a jig fishing finesse fishing', 'start': 83.19, 'duration': 4.59}, {'text': ""that stuff I'm gonna put either 10 or 12"", 'start': 85.229, 'duration': 6.061}, {'text': 'pounds flow on here and it it is so much', 'start': 87.78, 'duration': 5.94}, {'text': ""lighter than the old one I'm gonna I'm"", 'start': 91.29, 'duration': 5.369}, {'text': 'actually gonna put the foam handles on', 'start': 93.72, 'duration': 4.14}, {'text': 'here if you could see these are not the', 'start': 96.659, 'duration': 4.651}, {'text': 'foam handles but I like the foam so', 'start': 97.86, 'duration': 4.89}, {'text': ""that's called Revo shop where you can"", 'start': 101.31, 'duration': 3.059}, {'text': 'get all different customizations for', 'start': 102.75, 'duration': 5.04}, {'text': 'your reels and that sort of stuff more', 'start': 104.369, 'duration': 7.471}, {'text': 'compact bigger spool and just it all', 'start': 107.79, 'duration': 8.31}, {'text': 'around just better design for the 2012', 'start': 111.84, 'duration': 9.33}, {'text': ""Revo John 3 STX RSX alright now here's"", 'start': 116.1, 'duration': 8.76}, {'text': 'the STX this is done pretty new on 8', 'start': 121.17, 'duration': 8.839}, {'text': 'older one gear ratio which is awesome', 'start': 124.86, 'duration': 8.82}, {'text': 'both both that bigger see this one has', 'start': 130.009, 'duration': 5.501}, {'text': 'those off grips that I was talking about', 'start': 133.68, 'duration': 6.27}, {'text': 'the foam grips bigger spool just just', 'start': 135.51, 'duration': 7.769}, {'text': 'bent handle more compact a total 1 gear', 'start': 139.95, 'duration': 7.439}, {'text': 'ratio very light a whole different color', 'start': 143.279, 'duration': 4.441}, {'text': 'for', 'start': 147.389, 'duration': 4.471}, {'text': ""the STX then my last one it's pretty"", 'start': 147.72, 'duration': 6.99}, {'text': ""sick real and I'm gonna do a review on"", 'start': 151.86, 'duration': 4.32}, {'text': 'these once I get to fishing this weekend', 'start': 154.71, 'duration': 3.93}, {'text': ""so no sensor for that and here's the"", 'start': 156.18, 'duration': 4.92}, {'text': 'last one the one shops still waiting on', 'start': 158.64, 'duration': 3.6}, {'text': ""I'm pretty sure I'm gonna get that one"", 'start': 161.1, 'duration': 5.91}, {'text': ""tomorrow so here's the premier different"", 'start': 162.24, 'duration': 16.08}, {'text': ""box here's a Revo premier I got this in"", 'start': 167.01, 'duration': 15.03}, {'text': ""a 6 4 to 1 gear ratio I'm pretty sure"", 'start': 178.32, 'duration': 5.7}, {'text': ""it's gonna be my jerk bait rod and"", 'start': 182.04, 'duration': 4.169}, {'text': 'crankbait reel for mile square bills and', 'start': 184.02, 'duration': 3.27}, {'text': ""jerk baits like that it's gonna I'm"", 'start': 186.209, 'duration': 4.351}, {'text': 'gonna put this on my 7-foot glass tile', 'start': 187.29, 'duration': 5.82}, {'text': ""rod the diesel so I'm gonna use this"", 'start': 190.56, 'duration': 4.77}, {'text': 'first so I can I can I like to use off', 'start': 193.11, 'duration': 4.29}, {'text': '541 gear ratios for crank baits but I', 'start': 195.33, 'duration': 4.35}, {'text': 'just for square little fishing I like to', 'start': 197.4, 'duration': 3.93}, {'text': 'burn the square holes and I also like', 'start': 199.68, 'duration': 3.72}, {'text': ""doing when I'm dirt bait fishing I like"", 'start': 201.33, 'duration': 3.96}, {'text': 'to make sure I can get back on the line', 'start': 203.4, 'duration': 3.75}, {'text': ""that I've jerked back out so that I"", 'start': 205.29, 'duration': 3.09}, {'text': ""don't miss any bites or anything like"", 'start': 207.15, 'duration': 3.39}, {'text': 'that but all these reels have bigger', 'start': 208.38, 'duration': 5.4}, {'text': 'spools the premier and the STX that I', 'start': 210.54, 'duration': 5.58}, {'text': 'have have the foam grips which are a lot', 'start': 213.78, 'duration': 4.19}, {'text': 'lighter and they help you fish all day', 'start': 216.12, 'duration': 5.04}, {'text': 'more compact which so this is gonna be', 'start': 217.97, 'duration': 5.62}, {'text': ""on my seven foot diesel I'm probably"", 'start': 221.16, 'duration': 4.73}, {'text': 'gonna be putting this on my seven to', 'start': 223.59, 'duration': 5.1}, {'text': 'Powell endurance for a jig fishing a', 'start': 225.89, 'duration': 5.319}, {'text': ""total one can flip it pitch it I'm"", 'start': 228.69, 'duration': 4.47}, {'text': 'probably gonna put either 14 pound or 17', 'start': 231.209, 'duration': 8.641}, {'text': ""pound test on this and then my s xx I'm"", 'start': 233.16, 'duration': 10.56}, {'text': 'gonna be putting on my 72 diesel rod', 'start': 239.85, 'duration': 5.88}, {'text': 'with 10 pound test ball coming for real', 'start': 243.72, 'duration': 3.9}, {'text': 'finesse fishing those 1 eights ounce', 'start': 245.73, 'duration': 5.52}, {'text': 'jigs those shaky heads wacky rigs stuff', 'start': 247.62, 'duration': 7.44}, {'text': ""like that so here's the STX one more"", 'start': 251.25, 'duration': 5.22}, {'text': 'close look at that with the bigger', 'start': 255.06, 'duration': 5.64}, {'text': ""school here's the premier foam grips"", 'start': 256.47, 'duration': 7.86}, {'text': ""that stuff and then there's the STX with"", 'start': 260.7, 'duration': 7.17}, {'text': 'the all-new on a total one gary show so', 'start': 264.33, 'duration': 5.07}, {'text': ""i'll make another video on my winch when"", 'start': 267.87, 'duration': 3.66}, {'text': 'i get that one in but stay tuned and', 'start': 269.4, 'duration': 3.51}, {'text': 'thanks for watching this your next', 'start': 271.53, 'duration': 4.699}, {'text': 'episode of AP bad', 'start': 272.91, 'duration': 3.319}]"
4yPG,EV7iq2dSv00,[175],
