meJq,zQ0ojdDLIwQ,"[31, 40]",
bpKc,BzOAAQ0VbXI,"[8, 206]",
WFKc,C1TmGGjKnEE,[644],"[{'text': ""cheba what's up man doing hey aren't you"", 'start': 13.82, 'duration': 5.5}, {'text': 'supposed to do a secrets of the ninja', 'start': 17.85, 'duration': 6.51}, {'text': ""right now I'm pretty sure hands oh it"", 'start': 19.32, 'duration': 8.119}, {'text': 'said you were supposed to do today', 'start': 24.36, 'duration': 3.079}, {'text': ""pretty sure that's amazing well there's"", 'start': 28.76, 'duration': 4.68}, {'text': 'been no secrets of the ninja for like', 'start': 31.85, 'duration': 3.57}, {'text': 'over a month and I thought you were', 'start': 33.44, 'duration': 6.21}, {'text': 'supposed to do the next one hey guys', 'start': 35.42, 'duration': 5.819}, {'text': 'pazza wants me to teach you something', 'start': 39.65, 'duration': 3.51}, {'text': ""real simple today we're going to start"", 'start': 41.239, 'duration': 3.811}, {'text': ""off at the roll I'm thinking if we work"", 'start': 43.16, 'duration': 3.719}, {'text': 'real hard we can do something pretty fun', 'start': 45.05, 'duration': 5.34}, {'text': ""with that so there's three basic safety"", 'start': 46.879, 'duration': 5.041}, {'text': 'elements you want to keep in mind when', 'start': 50.39, 'duration': 3.75}, {'text': 'doing your roles firstly you want to', 'start': 51.92, 'duration': 3.66}, {'text': 'keep your chin tucked against your chest', 'start': 54.14, 'duration': 3.45}, {'text': 'for the entire duration of the role and', 'start': 55.58, 'duration': 3.57}, {'text': ""I can't stress this enough it's the most"", 'start': 57.59, 'duration': 4.44}, {'text': 'important thing secondly what you want', 'start': 59.15, 'duration': 4.38}, {'text': 'to do is have a friend around in case', 'start': 62.03, 'duration': 4.379}, {'text': ""something goes wrong you're all right in"", 'start': 63.53, 'duration': 6.84}, {'text': ""this case size of word thirdly I'd like"", 'start': 66.409, 'duration': 5.341}, {'text': 'you guys to try this on a soft surface', 'start': 70.37, 'duration': 6.0}, {'text': ""with brass mats or sad it's not some fun"", 'start': 71.75, 'duration': 8.64}, {'text': ""with it hey guys hope you're ready to"", 'start': 76.37, 'duration': 5.52}, {'text': 'get rolling the roll is one of my', 'start': 80.39, 'duration': 3.63}, {'text': 'favorite moves so versatile you can do', 'start': 81.89, 'duration': 3.78}, {'text': 'it for so many different reasons in so', 'start': 84.02, 'duration': 3.33}, {'text': 'many ways and if you want to be a ninja', 'start': 85.67, 'duration': 4.17}, {'text': ""you've gotta learn how to roll I'm gonna"", 'start': 87.35, 'duration': 4.019}, {'text': 'do something in my hands to show you', 'start': 89.84, 'duration': 3.78}, {'text': 'just how versatile it is so remember', 'start': 91.369, 'duration': 4.231}, {'text': 'like Chiba said keep your chin tucked', 'start': 93.62, 'duration': 4.35}, {'text': 'into your chest put your hands on the', 'start': 95.6, 'duration': 6.78}, {'text': 'ground keep your back arts and roll you', 'start': 97.97, 'duration': 5.67}, {'text': 'got to push up with your legs if you', 'start': 102.38, 'duration': 3.77}, {'text': 'want it to happen', 'start': 103.64, 'duration': 2.51}, {'text': ""word so that's it for our episode on the"", 'start': 120.44, 'duration': 5.28}, {'text': 'role I hope you guys learned a lot we', 'start': 124.01, 'duration': 3.84}, {'text': ""tried to take it easy brush there'll be"", 'start': 125.72, 'duration': 3.509}, {'text': 'lots more advanced ninja techniques', 'start': 127.85, 'duration': 3.15}, {'text': 'coming your way soon totally hit that', 'start': 129.229, 'duration': 3.721}, {'text': 'big yellow subscribe button above for', 'start': 131.0, 'duration': 3.63}, {'text': ""more secrets of the ninja and don't"", 'start': 132.95, 'duration': 3.63}, {'text': 'forget the next episode of ninja moon is', 'start': 134.63, 'duration': 5.72}, {'text': 'coming out on Thursday right yeah', 'start': 136.58, 'duration': 3.77}]"
UgKc,4fCQL5LXxMg,[3],
0kKc,X-0r5SfiNcg,"[0, 1]",
gEKc,sQuHUPAchv4,[1295],
grKc,sX56bUdii7c,[25],
frKc,m2wyOF-Sh94,"[6, 133, 325]",
YcKc,m5I-n_WZfA8,"[0, 1, 153, 562]",
5TKc,,"[0, 1, 124, 1512]",
HOKc,xrlVZUTsIy0,"[2, 83]",
heKc,dnWUXaAfWa0,"[8, 13, 164, 175, 1242]",
PlKc,dorta3MzKzo,"[2, 7, 83, 208]",
BnKc,duVpjLr_98o,"[0, 1, 268, 665, 755, 1182, 1220, 3327]",
10Kc,e0CCxU-5vGc,"[12, 237]",
cxKc,eBuDrsxb-Ok,"[0, 1, 159, 1419]","[{'text': ""think you can keep up with me I don't"", 'start': 2.179, 'duration': 18.01}, {'text': ""need any more lectures hey guess we're"", 'start': 11.58, 'duration': 16.58}, {'text': ""both new at this what's this igloo"", 'start': 20.189, 'duration': 23.851}, {'text': 'business no you saying sorry now i can', 'start': 28.16, 'duration': 24.399}, {'text': 'score even in the dark hey buddy you', 'start': 44.04, 'duration': 11.63}, {'text': 'should loosen up a little', 'start': 52.559, 'duration': 3.111}, {'text': ""why am i up against an old man it's"", 'start': 59.35, 'duration': 17.82}, {'text': 'great to have momentum what will you do', 'start': 67.96, 'duration': 17.04}, {'text': ""when everything's gone always give it"", 'start': 77.17, 'duration': 11.15}, {'text': ""everything you've got"", 'start': 85.0, 'duration': 3.32}, {'text': ""I'm far more entertaining than you"", 'start': 92.0, 'duration': 4.19}, {'text': ""enough moping let's go you think being a"", 'start': 100.42, 'duration': 11.839}, {'text': 'grown-up makes you cool', 'start': 109.06, 'duration': 3.199}, {'text': ""what's on your mind spill it"", 'start': 116.24, 'duration': 3.8}, {'text': ""how do you compress time I'm getting"", 'start': 124.909, 'duration': 17.341}, {'text': ""dizzy don't get carried away every"", 'start': 128.569, 'duration': 21.721}, {'text': ""little thing about you ticks me off I'm"", 'start': 142.25, 'duration': 11.51}, {'text': ""the one and only A's here"", 'start': 150.29, 'duration': 3.47}, {'text': ""you're the final chapter in my story"", 'start': 157.61, 'duration': 4.64}]"
BQKc,,"[39, 121, 156, 202, 233, 393, 627]",
RoKc,,"[579, 1758]",
AQKc,Y7aqO5BuT2g,"[118, 1624]",
OyKc,DCb1B6XhqG0,"[3, 6, 8]",
pxKc,aaW-eyrnixY,[2299],
DhKc,aeHcYujX8WA,"[0, 1, 27]",
JbKc,ajf6uwqbHuQ,"[15, 18, 67, 140, 1533]",
2uKc,NLR3fopk0v0,"[6, 8]",
ZiKc,t-ldu2ljgmI,"[5, 1481]",
KQKc,t6uWhbEc0Ag,"[2, 44, 46, 113, 965]",
aSKc,jWV4C6_0X-s,[16],
XkKc,jXv7if-C-e4,"[0, 93, 102]",
WGKc,-0T8D-imTtU,"[3, 6]",
LXKc,-CoWWnmwVes,"[2, 17, 62, 690]",
yDKc,tUbh-PkVyQ0,"[0, 3711]",
ZTKc,G4EXP4SfWPM,"[2, 44, 46, 109, 631]",
eUKc,uez-DebqUPY,[666],
3QKc,uj9Plmj98Fg,"[3, 4, 6, 10, 13, 14, 28, 33]",
E9Kc,uk4XXRBq3fg,"[3, 4, 9, 13, 28, 33]",
9AKc,vSLJqCm7Ihg,"[0, 42, 1384, 3794]",
7EKc,vUxZejzSuLw,[3],
5nKc,qzwifRpdJUE,"[0, 1, 63, 167]",
tHKc,,"[11, 20, 321, 334, 564]",
2cKc,VIZzlzDtcOg,"[5, 16]",
RBKc,VSmqUFvq3Ss,"[909, 3395]",
a0Kc,KDQQWwnj16Y,"[0, 1, 35, 157, 407, 2286]",
TiKc,KEtQJUQsupA,"[15, 26, 466]",
JjKc,KG9j8vX9dxE,"[2, 7, 606]",
eaKc,Ul3nOj4812k,"[53, 58, 60, 163, 232]",
oGKc,,"[15, 18, 96, 397, 862]",
HvKc,UseSGoInPNw,[12],
1gKc,,"[17, 19, 55, 448]",
YrKc,_iftJPG82tQ,[371],
MTKc,WGi4j51EZEg,"[15, 126]","[{'text': ""hey it's kevin here it's the 31st of"", 'start': 0.0, 'duration': 4.02}, {'text': 'March and I just happen to notice here', 'start': 2.429, 'duration': 3.061}, {'text': 'some aphids on these plants here and', 'start': 4.02, 'duration': 3.18}, {'text': 'spring one real common thing we get', 'start': 5.49, 'duration': 3.72}, {'text': 'especially on oleanders this time of the', 'start': 7.2, 'duration': 4.71}, {'text': 'year is a fits their real easy to get', 'start': 9.21, 'duration': 3.9}, {'text': ""rid of I'll show you what they look like"", 'start': 11.91, 'duration': 3.24}, {'text': ""they're usually in black or green or"", 'start': 13.11, 'duration': 4.14}, {'text': 'orange the most common ones are orange', 'start': 15.15, 'duration': 3.9}, {'text': 'and just about going to show you here up', 'start': 17.25, 'duration': 5.189}, {'text': 'close just about every single this is an', 'start': 19.05, 'duration': 6.87}, {'text': 'oleander and you can see right there and', 'start': 22.439, 'duration': 5.76}, {'text': 'I hope this shows in the video but those', 'start': 25.92, 'duration': 3.81}, {'text': 'are those little athens you can see the', 'start': 28.199, 'duration': 3.031}, {'text': 'little orange things growing right in', 'start': 29.73, 'duration': 5.04}, {'text': 'there and those are our pesky little', 'start': 31.23, 'duration': 5.63}, {'text': 'critters that that can kind of slow the', 'start': 34.77, 'duration': 4.77}, {'text': 'the growth down to the plant the best', 'start': 36.86, 'duration': 4.719}, {'text': ""way I've found to get rid of them is I"", 'start': 39.54, 'duration': 7.94}, {'text': ""use a Gilmore sprayer it's a ready mixed"", 'start': 41.579, 'duration': 8.011}, {'text': 'sprayer I get them at true value', 'start': 47.48, 'duration': 3.94}, {'text': 'hardware store sometimes you can get up', 'start': 49.59, 'duration': 4.89}, {'text': ""at home depot they're about to 99 now"", 'start': 51.42, 'duration': 5.52}, {'text': 'the note here to make is that this is a', 'start': 54.48, 'duration': 4.62}, {'text': '20 gallon sprayer in other words when', 'start': 56.94, 'duration': 3.779}, {'text': 'you fill this container up with whatever', 'start': 59.1, 'duration': 3.959}, {'text': 'your spring hook it up to the hose it', 'start': 60.719, 'duration': 5.491}, {'text': 'automatically mixes this to 20 gallons', 'start': 63.059, 'duration': 6.271}, {'text': ""of water and here's what I what I use I"", 'start': 66.21, 'duration': 6.019}, {'text': 'use 8 ounces of antiseptic mouthwash', 'start': 69.33, 'duration': 5.78}, {'text': 'right in the right in the container and', 'start': 72.229, 'duration': 7.481}, {'text': 'I use 8 ounces of regular liquid dish', 'start': 75.11, 'duration': 7.899}, {'text': 'soap and I pour that right into this', 'start': 79.71, 'duration': 5.61}, {'text': 'sprayer I fill the rest of it up with', 'start': 83.009, 'duration': 4.951}, {'text': 'water and hook that under the hose and', 'start': 85.32, 'duration': 5.46}, {'text': 'you can literally spray these plants and', 'start': 87.96, 'duration': 5.28}, {'text': 'get rid of these bugs really really easy', 'start': 90.78, 'duration': 5.67}, {'text': ""we make a product called dr. Kevin's"", 'start': 93.24, 'duration': 6.809}, {'text': 'plant wash and we usually give this away', 'start': 96.45, 'duration': 6.209}, {'text': ""to our customers who asked for it it's"", 'start': 100.049, 'duration': 4.741}, {'text': 'for sale for five or six bucks but you', 'start': 102.659, 'duration': 3.661}, {'text': ""know the truth is that's all it is is"", 'start': 104.79, 'duration': 4.2}, {'text': 'just this stuff right here the dish soap', 'start': 106.32, 'duration': 6.089}, {'text': ""and and mouthwash that's all it is by"", 'start': 108.99, 'duration': 5.699}, {'text': ""your own sprayer and what you don't use"", 'start': 112.409, 'duration': 5.131}, {'text': 'you can keep right in their container in', 'start': 114.689, 'duration': 4.86}, {'text': 'your garage cabinets and use it the next', 'start': 117.54, 'duration': 3.929}, {'text': ""time and you'll be able to get rid of"", 'start': 119.549, 'duration': 4.801}, {'text': 'those aphids pretty easily so again', 'start': 121.469, 'duration': 4.47}, {'text': 'another tip from Kevin here kemas', 'start': 124.35, 'duration': 4.309}, {'text': ""landscape that's all"", 'start': 125.939, 'duration': 2.72}]"
JyKc,0SKfHjffG88,"[3, 6]",
cJKc,rG06ncs7DQM,[12],
R2Kc,a90rkv-3Pk8,"[2, 7, 30, 280, 1892]",
zHKc,a9HrQEu1E-I,"[6, 8]",
SgKc,mXIpDdmwjA4,"[49, 80, 328]",
luKc,mZumsUwxQtU,"[246, 1363]","[{'text': ""so we're to take the North Pole of mine"", 'start': 0.03, 'duration': 6.17}, {'text': 'on the right side of the CRT', 'start': 2.55, 'duration': 3.65}, {'text': ""and what's happening to the picture yeah"", 'start': 10.58, 'duration': 6.4}, {'text': 'which way this story yeah if you look at', 'start': 13.86, 'duration': 5.61}, {'text': 'this sign is going down more so on the', 'start': 16.98, 'duration': 6.539}, {'text': ""right side so what's happening here is"", 'start': 19.47, 'duration': 5.729}, {'text': 'that electron beam is interacting with', 'start': 23.519, 'duration': 4.141}, {'text': ""the magnetic field and we're getting a"", 'start': 25.199, 'duration': 6.841}, {'text': 'downward force right if we take the', 'start': 27.66, 'duration': 7.23}, {'text': 'South Pole and bring it next to the same', 'start': 32.04, 'duration': 9.12}, {'text': 'side what happened why should it be', 'start': 34.89, 'duration': 8.78}, {'text': 'opposite', 'start': 41.16, 'duration': 2.51}, {'text': 'I think white opposites attract no well', 'start': 43.91, 'duration': 6.69}, {'text': ""it's safe jar absolute reverse the field"", 'start': 47.66, 'duration': 5.609}, {'text': 'field yeah not the cicada with the North', 'start': 50.6, 'duration': 4.29}, {'text': 'Pole the field is going out that way', 'start': 53.269, 'duration': 3.09}, {'text': 'with the South Pole will feel this', 'start': 54.89, 'duration': 3.149}, {'text': 'coming into it so we change the', 'start': 56.359, 'duration': 3.54}, {'text': 'direction of the field and that changes', 'start': 58.039, 'duration': 4.29}, {'text': 'the direction of the deflection okay go', 'start': 59.899, 'duration': 7.101}, {'text': 'to the other side north hall on the left', 'start': 62.329, 'duration': 8.15}, {'text': ""what's happening"", 'start': 67.0, 'duration': 3.479}, {'text': 'yeah south pole on the left', 'start': 72.64, 'duration': 4.55}, {'text': 'how safe is that was the TV that you', 'start': 77.979, 'duration': 8.201}, {'text': ""want to keep that's the fastest and I"", 'start': 81.259, 'duration': 7.051}, {'text': 'was gonna say that cuz the kids always', 'start': 86.18, 'duration': 3.479}, {'text': 'says Wow can I do that at home', 'start': 88.31, 'duration': 4.02}, {'text': 'well Matthew once she made a work', 'start': 89.659, 'duration': 4.38}, {'text': ""problem because you notice there's a"", 'start': 92.33, 'duration': 4.89}, {'text': 'little color distortion here if I do', 'start': 94.039, 'duration': 8.9}, {'text': ""something like this what's really yeah"", 'start': 97.22, 'duration': 9.42}, {'text': 'but you really screw it up if you want', 'start': 102.939, 'duration': 5.35}, {'text': ""the TV to work well after that you've"", 'start': 106.64, 'duration': 2.94}, {'text': 'got a pic at some place and have a peek', 'start': 108.289, 'duration': 8.911}, {'text': 'out and how about with the oscilloscopes', 'start': 109.58, 'duration': 11.7}, {'text': 'not a problem things not a problem and', 'start': 117.2, 'duration': 5.459}, {'text': 'that the place will stay pretty strong', 'start': 121.28, 'duration': 3.479}, {'text': 'yeah I always did it with an old', 'start': 122.659, 'duration': 4.02}, {'text': ""oscilloscope that I didn't really care"", 'start': 124.759, 'duration': 3.78}, {'text': ""about I you know if you've got a really"", 'start': 126.679, 'duration': 6.181}, {'text': 'good working CRT oscilloscope in use for', 'start': 128.539, 'duration': 7.98}, {'text': ""measurements it shouldn't be a problem"", 'start': 132.86, 'duration': 6.45}, {'text': ""but I still wouldn't want you to do it"", 'start': 136.519, 'duration': 5.75}, {'text': 'and then something happens', 'start': 139.31, 'duration': 2.959}]"
9hKc,Ml8KpjkVLBo,"[11, 877]",
q2Kc,BgSP5cIotZY,"[26, 707]",
j6Kc,7csiqOUua1o,[41],
BkKc,7frz0we9z0Q,"[0, 1, 35, 134]",
alKc,RQ9sxdgvJKc,"[21, 23, 24, 73, 275, 554, 786]",
Z6Kc,RRoGNZzKJrY,[2166],
N5Kc,RRNebw2peyg,"[0, 1, 35, 85]",
tpKc,g3DqXQyRdqs,"[2, 7, 197, 513, 2331]",
kxKc,g4RcRvA7v4I,"[0, 1]",
cdKc,xNfVBudpmLQ,"[0, 52, 70, 806]",
pYKc,Z9FtcD28rnA,[205],
sQKc,y-VCwCPBlpc,"[2, 30, 252, 544]",
ttKc,y0NXIJ0KQM0,"[6, 8]",
tTKc,y5lS-9jT5SY,"[4, 9, 10, 34]",
